ec5_uuid;created_at;1_TIme;2_NC;4_LN_Behavior;5_Contact;6_AR;7_3;8_Notes;10_MN_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NR_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight
5535abe4-1b81-4110-b794-648c87d66f9f;2025-05-04T05:25:46.000Z;14:24;;RL;;;;;RS;;;;;PL;NR;;;;PL;NH;;;;red
9769d5f1-5b35-4775-a0f9-940939268bfc;2025-05-04T05:27:14.000Z;14:27;Yes;RL;;;;;RS;;;;;PL;NR;;;;PL;NH;;;;green
f5fdc5a1-1499-4128-a155-cff1d8a18017;2025-05-19T01:16:52.000Z;10:16;;RS;;;;;DS;;;;;M;;;;;RS;;;;;red
84b6eb6b-8259-40cc-a8b7-41ef420b46f9;2025-05-19T01:18:28.000Z;10:18;Yes;RS;;;;;DS;;;;;M;;;;;RS;;;;;green
0ca64fd8-4b09-4dc3-9d63-86a8ae0339f8;2025-05-19T01:21:34.000Z;10:20;;RS;;;MN;;DS;;;;Display towards cage c and then runs away;DS;;;;Towards cage c;RS;;;LN;;
d0479311-f0f4-4c78-a8a7-a141ac5cd3bb;2025-05-20T02:30:33.000Z;11:30;;RS;;;;;DS;;;;Towards cage c;RS;;;;;M;;;;;
39825996-9e7d-416a-9e2a-2de854d39f96;2025-05-20T02:32:59.000Z;11:32;;RS;;;;;M;;;;Displayed toward cage c;RS;;;;Displayed toward cage c;RS;;;;;
061d501a-ea01-4d30-b452-1325c798ebaa;2025-05-20T02:36:07.000Z;11:35;NO;RS;;;;;RS;;;;Displayed toward cage c;RS;;;;Displayed toward cage c;RS;;;;;
d243bde9-bdbf-4465-8220-fda2fb2ce068;2025-05-20T02:38:47.000Z;11:37;;GR;MN;;NR;;GG;LN;;NR;;RS;;;;Displayed toward cage c;RS;;;LN, MN;;
3698d10b-019f-44e3-bc71-6f4afabd9c6f;2025-05-30T05:12:02.000Z;14:10;NO;RS;;;;;RS;;;;;RS;;;;Ｍｏｒｉｈｅｉ　ｇｏｔ　ｅｘｃｉｔｅｄ　ａｎｄ　ｄｏｉｎｇ　ｐａｎｔｈｏｏｔ;RS;;;;;
fa1173c5-fdae-4a79-a07b-615427603b70;2025-05-30T05:27:37.000Z;14:26;NO;RS;;;;;M;;;;Minato Norio play;RS;;;;;M;;;;;
fa1173c5-fdae-4a79-a07b-615427603b70;2025-05-30T05:27:37.000Z;14:26;NO;RS;;;;;PL;;;;Minato Norio play;RS;;;;;PL;;;;;
f341e77c-c1ff-4de0-90fa-2723120e335b;2025-05-30T05:30:03.000Z;14:29;NO;RS;;;;;PL;;;;Minato Norio play;M;;;;;PL;;;;;
f341e77c-c1ff-4de0-90fa-2723120e335b;2025-05-30T05:30:03.000Z;14:29;NO;RS;;;;;M;;;;Minato Norio play;M;;;;;M;;;;;
e7aa0734-8663-41c9-aed0-b5cba8f4cfbe;2025-05-31T00:49:09.000Z;09:48;NO;RL;;;NH;;M;;;;Norio Minato play;RS;;;LN;;M;;;;;
e7aa0734-8663-41c9-aed0-b5cba8f4cfbe;2025-05-31T00:49:09.000Z;09:48;NO;RL;;;NH;;PL;;;;Norio Minato play;RS;;;LN;;PL;;;;;
d233dd38-e546-4d3f-a7a5-5ed500477ba0;2025-05-31T05:07:36.000Z;14:06;NO;RL;;;;;RS;;;;Minato Naoya played;RS;;;;;RS;;;;;
d233dd38-e546-4d3f-a7a5-5ed500477ba0;2025-05-31T05:07:36.000Z;14:06;NO;RL;;;;;PL;;;;Minato Naoya played;RS;;;;;PL;;;;;
d97395a8-f967-45bf-ad22-6c3f2b76f04a;2025-05-31T05:19:36.000Z;14:19;NO;RL;;;;;PL;;;;Norio Minato play;RS;;;;;PL;;;;;
d97395a8-f967-45bf-ad22-6c3f2b76f04a;2025-05-31T05:19:36.000Z;14:19;NO;RL;;;;;M;;;;Norio Minato play;RS;;;;;M;;;;;
