ec5_uuid;created_at;1_TIme;2_NC;4_MN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_LN_Behavior;29_Contact;30_AR;31_3M;Unnamed: 28;highlight
1916ecf9-63c5-439e-bfbc-83d506aad88d;2025-03-11T02:06:57.000Z;11:05;NO;GG;NR;LN;;;RS;;LN;MN;;RS;;TK;;;RS;;NY;;;GR;MN;;NR;;
4c7a66a3-e0f4-45da-b047-051536c0bd26;2025-03-11T02:08:29.000Z;11:07;NO;GG;NR;LN;;;RS;;LN;MN;;RS;;;;;RS;;;;;GR;MN;;NR;;red
4d937940-a656-4fcd-b6f5-73e0d2b89800;2025-03-11T02:10:00.000Z;11:09;Yes;GG;NR;LN;;;RS;;LN;MN;;RS;;;;;RS;;;;;GR;MN;;NR;;green
edeb64f9-d2ce-437b-9910-d4239d0c9d06;2025-03-11T02:11:53.000Z;11:11;Yes;GG;NR;LN;;;RS;;LN;MN;;RS;;;;;RS;;;;;GR;MN;;NR;;green
07b9d2f6-f5f7-46a8-9204-10eedaa80d5a;2025-03-11T02:13:55.000Z;11:13;Yes;GG;NR;LN;;;RS;;LN;MN;;RS;;;;;RS;;;;;GR;MN;;NR;;green
06d8cbf9-5494-4b31-a747-1ec98b7371dd;2025-03-11T02:15:53.000Z;11:15;Yes;GG;NR;LN;;;RS;;LN;MN;;RS;;;;;RS;;;;;GR;MN;;NR;;green
8646aa68-137a-4f3a-97fa-73287cd61bcb;2025-03-11T02:18:33.000Z;11:17;NO;GG;NR;LN;;;RS;;LN;MN;;M;;;;;RS;;;;;GR;MN;;NR;;
e5e7b978-ec85-474a-9040-f16c8a2c1c00;2025-03-11T02:20:25.000Z;11:19;NO;GG;NR;LN;;;RS;;LN;MN;;E;;;;;RS;;;;;GR;MN;;NR;;red
a705358c-8ef5-4bc0-9323-f23655f68f22;2025-03-11T02:21:55.000Z;11:21;Yes;GG;NR;LN;;;RS;;LN;MN;;E;;;;;RS;;;;;GR;MN;;NR;;green
c781795a-36e1-4b33-a29b-aca95eb5f046;2025-03-11T02:24:48.000Z;11:23;NO;GG;NR;LN;;;RS;;LN;MN;;RS;;;;;RS;;;;;GR;MN;;NR;;red
90904ed1-2ee3-4c78-b3e2-b41e03d13acf;2025-03-11T02:25:54.000Z;11:25;Yes;GG;NR;LN;;;RS;;LN;MN;;RS;;;;;RS;;;;;GR;MN;;NR;;green
b56f81f4-98ce-4359-b6f4-a352c8ef836b;2025-03-11T02:27:52.000Z;11:27;Yes;GG;NR;LN;;;RS;;LN;MN;;RS;;;;;RS;;;;;GR;MN;;NR;;green
5a4108fe-1bbb-4951-a6c1-581a953930c7;2025-03-11T02:30:36.000Z;11:29;NO;GG;NR;LN;;;RS;;LN;MN;;RS;;TK;;;RS;;NY;;;GR;MN;;NR;;
e662d666-398f-461b-a719-111ab4cfb87e;2025-03-11T02:32:20.000Z;11:31;NO;GG;NR;LN;;;RS;;LN;MN;;RS;;;TK;;RS;;;NY;;GR;MN;;NR;;red
f417ea84-106b-4568-a55b-78de9bad1689;2025-03-11T02:33:53.000Z;11:33;Yes;GG;NR;LN;;;RS;;LN;MN;;RS;;;TK;;RS;;;NY;;GR;MN;;NR;;green
2361c112-8f8f-4de5-94f9-906069017f7f;2025-03-11T02:36:42.000Z;11:35;NO;GM;NR;LN;;;RS;;MN, LN;;;RS;;;TK;;RS;;;NY;;GM;MN;NR;;;red
d9acc000-0fea-43b9-ab17-618f3e8240e7;2025-03-11T02:37:56.000Z;11:37;Yes;GM;NR;LN;;;RS;;MN, LN;;;RS;;;TK;;RS;;;NY;;GM;MN;NR;;;green
ada23233-395e-4842-b62b-c25c6f58ffa2;2025-03-11T02:39:53.000Z;11:39;Yes;GM;NR;LN;;;RS;;MN, LN;;;RS;;;TK;;RS;;;NY;;GM;MN;NR;;;green
40dfa59e-19d4-4ecf-adef-aa24107671a0;2025-03-11T02:41:51.000Z;11:41;Yes;GM;NR;LN;;;RS;;MN, LN;;;RS;;;TK;;RS;;;NY;;GM;MN;NR;;;green
a982f3f1-17ff-43ec-9c9b-944543c77da9;2025-03-11T02:44:31.000Z;11:43;NO;GM;NR;LN;;;RS;;MN, LN;;;RS;;TK;;;RS;;NY;;;GM;MN;NR;;;
bcbc19e2-8d6e-454b-a9fc-f8a313965c39;2025-03-11T02:46:40.000Z;11:45;NO;GM;NR;LN;;;RS;;MN, LN;;;SD;;TK;;;SD;;NY;;;GM;MN;NR;;;
c2ac3bd1-87e6-47b7-9c5a-a9f72c30e5de;2025-03-11T04:20:50.000Z;13:19;NO;E;;;;;E;;;NR, TK;;E;;TK, NY;;;E;;NR;;;RS;;;;;
05b44685-8d0e-4f2d-a5b3-73cfee669d43;2025-03-11T04:21:41.000Z;13:21;NO;E;;;;;E;;;;;E;;TK;;;E;;NR;;;RS;;;;;red
6530a41b-454a-4a52-88ee-86084191484b;2025-03-11T04:23:10.000Z;13:23;Yes;E;;;;;E;;;;;E;;TK;;;E;;NR;;;RS;;;;;green
467ac427-65d5-45f3-a098-9f0216ca2b24;2025-03-11T04:25:13.000Z;13:25;Yes;E;;;;;E;;;;;E;;TK;;;E;;NR;;;RS;;;;;green
31bf4e1b-cda3-4985-b1fb-19e237dcf912;2025-03-11T04:27:51.000Z;13:27;NO;E;;;;;E;;TK;NR;;E;;;TK, NY;;E;;NY;NR;;RS;;;;;
08c705a1-0fbc-4081-b881-745b29ea6a1c;2025-03-11T04:30:00.000Z;13:29;NO;E;;NY, TK;NR;;E;;MN, TK;NR;;E;;;TK, MN, NY;;E;;NY, MN;NR;;RS;;;;;
6997d726-dbeb-469c-b72e-b6d23d9b078d;2025-03-11T04:32:02.000Z;13:31;NO;M;;NR;TK, NY;;E;;;TK, NR, MN;;E;;TK, MN;NY;;E;;NR;MN, NY;;RS;;;;;
1fc24355-850d-4412-8173-3455dbe7aac4;2025-03-11T04:33:48.000Z;13:33;NO;M;;NY;TK, NR;;M;;MN;TK, NR;;E;;TK;MN, NY;;E;;NR;MN, NY;;RS;;;;;
8266a530-5719-4277-8695-129418338a97;2025-03-11T04:35:38.000Z;13:35;NO;M;;;;;RS;;;;;E;;;;;E;;;;;RS;;;;;
81ff8cf8-4384-4208-867c-b96ad6a4dde9;2025-03-11T04:37:42.000Z;13:37;NO;RS;;;NY;;RS;;;MN;;E;;;;;E;;;;;RS;;;;;
62504e53-61e0-4296-9f85-44629618aedd;2025-03-11T04:39:49.000Z;13:39;NO;M;;NY;NR;;M;;MN;NR;;E;;;MN, NY;;M;;;;;RS;;;;;
39fd407a-f6f0-47fc-bd50-3a4d8af723b3;2025-03-11T04:41:37.000Z;13:41;NO;RS;;;NY;;RS;;;MN;;E;;;;;RS;;;;;RS;;;;;
cd19059d-c35f-42c2-a3e1-1e651ed0e1fb;2025-03-11T04:43:32.000Z;13:43;NO;M;;NR;;;RS;;;;;M;;MN;;;RS;;;;;RS;;;;;
5064061f-40b6-4691-b617-b1557a73bb7e;2025-03-11T04:45:33.000Z;13:45;NO;RS;;;NR;;RS;;;;;E;;;MN;;RS;;;;;RS;;;;;
