ec5_uuid;date;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NH_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_MN_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NY_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight;msm;corrected_msm
c7630417-7750-4af9-9b37-cd8b29a69be5;2025-04-16;1900-01-01 09:33:00;;E;;;NH;;RS;;;MS;;GG;NY;;;;GR;MN;;;;;573;572.0
ebf0aa42-a003-48b9-9295-04151da3562d;2025-04-16;1900-01-01 09:35:00;;E;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;;575;574.0
301f936f-2be6-4cd3-bdd3-6f00d27f622f;2025-04-16;1900-01-01 09:37:00;;E;;;NH;;RS;;;MS;;RS;;;;;M;;;;;;577;576.0
a2b04628-495d-4a6d-aa06-afbedb5b9bea;2025-04-16;1900-01-01 09:39:00;;E;;;NH;;M;;;MS;;DS;;;;Towards cage c;RS;;;;;;579;578.0
c40920ad-2ebd-4413-98af-e730b1144a43;2025-04-16;1900-01-01 09:41:00;;E;;NH, NY;MN;;RS;;MS;MN, NY;;GG;NY;MS;NH;;GR;MN;MS;NH;;;581;580.0
f3e5dfea-8396-4bf4-b44a-8a3d62935e7e;2025-04-16;1900-01-01 09:43:00;;E;;;;;DS;;;;;RS;;;;Displayed pan hoot;RL;;;;;;583;582.0
b388a932-5026-4d93-87ee-001ce4237633;2025-04-16;1900-01-01 09:45:00;;E;;;NY;;RS;;;;;RS;;;;;M;;;MS;;;585;584.0
c7609210-04a2-4934-968e-331c2e6d28d7;2025-04-16;1900-01-01 09:47:00;;E;;;;;RS;;;;;RS;;;;;RL;;;;;red;587;586.0
cf801c18-4f71-45c7-9b93-fd752f9a3913;2025-04-16;1900-01-01 09:49:00;Yes;E;;;;;RS;;;;;RS;;;;;RL;;;;;green;589;588.0
501816ee-0272-417c-b4d4-db1b378fa850;2025-04-16;1900-01-01 09:50:00;Yes;E;;;;;RS;;;;;RS;;;;;RL;;;;;green;590;590.0
