ec5_uuid;date;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NH_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_MN_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NY_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight;msm;corrected_msm
28f35741-e66b-485d-8aa3-2518a327ed67;2025-05-15;1900-01-01 09:30:00;;E;;;;;RS;;;;;M;;;;;RL;;;;;red;570;570.0
32379316-d572-415a-92de-929dd5655a4c;2025-05-15;1900-01-01 09:32:00;Yes;E;;;;;RS;;;;;M;;;;;RL;;;;;green;572;572.0
8e094d38-c332-44c0-94e3-56afd20483fa;2025-05-15;1900-01-01 09:34:00;NO;E;;;;;RS;;;;;M;;;;;M;;;;;red;574;574.0
74f8e10b-c5e7-43ba-a549-5892045082ea;2025-05-15;1900-01-01 09:36:00;Yes;E;;;;;RS;;;;;M;;;;;M;;;;;green;576;576.0
cda2a14c-1c5f-4158-893b-4a8c9e2120c7;2025-05-15;1900-01-01 09:38:00;;E;;NH;;;RS;;MS;;;RS;;;;;M;;;;;;578;578.0
07fbdc33-4ce1-46c6-b6a4-bc9e57502604;2025-05-15;1900-01-01 09:40:00;;RS;;NH;;;RS;;MS;;;RS;;;;;RS;;;;;red;580;580.0
d88a9457-c1c3-4d41-8e72-72a4dc4d6237;2025-05-15;1900-01-01 09:42:00;Yes;RS;;NH;;;RS;;MS;;;RS;;;;;RS;;;;;green;582;582.0
a8bc786e-72d6-49b5-98fd-a89b0c50d599;2025-05-15;1900-01-01 09:44:00;Yes;RS;;NH;;;RS;;MS;;;RS;;;;;RS;;;;;green;584;584.0
2ad9a382-a456-4d20-bcff-6a3622d005fe;2025-05-15;1900-01-01 09:46:00;Yes;RS;;NH;;;RS;;MS;;;RS;;;;;RS;;;;;green;586;586.0
e6d0d62c-5aba-4860-b6f1-30f666917f28;2025-05-15;1900-01-01 09:48:00;;RL;;NH;;;RS;;MS;;;RS;;;;;RS;;;;;red;588;588.0
ea31611c-cdca-4163-ba2c-19e6039fac45;2025-05-15;1900-01-01 09:50:00;Yes;RL;;NH;;;RS;;MS;;;RS;;;;;RS;;;;;green;590;590.0
28cf2130-d415-4394-b8fa-542acf3f6f81;2025-05-15;1900-01-01 09:52:00;Yes;RL;;NH;;;RS;;MS;;;RS;;;;;RS;;;;;green;592;592.0
