ec5_uuid;date;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NH_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_MN_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NY_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight;msm;corrected_msm
bb2119fe-e04b-4d89-aebd-f3555bb21629;2025-04-30;1900-01-01 09:32:00;;E;;;NH;;E;;;MS;;E;;;NY;;E;;;MN;;red;572;572.0
ccb240db-28b6-4d6c-be6b-ad95ccc52839;2025-04-30;1900-01-01 09:34:00;Yes;E;;;NH;;E;;;MS;;E;;;NY;;E;;;MN;;green;574;574.0
5a4a2e95-db1e-4fda-89d5-1ad3137ce7dc;2025-04-30;1900-01-01 09:36:00;;E;;;NH;;E;;;MS;;M;;;;;M;;;;;;576;576.0
3cbe8699-49a1-4c71-9866-d6ad41f3dde7;2025-04-30;1900-01-01 09:38:00;;E;;NH;;;E;;MS;;;RS;;;;;E;;;;;red;578;578.0
dd5a06e7-31a1-4707-b72e-2f319fb27833;2025-04-30;1900-01-01 09:40:00;Yes;E;;NH;;;E;;MS;;;RS;;;;;E;;;;;green;580;580.0
35d69f18-e7e1-4ddb-ac39-f03c650f95d8;2025-04-30;1900-01-01 09:42:00;;RS;;;NH;;E;;;MS;;M;;;;;RS;;;;;;582;582.0
b4b7758f-8765-4526-a23b-85bd4bd46f58;2025-04-30;1900-01-01 09:44:00;;RS;;;;;M;;;;;RS;;;;;RL;;;;;;584;584.0
e63e79fa-8207-4dbf-ae48-f8d4186cfbe9;2025-04-30;1900-01-01 09:46:00;;RS;;;;;M;;;;;RS;;;;;E;;;;;;586;586.0
b6733f6b-ba90-4913-8c83-a2f170d8fd1a;2025-04-30;1900-01-01 09:48:00;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;588;588.0
4d84827d-c144-4a0d-8ad1-ea2848f1ef2e;2025-04-30;1900-01-01 09:50:00;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;590;590.0
800d7957-6306-4957-9296-1aa9cd8908c5;2025-04-30;1900-01-01 09:52:00;;M;;;;;M;;;;;RS;;;;;RL;;;;;;592;592.0
b4a9834e-c979-41ea-9db3-3f14896d9ab5;2025-04-30;1900-01-01 09:54:00;;RS;;NH, MN;;;RS;;MS;MN;;RS;;MS;NH;;RL;;;;;;594;594.0
2488e0ba-bd6d-4157-bb6c-b7ea69b99541;2025-04-30;1900-01-01 09:56:00;;GG;NH;;MN;;GR;MS;;MN;;RS;;;NH, MS;;RL;;;;;red;596;596.0
702908c7-482d-437b-b188-7fa7be71c407;2025-04-30;1900-01-01 09:58:00;Yes;GG;NH;;MN;;GR;MS;;MN;;RS;;;NH, MS;;RL;;;;;green;598;598.0
ea3e4910-3732-4fce-85ea-548cf1236fb1;2025-04-30;1900-01-01 10:00:00;Yes;GG;NH;;MN;;GR;MS;;MN;;RS;;;NH, MS;;RL;;;;;green;600;600.0
dd0790d0-3867-4b6e-9b8d-c6d29ac25918;2025-04-30;1900-01-01 10:02:00;Yes;GG;NH;;MN;;GR;MS;;MN;;RS;;;NH, MS;;RL;;;;;green;602;602.0
b63d3f31-d579-41db-916f-fd60bb213a08;2025-04-30;1900-01-01 10:04:00;Yes;GG;NH;;MN;;GR;MS;;MN;;RS;;;NH, MS;;RL;;;;;green;604;604.0
f34d2f5f-418e-4ce7-8547-e23ba499034d;2025-04-30;1900-01-01 10:06:00;;RS;NH;;;;RL;MS;;;;RS;;;;;RL;;;;;;606;606.0
1633cc6d-7444-45df-bae9-a1296ff55643;2025-04-30;1900-01-01 10:08:00;;RS;;;NH;;RS;;;MS;;DS;;;;Ag towards cage c;RL;;;;;;608;608.0
06b1641d-036f-44c9-9ddf-139ac46fdd6b;2025-04-30;1900-01-01 10:10:00;;RS;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;;610;610.0
da39126f-696d-44c1-9758-67f132b5ae89;2025-04-30;1900-01-01 10:12:00;;RS;;NH;;;RS;;;MS;;M;;;;;RS;;;;;red;612;612.0
7da3e112-2b41-4853-83ec-dd9258ddaadd;2025-04-30;1900-01-01 10:14:00;Yes;RS;;NH;;;RS;;;MS;;M;;;;;RS;;;;;green;614;614.0
4853d57e-3764-4411-985c-47354eb9392d;2025-04-30;1900-01-01 10:16:00;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;616;616.0
f0361db1-66d4-4ac8-b22b-e08868d35a60;2025-04-30;1900-01-01 10:18:00;;GG;NY;;;;M;;;;;RS;;;;;GR;MS;;;;;618;618.0
7c5f2bdd-596a-40b6-a8c0-50fb1a5ea65d;2025-04-30;1900-01-01 10:20:00;;PL;NY;;;;RS;;;;;RS;;;;;PL;MS;;;;red;620;620.0
c4e4ddc5-7b29-4cae-a6b3-f9fdad537e26;2025-04-30;1900-01-01 10:22:00;Yes;PL;NY;;;;RS;;;;;RS;;;;;PL;MS;;;;green;622;622.0
7d19fe0a-98e5-4f45-bfff-aab5eff828ea;2025-04-30;1900-01-01 10:24:00;Yes;PL;NY;;;;RS;;;;;RS;;;;;PL;MS;;;;green;624;624.0
7e21fb16-d72e-486e-8952-7ae444da2e39;2025-04-30;1900-01-01 10:26:00;;M;;;NY, MN;;RS;;;;;M;;;NY, MS;;M;;;MN, MS;;red;626;626.0
62b5c34f-4c21-4119-97d0-d4e4d71e9e73;2025-04-30;1900-01-01 10:28:00;Yes;M;;;NY, MN;;RS;;;;;M;;;NY, MS;;M;;;MN, MS;;green;628;628.0
945b2fd6-9be0-41e0-a90e-f83732d4b7db;2025-04-30;1900-01-01 10:48:00;;RS;;;;;M;;;;;RS;;;;;RS;;;;;red;648;647.0
91043137-e5b4-4ae9-afe2-ed1745651457;2025-04-30;1900-01-01 10:50:00;Yes;RS;;;;;M;;;;;RS;;;;;RS;;;;;green;650;649.0
918891ab-3e51-48c8-a798-038b8b126de0;2025-04-30;1900-01-01 10:52:00;;RS;;;;;GR;MN;;;;GG;NH;;;;RL;;;;;;652;651.0
e05fd3a0-e714-4d66-aa9a-aec96fba16e3;2025-04-30;1900-01-01 10:54:00;;GR;MN;;;;RL;;;;;GG;MS;;;;RL;;;;;red;654;653.0
776d8708-987b-415d-92a5-9243a6e84051;2025-04-30;1900-01-01 10:56:00;Yes;GR;MN;;;;RL;;;;;GG;MS;;;;RL;;;;;green;656;655.0
ce541e65-3ba3-4b70-bdd0-a9b63edeb327;2025-04-30;1900-01-01 10:58:00;Yes;GR;MN;;;;RL;;;;;GG;MS;;;;RL;;;;;green;658;657.0
7b4dced9-f95b-4530-9cdc-5d75c4459c09;2025-04-30;1900-01-01 11:00:00;Yes;GR;MN;;;;RL;;;;;GG;MS;;;;RL;;;;;green;660;659.0
161c7599-3d26-4550-acc2-4705719d8a28;2025-04-30;1900-01-01 11:02:00;Yes;GR;MN;;;;RL;;;;;GG;MS;;;;RL;;;;;green;662;661.0
be038246-63b4-4d55-8e0f-611f49b40acc;2025-04-30;1900-01-01 11:04:00;;GR;MN;;;;RS;;;;;GG;MS;;;;RS;;;;;red;664;663.0
40243ffd-f458-4dc9-bbd4-79402b137bfa;2025-04-30;1900-01-01 11:06:00;Yes;GR;MN;;;;RS;;;;;GG;MS;;;;RS;;;;;green;666;665.0
21657f0e-7121-452e-a859-dd5246ecfb97;2025-04-30;1900-01-01 11:08:00;;GR;MN;;NH;;RS;;;MN, MS;;GG;MS;;NH;;RL;;;;;red;668;667.0
2ca78cf1-9dd5-4287-953d-0b13bd5cffbc;2025-04-30;1900-01-01 11:10:00;Yes;GR;MN;;NH;;RS;;;MN, MS;;GG;MS;;NH;;RL;;;;;green;670;669.0
7ed5a821-fec5-466b-b1d6-ba46fbdbce35;2025-04-30;1900-01-01 11:12:00;Yes;GR;MN;;NH;;RS;;;MN, MS;;GG;MS;;NH;;RL;;;;;green;672;671.0
2a8b9fae-bc53-4663-a888-0f8e8e37a797;2025-04-30;1900-01-01 11:14:00;Yes;GR;MN;;NH;;RS;;;MN, MS;;GG;MS;;NH;;RL;;;;;green;674;673.0
4e63a714-ebe2-4ce6-b852-ffa081ff5c64;2025-04-30;1900-01-01 11:16:00;;RL;;;NH;;RS;;MS;;;RS;;;;;RL;;;;;red;676;675.0
98e9f1be-9646-40f7-991f-b58e4c8fe64e;2025-04-30;1900-01-01 11:18:00;Yes;RL;;;NH;;RS;;MS;;;RS;;;;;RL;;;;;green;678;677.0
f10ce0d7-a1e7-4ce3-ab35-6e80cd154fe7;2025-04-30;1900-01-01 11:20:00;Yes;RL;;;NH;;RS;;MS;;;RS;;;;;RL;;;;;green;680;679.0
