ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_TN_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;32_SR_Behavior;33_Contact;34_AR;35_3M;36_Occurence;37_Notes;highlight;msm;corrected_msm
93f20e07-6d4d-40af-8b5f-cbe6ea6820fe;2025-04-08;1900-01-01 09:32:00;NO;E;;;;;;E;;SR;;;;RS;;;;;;E;;;;;;RS;;;;;;;572;572.0
e64681dd-f356-48d1-9b8b-98e47d1d3fb8;2025-04-08;1900-01-01 09:34:00;NO;E;;;SB;;Playing with SB train;E;;;MZ;;;RS;;;;;;M;;;;;;RS;;;;;;;574;574.0
d5ddd238-ca72-436b-b583-77a907d01e40;2025-04-08;1900-01-01 09:36:00;NO;E;;GG;SR;;;E;;;;;;RS;;MZ;SR;;;M;;;;;Throwing food;RS;;;GG, MZ;;;;576;576.0
cfc56eca-b927-4e56-9728-d1129f8d8b8a;2025-04-08;1900-01-01 09:38:00;NO;E;;SB, SR;;;;RS;;SR, MZ;;;;RS;;;;;;E;;;;;;RS;;MZ, SB;;;;;578;578.0
99fd8b18-f036-4bcd-b95c-4ee75985d01b;2025-04-08;1900-01-01 09:40:00;NO;E;;;SR;;;E;;;GG;;;RS;;;SB;;;DS;;;;;;RS;;;MZ;;;;580;580.0
a58cc2eb-3b8a-4e9f-bc25-0cf90a2575ab;2025-04-08;1900-01-01 09:42:00;NO;E;;;SR;;;RS;;;;;Looking to other cage;RS;;;;;;E;;;;;;RS;;;MZ;;;red;582;582.0
decf81bd-a05d-4c09-bdc6-6211f411d222;2025-04-08;1900-01-01 09:44:00;Yes;E;;;SR;;;RS;;;;;Looking to other cage;RS;;;;;;E;;;;;;RS;;;MZ;;;green;584;584.0
85a25a85-5d75-4f4c-9e9b-0c0a450d9908;2025-04-08;1900-01-01 09:46:00;NO;E;;;;;;RS;;SR;;;Engaging with other cage;RS;;;;;;E;;;;;;RS;;SB;;;;;586;586.0
d51e0451-5c19-4638-b70f-0f21d25fec41;2025-04-08;1900-01-01 09:48:00;NO;E;;;;;;RS;;;SR;;;M;;SR;;;;E;;;;;;RS;;GG;;;;;588;588.0
c781f065-9265-4dc3-928c-274af8f023a7;2025-04-08;1900-01-01 09:50:00;NO;E;;;;;;M;;;;;;PL;;TN;;;;PL;;GG;;;;RS;;;;;;;590;590.0
