ec5_uuid;date;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;highlight;msm;corrected_msm
6bd8602e-7445-444d-a420-78dc99638532;2025-04-22;1900-01-01 09:35:00;;RS;;;;;RS;;;;;RL;;;;;;575;574.0
4c159221-fd58-4163-be70-71c0ea7d0316;2025-04-22;1900-01-01 09:37:00;;RS;;;;;GR;NH;;;;GG;ST;;;;red;577;576.0
e782df55-180f-491f-bfba-82e2014101d0;2025-04-22;1900-01-01 09:39:00;Yes;RS;;;;;GR;NH;;;;GG;ST;;;;green;579;578.0
a129cc52-458b-4753-a059-e51e0c6550dd;2025-04-22;1900-01-01 09:41:00;;M;;;;;M;;;;;RS;;;;;;581;580.0
47650b7a-1bd6-4121-a718-28cc46d567a0;2025-04-22;1900-01-01 09:43:00;;M;;;;;RS;;;;;DS;;;;Pan hoot towards cage c;;583;582.0
a41d682c-f476-4c84-a8e9-c9217e469766;2025-04-22;1900-01-01 09:45:00;;M;;;;;RS;;NH;;;RS;;ST;;;red;585;584.0
4b93a50d-bf63-47be-87df-4f14dba62244;2025-04-22;1900-01-01 09:47:00;Yes;M;;;;;RS;;NH;;;RS;;ST;;;green;587;586.0
3737ab5f-50d1-4467-8db3-5b6cd100b10d;2025-04-22;1900-01-01 09:49:00;;RS;;;;;RS;;NH;;;RS;;ST;;;red;589;588.0
60c6c8f0-e134-43b4-8754-3ae219cdc962;2025-04-22;1900-01-01 09:51:00;Yes;RS;;;;;RS;;NH;;;RS;;ST;;;green;591;590.0
905c72da-7874-4d10-b93d-01ad9b2c7821;2025-04-22;1900-01-01 09:53:00;;RS;;;;;RS;;;;;M;;;;;;593;592.0
5d0946b7-2be5-4495-84a6-6e832d4c41cc;2025-04-22;1900-01-01 09:55:00;;RS;;NH;;;RS;;;;;RS;;MS;;;red;595;594.0
f7f84888-ef4e-41f6-880e-d33a66f91d5c;2025-04-22;1900-01-01 09:57:00;Yes;RS;;NH;;;RS;;;;;RS;;MS;;;green;597;596.0
7f457369-2893-4318-8866-0a37d639c540;2025-04-22;1900-01-01 09:59:00;Yes;RS;;NH;;;RS;;;;;RS;;MS;;;green;599;598.0
041b9348-f098-4305-9d7f-c8b114326df0;2025-04-22;1900-01-01 10:01:00;;GR;ST;NH;;;GG;MS;NH;;;RS;;ST, MS;;;;601;600.0
6f8b5a3c-78b4-4467-a359-39478fd37565;2025-04-22;1900-01-01 10:03:00;;RS;;ST;;;RS;;MS;;;RS;;;;;;603;602.0
c3ab06fc-b311-4e37-9b54-13339b1c63d0;2025-04-22;1900-01-01 10:05:00;;M;;ST, NH;;;M;;MS, NH;;;RS;;ST, MS;;;;605;604.0
1167e2b4-a694-4a54-ba4b-daa2289c74ba;2025-04-22;1900-01-01 10:07:00;;RS;;ST;;;RS;;MS;;;RS;;;;;red;607;606.0
4abfbb6c-a7a3-4461-ad8d-646f457ed19c;2025-04-22;1900-01-01 10:09:00;Yes;RS;;ST;;;RS;;MS;;;RS;;;;;green;609;608.0
6a8b5f71-68e2-4c01-b60c-c59d939b9773;2025-04-22;1900-01-01 10:11:00;Yes;RS;;ST;;;RS;;MS;;;RS;;;;;green;611;610.0
74455d2a-db76-4f47-8f80-e69299400127;2025-04-22;1900-01-01 10:13:00;;RS;;;NH;;RS;;;;;RS;;;MS;;;613;612.0
a29fee67-30b3-4270-83f6-a1365b57b212;2025-04-22;1900-01-01 10:15:00;;RS;;;;;RS;;;;;RS;;;;;;615;614.0
33d65e57-2445-40b1-a208-87eef1c0b16f;2025-04-22;1900-01-01 10:17:00;;RS;;;;;RS;;;;;RS;;;;;red;617;616.0
5da91d40-3192-4462-b65d-a752edd47a89;2025-04-22;1900-01-01 10:19:00;Yes;RS;;;;;RS;;;;;RS;;;;;green;619;618.0
36918c41-01fd-4a34-af4a-560aa2707cf1;2025-04-22;1900-01-01 10:21:00;;RS;;;;;RS;;;;;RS;;;;;;621;620.0
9b486c17-6583-4f8e-b725-f9304f2f852f;2025-04-22;1900-01-01 10:23:00;;RS;;;;;RS;;;NH;;RS;;;ST;;;623;622.0
81be6fe5-5a04-4b5d-848e-23d26f29a7e7;2025-04-22;1900-01-01 10:25:00;;RS;;;;;RS;;;;;RS;;;;;red;625;624.0
f7becd8e-7713-47dc-9fbb-01672b1e9df5;2025-04-22;1900-01-01 10:27:00;Yes;RS;;;;;RS;;;;;RS;;;;;green;627;626.0
59b060c2-15d2-409a-b0df-c83173e53a85;2025-04-22;1900-01-01 10:29:00;Yes;RS;;;;;RS;;;;;RS;;;;;green;629;628.0
4bb91234-e9e5-4138-9d3a-8e524a365a17;2025-04-22;1900-01-01 10:52:00;;RS;;;;;M;;NH;;;M;;ST;;;;652;651.0
04382ca9-b343-41fc-ab68-59a0d5b0a1bc;2025-04-22;1900-01-01 10:54:00;;RS;;;;;RS;;;;;RS;;;;;red;654;653.0
2344f164-e47b-436e-b1b2-bb1568747c71;2025-04-22;1900-01-01 10:56:00;Yes;RS;;;;;RS;;;;;RS;;;;;green;656;655.0
3c99744f-7cd2-44ae-a5cf-3710e372cafd;2025-04-22;1900-01-01 10:58:00;Yes;RS;;;;;RS;;;;;RS;;;;;green;658;657.0
5d9fad20-20fa-4ea1-84bd-680e1060a45f;2025-04-22;1900-01-01 11:00:00;Yes;RS;;;;;RS;;;;;RS;;;;;green;660;659.0
90d32cb9-e383-4d99-bf1d-2de2fd936603;2025-04-22;1900-01-01 11:02:00;Yes;RS;;;;;RS;;;;;RS;;;;;green;662;661.0
973c8299-0cfa-4576-b4d7-88bd0459773a;2025-04-22;1900-01-01 11:04:00;;RS;;;;;RS;;;;;RS;;;;;;664;663.0
17e571bf-7292-44db-b145-53adcf655864;2025-04-22;1900-01-01 11:06:00;;RS;;;;;GR;NH;;;;GG;ST;;;;red;666;665.0
4cef4b5f-f3e2-4b14-8881-9bc82e4543e8;2025-04-22;1900-01-01 11:08:00;Yes;RS;;;;;GR;NH;;;;GG;ST;;;;green;668;667.0
cd6c8241-ace5-4f75-a289-7c8e1b5ccca1;2025-04-22;1900-01-01 11:10:00;Yes;RS;;;;;GR;NH;;;;GG;ST;;;;green;670;669.0
7b91b444-90b8-401c-9094-57ea5363237a;2025-04-22;1900-01-01 11:12:00;Yes;RS;;;;;GR;NH;;;;GG;ST;;;;green;672;671.0
0f673f6a-252e-4175-b1bd-87240de5dd53;2025-04-22;1900-01-01 11:14:00;;RS;;;;;RS;;;;;RS;;;;;red;674;673.0
c7093aa9-028e-4d3c-8ffd-8bf36b1accff;2025-04-22;1900-01-01 11:16:00;Yes;RS;;;;;RS;;;;;RS;;;;;green;676;675.0
9bbaa949-29a8-4976-9454-51d568aa569b;2025-04-22;1900-01-01 11:18:00;;RS;;;;;DS;;;;;RS;;;;;;678;677.0
680a543f-5e61-4d08-bf2e-f4a7134bda73;2025-04-22;1900-01-01 11:20:00;;RS;;;;;DS;;;;;RS;;;;;;680;679.0
d6a23649-62b4-4809-bfcc-5f5516cd5ddc;2025-04-22;1900-01-01 11:22:00;;RS;;;;;RS;;;;;RS;;;;Displayed;;682;681.0
48f3b3f1-15d0-4b50-b6e9-e18dd9de4fe8;2025-04-22;1900-01-01 11:24:00;;RS;;;;;PL;;NH;;;PL;;ST;;;red;684;683.0
427e1132-5a8d-4e21-8340-ef0e2138ed8d;2025-04-22;1900-01-01 11:26:00;Yes;RS;;;;;PL;;NH;;;PL;;ST;;;green;686;685.0
2f92f495-8d14-450e-8e16-d7a8cdda0fc0;2025-04-22;1900-01-01 11:28:00;Yes;RS;;;;;PL;;NH;;;PL;;ST;;;green;688;687.0
823e0128-be98-43ef-a7de-48e44bd08c3c;2025-04-22;1900-01-01 11:30:00;Yes;RS;;;;;PL;;NH;;;PL;;ST;;;green;690;689.0
bfcf0e24-973a-45b7-a8c4-7185c63aef76;2025-04-22;1900-01-01 11:32:00;;RS;;;;;RS;;;NH;;RS;;;ST;;red;692;691.0
470331e1-42e6-43d4-a3eb-78078ee2127e;2025-04-22;1900-01-01 11:34:00;Yes;RS;;;;;RS;;;NH;;RS;;;ST;;green;694;693.0
e00e5389-cd9f-475b-817a-f42e20097714;2025-04-22;1900-01-01 11:36:00;Yes;RS;;;;;RS;;;NH;;RS;;;ST;;green;696;695.0
7f3c0cc0-4022-4fe3-8e38-7398a238ef44;2025-04-22;1900-01-01 11:38:00;Yes;RS;;;;;RS;;;NH;;RS;;;ST;;green;698;697.0
71527be2-f57d-4fd0-820c-c8fd53bb535c;2025-04-22;1900-01-01 11:40:00;;RS;;;;;RS;;;;;RS;;;;;red;700;699.0
7953e96f-4082-44ef-a0bf-707fb5ac1de7;2025-04-22;1900-01-01 11:42:00;Yes;RS;;;;;RS;;;;;RS;;;;;green;702;701.0
5ce797c3-88ad-4e7f-8c40-5ca1fb0874cc;2025-04-22;1900-01-01 11:44:00;;RS;;;;;RS;;;;;M;;;;;;704;703.0
