ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_LN_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;32_NR_Behavior;33_Contact;34_AR;35_3M;36_Occurence;37_Notes;highlight;msm;corrected_msm
50d2e2f8-519a-4533-b6f5-acedbae11d98;2025-05-01;1900-01-01 09:31:00;NO;E;;;;;;E;;;;;;E;;LN;;;;E;;GG;;;;E;;;;;;;571;570.0
204e4f03-606f-4ba7-9c98-a64fdf5f0f1c;2025-05-01;1900-01-01 09:33:00;NO;M;;;;;;E;;GG, LN;;;;E;;LN, SB;;;;E;;SB, GG;;;;E;;;;;;;573;572.0
ddcbc91e-d405-4da2-b7cf-c9ce3241b815;2025-05-01;1900-01-01 09:35:00;NO;PL;;NR;;;;E;;GG, LN;;;;E;;LN, SB;;;;E;;SB, GG;;;;PL;;MZ;;;;;575;574.0
f254229b-27b0-41eb-b569-460260f93e81;2025-05-01;1900-01-01 09:37:00;NO;E;;;;;;E;;LN, GG;;;;E;;LN, SB;;;;RS;;GG, SB;;;;E;;;;;;;577;576.0
fe856edd-3885-4f0c-a87a-d2b3610b96bb;2025-05-01;1900-01-01 09:39:00;NO;E;;;;;;E;;;NR, LN, GG;;;E;;LN, NR;SB;;;E;;NR, GG;SB;;;E;;GG, LN;SB;;;red;579;578.0
12da8f3c-2f46-412a-aec5-65fd59ce9315;2025-05-01;1900-01-01 09:41:00;Yes;E;;;;;;E;;;NR, LN, GG;;;E;;LN, NR;SB;;;E;;NR, GG;SB;;;E;;GG, LN;SB;;;green;581;580.0
8377e13c-e70f-486b-a587-f8d7c8aa7f85;2025-05-01;1900-01-01 09:43:00;Yes;E;;;;;;E;;;NR, LN, GG;;;E;;LN, NR;SB;;;E;;NR, GG;SB;;;E;;GG, LN;SB;;;green;583;582.0
0c978480-de14-4c2c-b770-ab53864c214a;2025-05-01;1900-01-01 09:45:00;Yes;E;;;;;;E;;;NR, LN, GG;;;E;;LN, NR;SB;;;E;;NR, GG;SB;;;E;;GG, LN;SB;;;green;585;584.0
3c5f7e21-019b-4e0f-807d-c5ef0201f6ce;2025-05-01;1900-01-01 09:47:00;NO;E;;;;;;E;;;LN, NR;;;M;;;;;;RS;;NR;SB;;;E;;LN;SB;;;red;587;586.0
ce3fccf8-6a29-42f5-86db-f57d99f8e0c2;2025-05-01;1900-01-01 09:49:00;Yes;E;;;;;;E;;;LN, NR;;;M;;;;;;RS;;NR;SB;;;E;;LN;SB;;;green;589;588.0
