ec5_uuid;date;1_TIme;2_NC;4_LN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_MN_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NR_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight;msm;corrected_msm
e35dc167-0d4b-41a3-88f9-b2124bb6040a;2025-05-20;1900-01-01 09:30:00;;RS;;;;;RS;;;;;E;;;NR;;E;;;NH;;;570;570.0
083c46de-f001-420f-bc04-70cd5ec7e012;2025-05-20;1900-01-01 09:32:00;;RS;;;;;E;;;;;RS;;;NR;;E;;;NH;;red;572;572.0
f0434942-16dc-456f-afb3-c4abf6607308;2025-05-20;1900-01-01 09:34:00;Yes;RS;;;;;E;;;;;RS;;;NR;;E;;;NH;;green;574;574.0
724e9a84-b7e5-46b4-9658-f71707b57420;2025-05-20;1900-01-01 09:36:00;;RS;;;;;RS;;;;;E;;;NR;;E;;;NH;;red;576;576.0
7a8e9f9c-3166-4ea0-bff1-ae6eec96ec16;2025-05-20;1900-01-01 09:38:00;Yes;RS;;;;;RS;;;;;E;;;NR;;E;;;NH;;green;578;578.0
410547ca-9a2e-47d9-a618-815663bc9a84;2025-05-20;1900-01-01 09:40:00;;RS;;;;;M;;;;;E;;;;;E;;;;;;580;580.0
18e9a5c6-431c-42a7-b832-e8aa7926f043;2025-05-20;1900-01-01 09:42:00;;RS;;;;;E;;;NR;;E;;;;;E;;;MN;;;582;582.0
86c3f697-fb29-4f1c-ab33-6a454d877214;2025-05-20;1900-01-01 09:44:00;;RS;;;;;E;;;NR;;E;;;;;E;;;MN;;red;584;584.0
75b3f2f3-fe7f-47dc-8ef6-c0e31131298e;2025-05-20;1900-01-01 09:46:00;Yes;RS;;;;;E;;;NR;;E;;;;;E;;;MN;;green;586;586.0
0b056eda-2db2-4b55-bbcc-a90d42d8907a;2025-05-20;1900-01-01 09:48:00;;RS;;;;;RS;;;NR;;RS;;;;;RS;;;MN;;red;588;588.0
da5e2b71-55b3-4697-b42a-651e1c04eea9;2025-05-20;1900-01-01 09:50:00;Yes;RS;;;;;RS;;;NR;;RS;;;;;RS;;;MN;;green;590;590.0
b2603242-baf9-4fe1-8b58-ec529ae8c5c8;2025-05-20;1900-01-01 09:52:00;;E;;NR;;;RS;;;;;RS;;;;;E;;LN;;;;592;592.0
9b6fea9b-4cc2-4370-97b8-6fc78914321b;2025-05-20;1900-01-01 09:54:00;;E;;NR;;;RS;;;NH;;RS;;;MN;;E;;LN;;;;594;594.0
d95d4efc-b424-481e-b935-90139f3058c7;2025-05-20;1900-01-01 09:56:00;;RS;;NR;;;M;;;;;RS;;;;;RS;;LN;;;;596;596.0
70eb8695-35bd-40ca-a149-7952ca6ff7ff;2025-05-20;1900-01-01 09:58:00;;RS;;NR;;;RS;;NH;;;RS;;MN;;;RS;;LN;;;;598;598.0
68ff6a64-b6bb-4d61-8f20-c7cecda23d4f;2025-05-20;1900-01-01 10:00:00;;RS;;NR;;;RS;;;;;M;;;;;RS;;LN;;;;600;600.0
b7cf84c1-23e4-4131-b13b-64ce8a242f11;2025-05-20;1900-01-01 10:02:00;;E;;NR;;;RS;;NH;;;RS;;MN;;;E;;LN;;;;602;602.0
3294ee72-6542-4c8a-ab28-7387cef01135;2025-05-20;1900-01-01 10:04:00;;E;;NR;NH;;RS;;;;;RS;;;NR, LN;;E;;LN;NH;;red;604;604.0
ebe0968f-8d08-4698-b636-f42de199d457;2025-05-20;1900-01-01 10:06:00;Yes;E;;NR;NH;;RS;;;;;RS;;;NR, LN;;E;;LN;NH;;green;606;606.0
f9da0be3-6b50-41a4-bb6e-f597e6924dfc;2025-05-20;1900-01-01 10:08:00;;RS;;NR;;;RS;;;;;M;;;;;RS;;LN;;;;608;608.0
