ec5_uuid;date;1_TIme;2_NC;4_MN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_LN_Behavior;29_Contact;30_AR;31_3M;Unnamed: 28;highlight;msm;corrected_msm
xyc;2025-03-11;1900-01-01 09:45:00;;M;;;;;M;;;;;M;;;;;RS;;;;;RS;;;;;;585;584.0
xyz;2025-03-11;1900-01-01 09:47:00;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;587;586.0
007393f8-4fe9-4880-a04d-53e3efef94c6;2025-03-11;1900-01-01 09:50:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;590;590.0
833d371e-054b-4a34-bd41-9e3e592baa69;2025-03-11;1900-01-01 09:51:00;NO;RS;;;;;RS;;;;;RS;;TK, TN;;;RS;;NY, ST;;;M;;NY, TK;;;;591;592.0
9b466443-684f-4718-afdb-169f2296d407;2025-03-11;1900-01-01 09:53:00;NO;RS;;;;;RS;;;;;M;;;;;RS;;;;;RS;;;;;;593;594.0
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d;2025-03-11;1900-01-01 09:56:00;NO;RS;;;NY;;RS;;;;;RS;;;ST;;RS;;;;;RS;;;;;;596;596.0
f5691a9a-fc19-4221-aa5e-704967b4b1c6;2025-03-11;1900-01-01 09:57:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;597;598.0
55eca3a1-dae1-4304-b140-83be6dcf9242;2025-03-11;1900-01-01 09:59:00;NO;GM;SR;;;;RS;;;;;RS;;;;;RS;;;;;GM;ST;;;;;599;600.0
5c6ae97d-5896-448a-83cd-aae8fa20b222;2025-03-11;1900-01-01 10:01:00;NO;GM;SR;;;;RS;;;;;RS;;;;;RS;;;;;GM;ST;;;;;601;602.0
7c737b84-df8f-4c41-82ed-762a14aa570b;2025-03-11;1900-01-01 10:03:00;NO;GM;SR;;;;RS;;;;;E;;TK;;;RS;;NY;;;GM;ST;;;;red;603;604.0
d048e454-faf1-4ef2-a0a6-4958ba53499d;2025-03-11;1900-01-01 10:05:00;Yes;GM;SR;;;;RS;;;;;E;;TK;;;RS;;NY;;;GM;ST;;;;green;605;606.0
55a553aa-d3ba-4b03-a39a-0fe5dae35a5a;2025-03-11;1900-01-01 10:07:00;NO;GG;NR;;;;RS;;;;;RS;;;;;RS;;;;;GR;MN;;;;red;607;608.0
ace16477-e6c4-4c15-a32f-321a919ca34e;2025-03-11;1900-01-01 10:09:00;Yes;GG;NR;;;;RS;;;;;RS;;;;;RS;;;;;GR;MN;;;;green;609;610.0
7316c168-4fd8-48c9-8cfc-432bed61b5a9;2025-03-11;1900-01-01 10:11:00;Yes;GG;NR;;;;RS;;;;;RS;;;;;RS;;;;;GR;MN;;;;green;611;612.0
f8ae8c9b-d917-44ae-badb-a2e40b6a3b3e;2025-03-11;1900-01-01 10:13:00;Yes;GG;NR;;;;RS;;;;;RS;;;;;RS;;;;;GR;MN;;;;green;613;614.0
6764d913-2a53-4cd0-b0f2-f25301a26609;2025-03-11;1900-01-01 10:15:00;Yes;GG;NR;;;;RS;;;;;RS;;;;;RS;;;;;GR;MN;;;;green;615;616.0
93900f6e-b2e6-4d4b-8bab-ef7ee2c0d457;2025-03-11;1900-01-01 10:17:00;Yes;GG;NR;;;;RS;;;;;RS;;;;;RS;;;;;GR;MN;;;;green;617;618.0
400314c9-af10-413f-8007-4983e81053eb;2025-03-11;1900-01-01 10:19:00;Yes;GG;NR;;;;RS;;;;;RS;;;;;RS;;;;;GR;MN;;;;green;619;620.0
796c4e7c-6ae6-4831-97e6-cc38747864a1;2025-03-11;1900-01-01 10:21:00;NO;GM;NR;;;;RS;;;;;RS;;;;;RS;;;;;GM;MN;;;;red;621;622.0
322fc77a-4908-4ff8-99ff-6098d3871158;2025-03-11;1900-01-01 10:23:00;Yes;GM;NR;;;;RS;;;;;RS;;;;;RS;;;;;GM;MN;;;;green;623;624.0
3de43702-8ec8-4737-a9ff-21e621e94b24;2025-03-11;1900-01-01 10:25:00;Yes;GM;NR;;;;RS;;;;;RS;;;;;RS;;;;;GM;MN;;;;green;625;626.0
bc4564f2-8cea-4475-93ec-477ff3e35443;2025-03-11;1900-01-01 10:27:00;Yes;GM;NR;;;;RS;;;;;RS;;;;;RS;;;;;GM;MN;;;;green;627;628.0
7ec87ce8-86c5-41bf-aea5-0f2df973ec1f;2025-03-11;1900-01-01 10:29:00;Yes;GM;NR;;;;RS;;;;;RS;;;;;RS;;;;;GM;MN;;;;green;629;630.0
19e14022-e1c3-44cd-b5ed-811669e97fb1;2025-03-11;1900-01-01 10:45:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;M;;;;;;645;645.0
