ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_LN_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;32_NR_Behavior;33_Contact;34_AR;35_3M;36_Occurence;37_Notes;highlight;msm;corrected_msm
232d84c5-5efa-43b5-9fa7-82bc058bf28b;2025-04-16;1900-01-01 09:33:00;NO;M;;;NR;;;E;;;;;;E;;LN;;;;RS;;GG;;;;M;;;MZ;;;;573;572.0
1153239d-c054-4dbc-ae89-80f9c56d9811;2025-04-16;1900-01-01 09:35:00;NO;M;;;;;;DS;;;;;;RS;;LN;;;;RS;;;;;;E;;;;;;;575;574.0
5eab034d-ae7a-4d4f-ac1c-c2f1876c7467;2025-04-16;1900-01-01 09:37:00;NO;RS;;;;;Display calling;M;;;;;;RS;;LN;;;;RS;;;;;;M;;;;;;;577;576.0
98d43e27-54d4-437e-b09b-898350610736;2025-04-16;1900-01-01 09:39:00;NO;M;;;NR;;;RS;;;;;;RS;;LN;;;;RS;;GG;;;;M;;;;;;;579;578.0
c2d3ee2c-c5f4-4de2-85d8-f8864d071cfd;2025-04-16;1900-01-01 09:41:00;NO;M;;;;;;RS;;;GG, LN;;;RS;;LN, NR;SB;;;E;;NR, GG;SB;;;RS;;LN, GG;;;;;581;580.0
f1624119-c99f-4050-86ec-b4c6dc3278a1;2025-04-16;1900-01-01 09:43:00;NO;M;;;;;Display;RL;;;GG, LN, NR;;;RS;;LN, NR;SB;;;E;;GG, NR;SB;;;RS;;GG, LN;SB;;;;583;582.0
fdbc0fbd-0877-4808-8339-43b1a3fc22ab;2025-04-16;1900-01-01 09:45:00;NO;RS;;;;;;RL;;;GG, LN, NR;;;RS;;LN, NR;SB;;;E;;GG, NR;SB;;;RS;;LN, GG;SB;;;red;585;584.0
8ccdc1ec-ced7-44e0-b6ae-acf777243691;2025-04-16;1900-01-01 09:47:00;Yes;RS;;;;;;RL;;;GG, LN, NR;;;RS;;LN, NR;SB;;;E;;GG, NR;SB;;;RS;;LN, GG;SB;;;green;587;586.0
e880c785-1e98-4e16-9a43-b6cae73f27ad;2025-04-16;1900-01-01 09:49:00;NO;M;;;;;;RL;;;LN, GG;;;RL;;LN;SB, NR;;;RL;;GG;NR, SB;;;RL;;;GG, LN;;;;589;588.0
be4814d8-ab79-4a36-8726-4a84bf6ef4fa;2025-04-16;1900-01-01 09:51:00;NO;RS;;;;;;RL;;;LN, GG;;;RS;;LN;SB, NR;;;RL;;GG;NR, SB;;;RL;;;GG, LN;;;red;591;590.0
bf275440-9549-49bc-8189-9613fce39711;2025-04-16;1900-01-01 09:52:00;Yes;RS;;;;;;RL;;;LN, GG;;;RS;;LN;SB, NR;;;RL;;GG;NR, SB;;;RL;;;GG, LN;;;green;592;592.0
216a9346-51d1-4724-9b82-4c1f897cc3a0;2025-04-16;1900-01-01 09:55:00;Yes;RS;;;;;;RL;;;LN, GG;;;RS;;LN;SB, NR;;;RL;;GG;NR, SB;;;RL;;;GG, LN;;;green;595;594.0
c7361d3e-ab27-4684-873d-9845a06b831d;2025-04-16;1900-01-01 09:57:00;Yes;RS;;;;;;RL;;;LN, GG;;;RS;;LN;SB, NR;;;RL;;GG;NR, SB;;;RL;;;GG, LN;;;green;597;596.0
53893950-20d4-4fd0-aa2b-d4dfb93b1470;2025-04-16;1900-01-01 09:59:00;NO;RS;;;;;;PL;;NR;;;;RL;;LN;;;;RL;;GG;;;;PL;;SB;;;;;599;598.0
d86a036f-bc1d-4ee5-8a69-cb4138aba374;2025-04-16;1900-01-01 10:01:00;NO;GG;NR;;;;;E;;;;;Display;RL;;LN;;;;RL;;GG;;;;GR;MZ;;;;;red;601;600.0
78b7a1eb-0ebe-4d35-a0d1-2eeb5ca0743f;2025-04-16;1900-01-01 10:03:00;Yes;GG;NR;;;;;E;;;;;Display;RL;;LN;;;;RL;;GG;;;;GR;MZ;;;;;green;603;602.0
282ae9d7-017e-44d4-883d-36726f4d7c4b;2025-04-16;1900-01-01 10:05:00;NO;GG;NR;;SB;;;RS;;;MZ, NR;;;RL;;LN;;;;RL;;GG;;;;GR;MZ;;SB;;;;605;604.0
0251fb6e-ddcf-4a9c-af53-189ed22e8980;2025-04-16;1900-01-01 10:07:00;NO;GG;NR;;;;;DS;;;;;;RL;;LN;;;;RL;;GG;;;;GR;MZ;;;;;;607;606.0
ff0ac2d6-7ea0-44b9-b45b-3f7886b5f50b;2025-04-16;1900-01-01 10:09:00;NO;GG;NR;;;;;M;;;;;;RL;;LN;;;;RL;;GG;;;;GR;MZ;;;;;;609;608.0
7ed783dc-9b49-4cb9-9fde-a64ff4a231a2;2025-04-16;1900-01-01 10:11:00;NO;M;;;;;;PL;;NR;;;;RL;;LN;;;;RL;;GG;;;;PL;;SB;;;;;611;610.0
b3383b5d-f057-4751-ac2a-a52bdae82130;2025-04-16;1900-01-01 10:13:00;NO;M;;;;;;M;;;;;;RL;;LN;;;;RL;;GG;;;;M;;;;;;;613;612.0
15a3bc78-356d-4d05-befa-79d7e566a108;2025-04-16;1900-01-01 10:15:00;NO;GG;LN;GG;;;;RL;;;;;;RL;;LN, MZ;;;;GR;MZ;GG;;;;RL;;;;;;red;615;614.0
90250a39-d49d-4988-8905-1dcf7bbdaf44;2025-04-16;1900-01-01 10:17:00;Yes;GG;LN;GG;;;;RL;;;;;;RL;;LN, MZ;;;;GR;MZ;GG;;;;RL;;;;;;green;617;616.0
c0e3dc9e-bb39-466d-96a7-b358878b041f;2025-04-16;1900-01-01 10:19:00;Yes;GG;LN;GG;;;;RL;;;;;;RL;;LN, MZ;;;;GR;MZ;GG;;;;RL;;;;;;green;619;618.0
48de9cf6-3a38-4a43-9aa5-811a4058cc05;2025-04-16;1900-01-01 10:21:00;NO;RL;;;;;;RL;;;;;;RL;;LN;;;;RS;;GG;;;;RS;;;;;;red;621;620.0
4ac3c01f-973b-45d1-949e-d7fbc51c5c57;2025-04-16;1900-01-01 10:23:00;Yes;RL;;;;;;RL;;;;;;RL;;LN;;;;RS;;GG;;;;RS;;;;;;green;623;622.0
350ccfa6-7b05-4020-bed5-efd99fcb31df;2025-04-16;1900-01-01 10:25:00;Yes;RL;;;;;;RL;;;;;;RL;;LN;;;;RS;;GG;;;;RS;;;;;;green;625;624.0
