ec5_uuid;date;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NH_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_MN_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NY_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight;msm;corrected_msm
33fc6c80-e143-49de-9b9c-1399cbf07617;2025-05-14;1900-01-01 09:35:00;;E;;;NH;;E;;;MS;;RS;;;;;E;;;;;;575;574.0
8e3dbd12-11a4-483b-a25f-1e00ecb980c2;2025-05-14;1900-01-01 09:38:00;;E;;;;;M;;;;;M;;;NY;;RS;;;MN;;;578;578.0
6bcfca8d-55c7-4eb8-902a-7003ada2d3a3;2025-05-14;1900-01-01 09:40:00;;RL;;;;;E;;;;;RS;;;;;E;;;;;red;580;580.0
a9066e8c-b496-43b3-955c-e12c1407e847;2025-05-14;1900-01-01 09:41:00;Yes;RL;;;;;E;;;;;RS;;;;;E;;;;;green;581;582.0
55ab8c4d-0475-4f2b-ba1d-f46d7af6b4bf;2025-05-14;1900-01-01 09:44:00;;RL;;;;;RS;;;;;RS;;;;;E;;;;;red;584;584.0
3719556a-ce29-413f-88ea-91e3470468a4;2025-05-14;1900-01-01 09:46:00;Yes;RL;;;;;RS;;;;;RS;;;;;E;;;;;green;586;586.0
a6ce1562-d160-452b-b5dd-23e413de026d;2025-05-14;1900-01-01 09:48:00;Yes;RL;;;;;RS;;;;;RS;;;;;E;;;;;green;588;588.0
a6cf9a14-152d-4059-af94-b0c214d3ae71;2025-05-14;1900-01-01 09:50:00;;RL;;;;;RS;;;;;RS;;;;;E;;;;;red;590;590.0
e56c9ee8-4aa8-4c77-b35b-d94dd16061ec;2025-05-14;1900-01-01 09:52:00;Yes;RL;;;;;RS;;;;;RS;;;;;E;;;;;green;592;592.0
70dd5c23-1dfb-4d06-85cc-c69913d38e99;2025-05-14;1900-01-01 09:54:00;Yes;RL;;;;;RS;;;;;RS;;;;;E;;;;;green;594;594.0
9995aae1-d13c-45fd-98f9-2d75919b7f3c;2025-05-14;1900-01-01 09:56:00;;RL;;;;;RS;;;NY, MN;;RS;;;NY, NH;;RS;;;NH, MN;;;596;596.0
2c8ee70f-32be-4cd3-83d9-2dae95dcc49d;2025-05-14;1900-01-01 09:58:00;;E;;;;;RS;;;;;RS;;NY;;;RS;;MN;;;red;598;598.0
592062c4-5c97-49f0-af79-b0a454c4feea;2025-05-14;1900-01-01 10:00:00;Yes;E;;;;;RS;;;;;RS;;NY;;;RS;;MN;;;green;600;600.0
620d907d-226b-423b-b61d-adae55a90d6e;2025-05-14;1900-01-01 10:02:00;;RL;;;;;RS;;;;;M;;;;;RS;;;;;;602;602.0
