ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_LN_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;32_NR_Behavior;33_Contact;34_AR;35_3M;36_Occurence;37_Notes;highlight;msm;corrected_msm
62b65ab8-f07f-4915-9bfb-ef1d2a276b69;2025-05-15;1900-01-01 09:30:00;NO;M;;;;;;E;;;;;;E;;LN;;;;E;;GG;;;;E;;;;;;;570;570.0
9e46e4e8-70d0-4c0f-aa74-7d313904af9e;2025-05-15;1900-01-01 09:32:00;NO;E;;;;;;E;;;LN;;;E;;;;;;E;;;SB;;;E;;;;;;red;572;572.0
163b18e9-8c6f-4d78-8805-f93794e57df8;2025-05-15;1900-01-01 09:34:00;Yes;E;;;;;;E;;;LN;;;E;;;;;;E;;;SB;;;E;;;;;;green;574;574.0
e29ca7aa-bb07-42b6-8531-4a929139a9b8;2025-05-15;1900-01-01 09:36:00;NO;E;;;;;;E;;;;;;E;;;;;;E;;;;;;E;;;;;;;576;576.0
ef442641-f46b-48dd-bf8e-b2ed7f1834c3;2025-05-15;1900-01-01 09:38:00;NO;M;;;;;;E;;;;;;E;;;;;;E;;;;;;E;;;;;;;578;578.0
1845f625-0dd7-4619-b006-66c3a0c84907;2025-05-15;1900-01-01 09:40:00;NO;E;;;NR;;;E;;;;;;E;;;;;;E;;;;;;E;;;MZ;;;;580;580.0
734d807d-d8db-4119-a47f-0e3a29fddf3c;2025-05-15;1900-01-01 09:42:00;NO;E;;;;;;M;;;;;;E;;;;;;E;;;;;;M;;;;;;;582;582.0
585f6266-6b64-490b-8cfe-f3335b930021;2025-05-15;1900-01-01 09:44:00;NO;E;;;;;;E;;;;;;E;;;;;;M;;;;;;E;;;;;;;584;584.0
90467651-8050-4166-b72d-68925699dc19;2025-05-15;1900-01-01 09:46:00;NO;M;;;;;;E;;;;;;E;;;;;;E;;;;;;E;;;;;;;586;586.0
1661a5dc-9b4e-4910-a0a3-ee1068015d30;2025-05-15;1900-01-01 09:48:00;NO;E;;;GG, NR;;;E;;;;;;GG;NR;;MZ;;;E;;;;;;GR;GG;;MZ;;;;588;588.0
5df8ce77-e27a-48c0-b68a-4c266165ba42;2025-05-15;1900-01-01 09:50:00;NO;RL;;;;;;E;;;;;;PL;;NR;;;;RL;;;;;;PL;;GG;;;;;590;590.0
8f481b46-feb7-4acf-b1b0-76eb8b834bcb;2025-05-15;1900-01-01 09:52:00;NO;RL;;;;;;E;;;;;;RS;;;;;;RL;;;;;;M;;;;;;;592;592.0
e09a16f1-f40c-405f-9a9b-54a06e29635c;2025-05-15;1900-01-01 09:54:00;NO;RS;;;;;;E;;;;;;E;;;;;;RL;;;;;;E;;;;;;;594;594.0
c4d8a381-d81b-4c04-a097-f83d09d5bda1;2025-05-15;1900-01-01 09:56:00;NO;RL;;;;;;E;;;;;;RL;;NR;LN;;;RL;;;GG, NR;;;RS;;GG;LN;;;;596;596.0
bd97176d-8d17-48ff-8288-d282c978e9fc;2025-05-15;1900-01-01 09:58:00;NO;RL;;;;;;E;;;;;;RL;;;LN;;;RL;;;GG;;;M;;;;;;;598;598.0
641f7b89-77a9-4d96-b27b-f0eb86636d2b;2025-05-15;1900-01-01 10:00:00;NO;RL;;;;;;E;;;;;;RL;;;LN;;;RL;;;GG;;;RL;;;;;;red;600;600.0
676fb820-2694-4699-bed5-2a8fbe53e234;2025-05-15;1900-01-01 10:02:00;Yes;RL;;;;;;E;;;;;;RL;;;LN;;;RL;;;GG;;;RL;;;;;;green;602;602.0
0dde17b4-c121-476f-886b-f8fc2a73c724;2025-05-15;1900-01-01 10:04:00;NO;RL;;;;;;RL;;;;;;RL;;;LN;;;RL;;;GG;;;RL;;;;;;red;604;604.0
34fd949d-d16d-4351-a21b-f337ab704d57;2025-05-15;1900-01-01 10:06:00;Yes;RL;;;;;;RL;;;;;;RL;;;LN;;;RL;;;GG;;;RL;;;;;;green;606;606.0
2d96a865-e57c-49c0-a915-6cb4a1266d97;2025-05-15;1900-01-01 10:08:00;Yes;RL;;;;;;RL;;;;;;RL;;;LN;;;RL;;;GG;;;RL;;;;;;green;608;608.0
3c7088d9-5d80-4a08-9725-b66d95776225;2025-05-15;1900-01-01 10:10:00;Yes;RL;;;;;;RL;;;;;;RL;;;LN;;;RL;;;GG;;;RL;;;;;;green;610;610.0
4144a572-d505-40c0-90d6-eed2b1f565c3;2025-05-15;1900-01-01 10:12:00;NO;RL;;;;;;RS;;NR;;;;RL;;;LN;;;RL;;;GG;;;RL;;SB;;;;;612;612.0
b7810cc4-4bf6-4658-826e-7c9f2e4bcef1;2025-05-15;1900-01-01 10:14:00;NO;RS;;;;;;E;;;;;;RL;;;LN;;;RL;;;GG;;;E;;;;;;red;614;614.0
9e1ffae9-d6bd-4a20-a1a5-c783d382653f;2025-05-15;1900-01-01 10:16:00;Yes;RS;;;;;;E;;;;;;RL;;;LN;;;RL;;;GG;;;E;;;;;;green;616;616.0
16c89ee7-cd63-4599-b60a-08ff2f58fdb2;2025-05-15;1900-01-01 10:18:00;NO;RS;;;;;;E;;;;;;RL;;;LN;;;RL;;;GG;;;M;;;;;;;618;618.0
d01f500d-1537-4f92-aa3d-68e6ab60f117;2025-05-15;1900-01-01 10:20:00;NO;RL;;;;;;E;;;;;;RS;;;LN;;;RL;;;GG;;;E;;;;;;;620;620.0
60ef8112-f763-4892-a935-bd90d48f9922;2025-05-15;1900-01-01 10:22:00;NO;RL;;;;;;E;;;;;;RS;;;LN;;;RL;;;GG;;;M;;;;;;red;622;622.0
502175a1-cd42-4320-aebe-f463916d0adb;2025-05-15;1900-01-01 10:24:00;Yes;RL;;;;;;E;;;;;;RS;;;LN;;;RL;;;GG;;;M;;;;;;green;624;624.0
cda3a71b-03a9-48eb-b085-b2c5fb04b11d;2025-05-15;1900-01-01 10:26:00;NO;RS;;;;;;E;;;;;;RS;;;LN;;;RL;;;GG;;;E;;;;;;;626;626.0
33c3b347-bc69-42cc-b5d2-33e52ace4c44;2025-05-15;1900-01-01 10:28:00;NO;RS;;;;;;PL;;NR;;;;RS;;;MZ, LN;;;RL;;;GG;;;PL;;SB;;;;;628;628.0
80c78284-e691-4bff-b5a1-fa410f5763a4;2025-05-15;1900-01-01 10:30:00;NO;RS;;;;;;RS;;;;;;RL;;;;;;RL;;;;;;M;;;;;;;630;630.0
ca3d9dd5-474e-4c89-b7e2-a16f6e7131db;2025-05-15;1900-01-01 10:46:00;NO;DS;;;;;;RS;;LN;;;;RS;;;;;;RS;;SB;;;;RS;;;;;;red;646;645.0
2b7c8570-d2b6-4ebd-a72b-d3af038ee73e;2025-05-15;1900-01-01 10:48:00;Yes;DS;;;;;;RS;;LN;;;;RS;;;;;;RS;;SB;;;;RS;;;;;;green;648;647.0
8f142188-2949-489e-8d27-0635bd6dfadd;2025-05-15;1900-01-01 10:50:00;NO;RS;;;;;;RS;;;LN;;;RS;;;;;;RS;;;SB;;;RS;;;;;;;650;649.0
b558aaed-6f31-4d6c-8222-f03f44ae65fd;2025-05-15;1900-01-01 10:52:00;NO;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;red;652;651.0
cb922e23-7822-4fd8-a216-8fd81f20f5c3;2025-05-15;1900-01-01 10:54:00;Yes;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;green;654;653.0
5043843b-1e4c-4eb2-991e-8b5b2420b597;2025-05-15;1900-01-01 10:56:00;NO;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;M;;;;;;;656;655.0
a2f84b5b-ef7b-4476-8b41-934f3a50ebb5;2025-05-15;1900-01-01 10:58:00;NO;RS;;;;;;RS;;NR;;;;RS;;;;;;RS;;;;;;RS;;SB;;;;;658;657.0
f201d22b-9cda-4604-827b-ac77297ce260;2025-05-15;1900-01-01 11:00:00;NO;RS;;;;;;PL;;NR;;;;RS;;;;;;RS;;;;;;PL;;SB;;;;;660;659.0
73147539-2063-4a65-ac62-e1c9a27e7de3;2025-05-15;1900-01-01 11:02:00;NO;GG;SB;;;;;GR;MZ;;;;;RS;;;;;;RS;;;;;;RS;;;;;;;662;661.0
b4c87654-859b-47cf-88d4-e41cfd056d3f;2025-05-15;1900-01-01 11:04:00;NO;RS;;;;;;PL;;LN;;;;RS;;;;;;PL;;SB;;;;RS;;;;;;red;664;663.0
b427a618-57bd-4cbd-95b3-932957929b6d;2025-05-15;1900-01-01 11:06:00;Yes;RS;;;;;;PL;;LN;;;;RS;;;;;;PL;;SB;;;;RS;;;;;;green;666;665.0
823691b4-6620-41b8-a03e-39ce87c5dcdb;2025-05-15;1900-01-01 11:08:00;NO;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;red;668;667.0
a770576d-76d9-4794-92a3-711b98c39908;2025-05-15;1900-01-01 11:10:00;Yes;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;green;670;669.0
e5d7bec7-94ba-4679-9a3d-b845ee8edd24;2025-05-15;1900-01-01 11:12:00;Yes;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;green;672;671.0
352a85f1-c65e-42ca-8e4d-7bb7f83f63cb;2025-05-15;1900-01-01 11:14:00;Yes;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;green;674;673.0
f99db85a-8621-438f-95a3-cc93d73b0b15;2025-05-15;1900-01-01 11:16:00;NO;GG;SB;;;;;GR;MZ;;;;;RS;;;;;;RS;;;;;;RS;;;;;;red;676;675.0
9c2cbb78-dbb1-4d8e-bb4e-0aa97e99272b;2025-05-15;1900-01-01 11:18:00;Yes;GG;SB;;;;;GR;MZ;;;;;RS;;;;;;RS;;;;;;RS;;;;;;green;678;677.0
1a37b904-cde2-4ab8-b5a4-f271c6f709b2;2025-05-15;1900-01-01 11:20:00;Yes;GG;SB;;;;;GR;MZ;;;;;RS;;;;;;RS;;;;;;RS;;;;;;green;680;679.0
c53b050c-2d53-4b6c-b278-cc9b2d7865b3;2025-05-15;1900-01-01 11:22:00;Yes;GG;SB;;;;;GR;MZ;;;;;RS;;;;;;RS;;;;;;RS;;;;;;green;682;681.0
90b48497-d45c-4c20-976b-0316826e4142;2025-05-15;1900-01-01 11:24:00;NO;RS;;;;;;PL;;GG;;;;PL;;;;;;RS;;;;;;RS;;;;;;;684;683.0
f514061d-980f-4602-ab59-602f04d814da;2025-05-15;1900-01-01 11:26:00;NO;RS;;;;;;E;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;red;686;685.0
d92bda30-23a6-4962-a6c9-d66414a01b57;2025-05-15;1900-01-01 11:28:00;Yes;RS;;;;;;E;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;green;688;687.0
0019c6a6-074e-45c3-964f-b156ca9ed239;2025-05-15;1900-01-01 11:30:00;Yes;RS;;;;;;E;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;green;690;689.0
d3c44732-7060-4657-b23b-6b389eca13ee;2025-05-15;1900-01-01 11:32:00;NO;RS;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;RL;;;;;;red;692;691.0
44255dec-2b69-4e04-9dcb-5bd3b49df9fb;2025-05-15;1900-01-01 11:34:00;Yes;RS;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;RL;;;;;;green;694;693.0
aeda6719-4707-411e-b76b-196fc5101755;2025-05-15;1900-01-01 11:36:00;Yes;RS;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;RL;;;;;;green;696;695.0
ebc7570e-e3ff-49e7-b247-30d93c0add8d;2025-05-15;1900-01-01 11:38:00;Yes;RS;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;RL;;;;;;green;698;697.0
9bb9af92-9a84-4c08-a1db-b6c698e306c5;2025-05-15;1900-01-01 11:40:00;Yes;RS;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;RL;;;;;;green;700;699.0
ae678263-e652-4746-9db6-c71b75fb0e65;2025-05-15;1900-01-01 11:42:00;Yes;RS;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;RL;;;;;;green;702;701.0
10020cde-89af-4171-a280-0b8932a9f3aa;2025-05-15;1900-01-01 11:44:00;Yes;RS;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;RL;;;;;;green;704;703.0
07898ece-8f90-46be-ba00-7588b9733db9;2025-05-15;1900-01-01 11:46:00;NO;RS;;;;;;RL;;;;;;GG;NR;;;;;RS;;;;;;GR;GG;;;;;;706;705.0
