ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_MS_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;highlight;msm;corrected_msm
7d0383fa-6170-4ebe-80a4-99a8f66c65ea;2025-05-04;1900-01-01 09:34:00;NO;E;;;;;;RS;;MS;;;;E;;;;;;E;;SB;;;;;574;574.0
916559f1-4432-4992-ba9f-f9d1dbec7f67;2025-05-04;1900-01-01 09:36:00;NO;E;;;;;;M;;MS;;;;E;;;;;;M;;SB;;;;;576;576.0
a2ad23b5-7573-4012-8f0a-57c4c823d7b9;2025-05-04;1900-01-01 09:37:00;NO;E;;;;;;RS;;MS;;;;E;;;;;;E;;SB;;;;;577;578.0
d9547d65-1eb4-4406-813f-8676ce5ec967;2025-05-04;1900-01-01 09:39:00;NO;E;;;;;;M;;;;;;E;;;;;;E;;;;;;;579;580.0
6090cf28-037b-47eb-9321-74fc697b3d3a;2025-05-04;1900-01-01 09:41:00;NO;E;;;;;;M;;;MS;;;E;;;;;;E;;;SB;;;;581;582.0
73e08912-8989-4214-8124-e342db56e1c9;2025-05-04;1900-01-01 09:43:00;NO;E;;;;;;E;;GG;;;;E;;SB;;;;E;;;;;;red;583;584.0
42edb8e6-5f45-40bb-8d14-287c33b6207d;2025-05-04;1900-01-01 09:45:00;Yes;E;;;;;;E;;GG;;;;E;;SB;;;;E;;;;;;green;585;586.0
34c9e881-c94b-477e-9156-236462c004d3;2025-05-04;1900-01-01 09:47:00;NO;E;;;;;;E;;GG;;;;E;;SB;;;;M;;;;;;red;587;588.0
d38af0f5-c3ec-445e-87b5-af3ccf16d3e9;2025-05-04;1900-01-01 09:49:00;Yes;E;;;;;;E;;GG;;;;E;;SB;;;;M;;;;;;green;589;590.0
a9639fa1-a61c-4485-b45b-98464060564e;2025-05-04;1900-01-01 09:52:00;NO;E;;;;;;E;;GG;MS;;;E;;SB, MS;;;;E;;GG;SB;;;red;592;592.0
3d39fbf3-ae8c-44f9-90af-460365947868;2025-05-04;1900-01-01 09:54:00;Yes;E;;;;;;E;;GG;MS;;;E;;SB, MS;;;;E;;GG;SB;;;green;594;594.0
e480509f-8977-4668-8103-854edf433943;2025-05-04;1900-01-01 09:56:00;Yes;E;;;;;;E;;GG;MS;;;E;;SB, MS;;;;E;;GG;SB;;;green;596;596.0
7507249e-65d5-4ded-8010-f8e03b8469e4;2025-05-04;1900-01-01 09:57:00;NO;RL;;;;;;E;;;GG, MS;;;GG;MS;;;;;GR;GG;;;;;;597;598.0
5937de04-5812-4dda-abc4-4edd41f3d87e;2025-05-04;1900-01-01 10:00:00;NO;RL;;;;;;E;;MS, GG;;;;RS;;MS, SB;;;;RS;;SB, GG;;;;;600;600.0
7def74cd-89cd-4b27-a600-11f9b6c8ebdc;2025-05-04;1900-01-01 10:02:00;NO;RL;;;;;;E;;MS, GG;;;;RL;;MS, SB;;;;RL;;GG, SB;;;;;602;602.0
3567d647-b035-4e81-b39a-a0366c99202a;2025-05-04;1900-01-01 10:03:00;NO;RL;;;;;;M;;;MS, GG;;;RL;;MS;SB;;;RL;;GG;SB;;;;603;604.0
7202f59e-4cb9-48df-b0d0-1288dd080062;2025-05-04;1900-01-01 10:06:00;NO;RL;;;;;;RL;;;;;;RL;;MS;;;;RL;;GG;;;;;606;606.0
e9d4534f-c4a5-442d-974d-d575cfbdd38e;2025-05-04;1900-01-01 10:07:00;NO;RL;;;;;;RL;;;;;;SD;;MS;;;;RS;;GG;;;;;607;608.0
7bb1e41a-cf65-4f3e-83da-ce7332ccf4a4;2025-05-04;1900-01-01 10:10:00;NO;RS;;;;;;RL;;;;;;M;;;;;;M;;;;;;;610;610.0
01a842f9-610f-4244-a52e-65c315c0aa32;2025-05-04;1900-01-01 10:11:00;NO;M;;;;;Banging on neighbors cage;DS;;;;;;M;;;;;;DS;;;;;;;611;612.0
aa98046b-75c2-48b3-9d6b-073878224025;2025-05-04;1900-01-01 10:14:00;NO;DS;;;;;;DS;;;;;;M;;;;;;DS;;;;;Banging on neighbors cage;;614;614.0
