ec5_uuid,condition,date,msm,group,is_all_occasions,trial,phase,first_day,block_ID,Ind1,behaviour,partner,notes,playing,aggression,agg_morn1,play_morn1,agg_morn2,play_morn2,agg_enrich,play_enrich,agg_extra,play_extra
pBh,Playback,2025-04-04,582,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1,0,0,0,0,0,0,0
kud,Playback,2025-04-04,688,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,DS,,,0,1,0,0,1,0,0,0,0,0
O5Z,Playback,2025-04-04,856,3,True,3,enrich,False,enrich_3_trial3_sec_play,ST,DS,,,0,1,0,0,0,0,1,0,0,0
EYO,Playback,2025-04-04,859,3,True,3,enrich,False,enrich_3_trial3_sec_play,ST,DS,,,0,1,0,0,0,0,1,0,0,0
PWQ,Playback,2025-04-04,625,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1,0,0,0,0,0,0,0
hRT,Playback,2025-04-04,628,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1,0,0,0,0,0,0,0
0jF,Playback,2025-04-04,629,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1,0,0,0,0,0,0,0
VuV,Playback,2025-04-04,635,3,True,3,extra,False,extra_3_trial3_sec_play,ST,DS,,BEFORE PLAYBACK,0,1,0,0,0,0,0,0,1,0
THT,Playback,2025-04-04,652,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,DS,,,0,1,0,0,1,0,0,0,0,0
9sX,Playback,2025-04-04,654,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,DS,,,0,1,0,0,1,0,0,0,0,0
any,Playback,2025-04-04,672,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,PL,TK,WRESTLE,1,0,0,0,0,1,0,0,0,0
fTQ,Playback,2025-04-04,674,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,DS,,,0,1,0,0,1,0,0,0,0,0
xVm,Playback,2025-04-04,679,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,PL,TN,CHASE & WRESTLE,1,0,0,0,0,1,0,0,0,0
g4q,Playback,2025-04-04,680,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,PL,TN,CHASE & WRESTLE,1,0,0,0,0,1,0,0,0,0
TQP,Playback,2025-04-04,681,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,PL,TN,CHASE & WRESTLE,1,0,0,0,0,1,0,0,0,0
iZ9,Playback,2025-04-04,682,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,PL,TN,CHASE & WRESTLE,1,0,0,0,0,1,0,0,0,0
6Ls,Playback,2025-04-04,683,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,PL,TN,CHASE & WRESTLE,1,0,0,0,0,1,0,0,0,0
oTQ,Playback,2025-04-04,582,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1,0,0,0,0,0,0,0
KVc,Playback,2025-04-04,586,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1,0,0,0,0,0,0,0
tqV,Playback,2025-04-04,629,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1,0,0,0,0,0,0,0
REc,Playback,2025-04-04,647,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,DS,,,0,1,0,0,1,0,0,0,0,0
mMa,Playback,2025-04-04,584,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1,0,0,0,0,0,0,0
mju,Playback,2025-04-04,825,3,True,3,enrich,False,enrich_3_trial3_sec_play,ST,DS,,,0,1,0,0,0,0,1,0,0,0
8wE,Playback,2025-04-04,857,3,True,3,enrich,False,enrich_3_trial3_sec_play,ST,PL,TK,,1,0,0,0,0,0,0,1,0,0
40C,Playback,2025-04-04,811,3,True,3,enrich,False,enrich_3_trial3_sec_play,ST,DS,,,0,1,0,0,0,0,1,0,0,0
DV8,Crow,2025-05-01,619,3,True,5,morn1,False,morn1_3_trial5_sec_cont,ST,DS,,,0,1,1,0,0,0,0,0,0,0
Ahr,Crow,2025-05-01,682,3,True,5,morn2,False,morn2_3_trial5_sec_cont,ST,DS,,,0,1,0,0,1,0,0,0,0,0
nZF,Crow,2025-05-01,685,3,True,5,morn2,False,morn2_3_trial5_sec_cont,ST,DS,,,0,1,0,0,1,0,0,0,0,0
Swd,Crow,2025-05-01,687,3,True,5,morn2,False,morn2_3_trial5_sec_cont,ST,DS,,,0,1,0,0,1,0,0,0,0,0
bgt,Crow,2025-05-01,805,3,True,5,enrich,False,enrich_3_trial5_sec_cont,ST,PL,TK,,1,0,0,0,0,0,0,1,0,0
NUb,Crow,2025-05-04,684,2,True,6,morn2,True,morn2_2_trial6_first_cont,ST,DS,,,0,1,0,0,1,0,0,0,0,0
N3J,Crow,2025-05-04,700,2,True,6,morn2,True,morn2_2_trial6_first_cont,ST,DS,,,0,1,0,0,1,0,0,0,0,0
mpf,Crow,2025-05-05,863,2,True,6,enrich,False,enrich_2_trial6_sec_cont,ST,PL,NY,CHASE,1,0,0,0,0,0,0,1,0,0
FnG,Crow,2025-05-05,864,2,True,6,enrich,False,enrich_2_trial6_sec_cont,ST,PL,NY,,1,0,0,0,0,0,0,1,0,0
gEo,Crow,2025-05-05,883,2,True,6,enrich,False,enrich_2_trial6_sec_cont,ST,PL,NY,,1,0,0,0,0,0,0,1,0,0
