ec5_uuid,created_at,1_TIme,2_NC,4_ST_Behavior,5_Contact,6_AR,7_3M,8_Notes,10_NY_Behavior,11_Contact,12_AR,13_3M,14_Notes,16_SR_Behavior,17_Contact,18_AR,19_3M,20_Notes,22_TK_Behavior,23_Contact,24_AR,25_3M,26_Notes,28_TN_Behavior,29_Contact,30_AR,31_3M,32_Notes,34_LN_Behavior,35_Contact,36_AR,37_3M,38_Notes,40_MT_Behavior,41_Contact,42_AR,43_3M,44_Notes,46_NR_Behavior,47_Contact,48_AR,49_3M,50_Notes,date_dt,date_str,condition,date,msm,group,Ind1,behaviour,partner,notes,playing,aggression,trial,phase,block_ID,qualifier,4_MS_Behavior,10_ST_Behavior,16_NH_Behavior,22_LN_Behavior,28_NR_Behavior,34_MN_Behavior,40_NY_Behavior,4_MZ_Behavior,8_Occurence,9_Notes,11_SB_Behavior,12_Contact,13_AR,14_3M,15_Occurence,16_Notes,18_GG_Behavior,19_Contact,20_AR,21_3M,22_Occurence,23_Notes,25_TN_Behavior,26_Contact,27_AR,28_3M,29_Occurence,30_Notes,32_SR_Behavior,33_Contact,34_AR,35_3M,36_Occurence,37_Notes,38_MS_Behavior,39_Contact,40_AR,41_3M,42_Occurence,43_Notes,44_LN_Behavior,45_Contact,46_AR,47_3M,48_Occurence,49_Notes,50_NR_Behavior,51_Contact,52_AR,53_3M,54_Occurence,55_Notes
Ahr,05.01.2025,11:22,,DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-05 00:00:00,05-01-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nZF,05.01.2025,11:25,,DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-05 00:00:00,05-01-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swd,05.01.2025,11:27,,DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-05 00:00:00,05-01-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bgt,05.01.2025,13:25,,PL,,TK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-05 00:00:00,05-01-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUb,05.04.2025,11:24,,DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-05 00:00:00,05-04-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3J,05.04.2025,11:40,,DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-05 00:00:00,05-04-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpf,05.05.2025,14:23,,PL,,NY,,CHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-05 00:00:00,05-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FnG,05.05.2025,14:24,,PL,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-05 00:00:00,05-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gEo,05.05.2025,14:43,,PL,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-05 00:00:00,05-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jPE,05.05.2025,14:44,,PL,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-05 00:00:00,05-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uO3,05.05.2025,14:45,,PL,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-05 00:00:00,05-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
