ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_TN_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;32_SR_Behavior;33_Contact;34_AR;35_3M;36_Occurence;37_Notes;highlight;msm;corrected_msm
a40bbdbf-5ee5-494a-950f-cadfb2c5a518;2025-04-09;1900-01-01 09:34:00;NO;M;;;;;;M;;GG;;;;M;;SB;;;;M;;;;;;;;;;;;;574;574.0
78b5d82c-a033-4510-a3b1-2d1d6bf83d9d;2025-04-09;1900-01-01 09:35:00;NO;E;;;;;;E;;;;;;E;;;;;;E;;;;;;;;;;;;;575;576.0
776450ca-e832-4955-b6ee-a5decbf96a0b;2025-04-09;1900-01-01 09:38:00;NO;E;;;GG;;;E;;;;;;E;;;MZ;;;E;;;;;;;;;;;;;578;578.0
0b36b048-7f07-42a4-97a2-30c60c3b1fa7;2025-04-09;1900-01-01 09:40:00;NO;PL;;TN;;;;E;;;;;;E;;;;;;PL;;MZ;;;;;;;;;;;580;580.0
665e9710-6902-4c51-96af-37e42cb60eaa;2025-04-09;1900-01-01 09:41:00;NO;PL;;TN, GG;;;;E;;;;;;PL;;TN, MZ;;;;PL;;MZ, GG;;;;;;;;;;;581;582.0
e108a976-40cd-47c4-a283-cf8e30d07095;2025-04-09;1900-01-01 09:44:00;NO;PL;;TN;;;;E;;;;;;E;;;;;;PL;;MZ;;;;;;;;;;;584;584.0
d7be8381-7ddc-4076-aa82-51759850cf9e;2025-04-09;1900-01-01 09:45:00;NO;GG;TN;;;;;E;;;;;;E;;;;;;GR;MZ;;;;;;;;;;;;585;586.0
0fd61614-dead-434b-a772-8f592772148e;2025-04-09;1900-01-01 09:48:00;NO;E;;;GG;;;E;;;MZ;;;E;;;;;;E;;;;;;;;;;;;;588;588.0
d2187b87-7ae1-4931-80b3-b64a9b70062a;2025-04-09;1900-01-01 09:50:00;NO;E;;;;;;E;;;;;;E;;;;;;E;;;;;;;;;;;;;590;590.0
93471399-1af9-4da7-8182-aac3a22a5093;2025-04-09;1900-01-01 09:52:00;NO;E;;;;;;E;;;;;;E;;;;;;E;;;;;;;;;;;;;592;592.0
2d354261-0fda-42b4-b428-f8eecc5d5bb2;2025-04-09;1900-01-01 09:54:00;NO;E;;;;;;E;;;GG;;;E;;;SB;;;E;;;;;;;;;;;;red;594;594.0
90ea533a-b853-489f-95ce-69e0563f1a84;2025-04-09;1900-01-01 09:56:00;Yes;E;;;;;;E;;;GG;;;E;;;SB;;;E;;;;;;;;;;;;green;596;596.0
088f007d-bcf7-4e5c-95ab-2c481cfd2975;2025-04-09;1900-01-01 09:57:00;NO;GG;TN;;;;;E;;;;;;E;;;;;;GR;MZ;;;;;;;;;;;;597;598.0
a1f259b2-b65b-4210-9942-c78e925c4652;2025-04-09;1900-01-01 09:59:00;NO;E;;SB;;;;E;;MZ;;;;M;;;;;;E;;;;;;;;;;;;;599;600.0
45a72dfd-3c7f-45bb-9071-14b1a747c07e;2025-04-09;1900-01-01 10:02:00;NO;E;;TN;;;;E;;;;;;GG;;;;;;E;;MZ;;;;;;;;;;;602;602.0
3ddd00e8-8d78-4651-aebc-d3c3b50b7cb2;2025-04-09;1900-01-01 10:04:00;NO;E;;;;;;E;;;;;;M;;;;;;M;;;;;;;;;;;;;604;604.0
d0e19dc4-ff87-44bb-b2dd-c8e0370b8ae4;2025-04-09;1900-01-01 10:06:00;NO;E;;;;;;E;;;GG;;;E;;;SB;;;E;;;;;;;;;;;;red;606;606.0
921d480a-b8c6-45b8-8600-f61dd62d9817;2025-04-09;1900-01-01 10:08:00;Yes;E;;;;;;E;;;GG;;;E;;;SB;;;E;;;;;;;;;;;;green;608;608.0
8fba5d28-554f-42a0-8e4f-8aa53ff5f5f7;2025-04-09;1900-01-01 10:10:00;Yes;E;;;;;;E;;;GG;;;E;;;SB;;;E;;;;;;;;;;;;green;610;610.0
ab81d511-d110-4ea6-950c-bd2144b02955;2025-04-09;1900-01-01 10:12:00;Yes;E;;;;;;E;;;GG;;;E;;;SB;;;E;;;;;;;;;;;;green;612;612.0
ec33bce1-1102-4ad2-97f3-f7a0ab656b2c;2025-04-09;1900-01-01 10:13:00;NO;RS;;GG, TN;;;;E;;;;;;GG;TN;MZ;;;;GR;GG;MZ;;;;;;;;;;;613;614.0
cb5d82ab-f62b-4ee3-86f8-fac331cf3ef1;2025-04-09;1900-01-01 10:16:00;NO;GG;TN;;;;;E;;;;;;RS;;;;;;GR;MZ;;;;;;;;;;;red;616;616.0
67ee59de-6832-4c7b-b399-04d421b1d273;2025-04-09;1900-01-01 10:18:00;Yes;GG;TN;;;;;E;;;;;;RS;;;;;;GR;MZ;;;;;;;;;;;green;618;618.0
ece5a24b-fce8-4ad2-8f1d-90e9052272ac;2025-04-09;1900-01-01 10:19:00;Yes;GG;TN;;;;;E;;;;;;RS;;;;;;GR;MZ;;;;;;;;;;;green;619;620.0
950472d4-e6e3-46c7-afac-1efd46b5a82d;2025-04-09;1900-01-01 10:22:00;NO;RL;;;;;;RS;;;;;;SD;;;;;;E;;;;;;;;;;;;red;622;622.0
3c75fb24-9c6b-49a6-bcd7-030c56fed3bc;2025-04-09;1900-01-01 10:24:00;Yes;RL;;;;;;RS;;;;;;SD;;;;;;E;;;;;;;;;;;;green;624;624.0
22148e8f-a2a6-4fb7-bf32-83a2f097c064;2025-04-09;1900-01-01 10:26:00;NO;RL;;;;;;RS;;;;;;RS;;;;;;E;;;;;;;;;;;;red;626;626.0
3f563c99-1f83-4c9b-b9cf-3dd0161c39cf;2025-04-09;1900-01-01 10:28:00;Yes;RL;;;;;;RS;;;;;;RS;;;;;;E;;;;;;;;;;;;green;628;628.0
793af2a3-e959-45b3-a301-9036ab634e89;2025-04-09;1900-01-01 10:30:00;NO;RL;;;;;;RS;;;;;;M;;;;;;E;;;;;;;;;;;;;630;630.0
cff26ad3-f81b-40fd-8e1e-aa33e64041a7;2025-04-09;1900-01-01 10:32:00;NO;RS;;;;;;RS;;;;;;RL;;;;;;M;;;;;;;;;;;;;632;
ac852013-999b-4767-a331-d08e3b666eee;2025-04-09;1900-01-01 10:34:00;NO;RS;;;;;;RS;;;;;;RS;;;;;;E;;;;;;;;;;;;;634;
c319a4e9-0ed6-4942-afbd-2341e191f0d5;2025-04-09;1900-01-01 10:36:00;NO;RL;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;;;;;;;;636;
4435061e-7aad-458e-971e-7dfc344bd018;2025-04-09;1900-01-01 10:38:00;NO;RL;;;;;;RS;;;;;;RS;;;;;;E;;;;;;;;;;;;;638;
212a7b73-e980-48c7-905c-c48f0165c5ff;2025-04-09;1900-01-01 10:46:00;NO;RS;;;;;;RS;;;;;;RL;;;;;;E;;;;;;;;;;;;red;646;645.0
fdb93609-bd83-4a7a-b5c9-b8d257383512;2025-04-09;1900-01-01 10:47:00;Yes;RS;;;;;;RS;;;;;;RL;;;;;;E;;;;;;;;;;;;green;647;647.0
c46def2d-d808-492b-9c67-63a5c479f103;2025-04-09;1900-01-01 10:50:00;Yes;RS;;;;;;RS;;;;;;RL;;;;;;E;;;;;;;;;;;;green;650;649.0
a2ebc417-e261-452e-ba35-7f3a8d3487eb;2025-04-09;1900-01-01 10:51:00;Yes;RS;;;;;;RS;;;;;;RL;;;;;;E;;;;;;;;;;;;green;651;651.0
2c2747aa-34aa-4333-ad79-3d8774f5b88f;2025-04-09;1900-01-01 10:53:00;Yes;RS;;;;;;RS;;;;;;RL;;;;;;E;;;;;;;;;;;;green;653;653.0
cddc7a54-ca62-4d58-b15b-955ec25b0450;2025-04-09;1900-01-01 10:56:00;Yes;RS;;;;;;RS;;;;;;RL;;;;;;E;;;;;;;;;;;;green;656;655.0
d8316a0a-56ae-413b-ae22-472e73054d6f;2025-04-09;1900-01-01 10:58:00;Yes;RS;;;;;;RS;;;;;;RL;;;;;;E;;;;;;;;;;;;green;658;657.0
465a22fe-d7a2-4524-80a2-bd8683ca0433;2025-04-09;1900-01-01 11:00:00;NO;M;;;;;;RS;;;;;;RS;;;;;;E;;;;;;;;;;;;;660;659.0
d2ac1358-aad6-4adf-b05c-3108fe54d6d8;2025-04-09;1900-01-01 11:02:00;NO;RS;;GG;SB;;;RS;;GG;MZ;;;RS;;MZ, SB;;;;E;;;;;;;;;;;;;662;661.0
a623f8cb-3dd3-4928-b718-db524f77f2c2;2025-04-09;1900-01-01 11:04:00;NO;E;;;;;;RS;;;;;;RS;;;;;;E;;;;;;;;;;;;;664;663.0
94748232-03fc-4aa5-b0b0-73864047c9ad;2025-04-09;1900-01-01 11:06:00;NO;RS;;;;;;RS;;;;;;RS;;TN;;;;RS;;GG;;;;;;;;;;;666;665.0
aee8553a-6b4e-4c72-854f-90adae56b1ca;2025-04-09;1900-01-01 11:07:00;NO;RL;;;;;;RS;;;;;;RS;;TN;;;;RS;;GG;;;;;;;;;;red;667;667.0
219eec76-799b-4554-800d-f2adfae4807c;2025-04-09;1900-01-01 11:10:00;Yes;RL;;;;;;RS;;;;;;RS;;TN;;;;RS;;GG;;;;;;;;;;green;670;669.0
