file_type;date;time;gap_minutes
B;2025-04-16;09:30;570
B;2025-04-16;10:47;647
B;2025-04-16;10:49;649
B;2025-04-16;10:51;651
B;2025-04-17;09:58;598
B;2025-04-17;13:17;797
B;2025-04-30;09:30;570
B;2025-05-14;09:30;570
B;2025-05-14;09:32;572
B;2025-05-14;09:36;576
