ec5_uuid;date;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;highlight;msm;corrected_msm
2c65effd-47f7-48c4-b76a-7c30888af3ce;2025-04-21;1900-01-01 09:32:00;;E;;NH;;;RS;;;;;SD;;MS;;;;572;572.0
190a107d-1c26-44a5-9847-164e62fa1498;2025-04-21;1900-01-01 09:35:00;;E;;;;;PL;;NH;;;PL;;ST;;;red;575;574.0
7f0b37c9-2590-4cf6-a37c-1259d323149b;2025-04-21;1900-01-01 09:37:00;Yes;E;;;;;PL;;NH;;;PL;;ST;;;green;577;576.0
73844f79-1112-4a18-a21f-9f2a44eddaa5;2025-04-21;1900-01-01 09:38:00;;E;;;;;GM;NH;;;;GM;ST;;;;;578;578.0
3421ef71-7fab-4791-a25a-5154df1f3976;2025-04-21;1900-01-01 09:41:00;;E;;;;;GR;NH;;;;GG;ST;;;;red;581;580.0
4aa71647-d02c-4a8b-83be-5f4c33e1149e;2025-04-21;1900-01-01 09:42:00;Yes;E;;;;;GR;NH;;;;GG;ST;;;;green;582;582.0
18a92260-7a24-4271-ab90-ee66ef2f0c0d;2025-04-21;1900-01-01 09:45:00;Yes;E;;;;;GR;NH;;;;GG;ST;;;;green;585;584.0
8ff186be-1ab0-43a0-a3f8-771651cd22ba;2025-04-21;1900-01-01 09:46:00;Yes;E;;;;;GR;NH;;;;GG;ST;;;;green;586;586.0
71a4d096-ffcf-4b9b-8f39-d7b04b418bb2;2025-04-21;1900-01-01 09:49:00;Yes;E;;;;;GR;NH;;;;GG;ST;;;;green;589;588.0
705560c6-958e-423f-b191-8502f28fa8dc;2025-04-21;1900-01-01 09:51:00;;E;;;;;E;;;NH;;E;;;ST;;;591;590.0
1742008b-9c21-4ffe-a7ad-ea64376946d1;2025-04-21;1900-01-01 09:52:00;;E;;;NH;;E;;;;;E;;;MS;;red;592;592.0
f12fc6cc-bca1-41ad-a608-641bda8be9bc;2025-04-21;1900-01-01 09:55:00;Yes;E;;;NH;;E;;;;;E;;;MS;;green;595;594.0
f5258839-c179-4e96-9216-4ea1be196d54;2025-04-21;1900-01-01 09:57:00;;RL;;;NH;;M;;;;;E;;;MS;;;597;596.0
eedccea1-2b00-430a-82bf-1d0cf5c3fd35;2025-04-21;1900-01-01 09:59:00;;RL;;;NH;;SD;;;;;E;;;MS;;red;599;598.0
