ec5_uuid;date;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;highlight;msm;corrected_msm
26afc396-dc72-41eb-baed-eace7af91c4c;2025-03-11;1900-01-01 09:45:00;;RS;;;;;RS;;;;;RS;;;;;red;585;584.0
0962879c-c4a2-494c-bc93-79d32ec76828;2025-03-11;1900-01-01 09:47:00;Yes;RS;;;;;RS;;;;;RS;;;;;green;587;586.0
0bc8d251-68da-4852-9894-ad051a852e48;2025-03-11;1900-01-01 09:50:00;;RS;;;;;RS;;NH;;;RS;;ST;;;;590;590.0
c2f07979-391c-4336-aa01-002e403e8221;2025-03-11;1900-01-01 09:51:00;;RS;;NH;;;RS;;;;;RS;;MS;;;red;591;592.0
cffb1b05-ffce-419e-95d4-75c5c267c3cf;2025-03-11;1900-01-01 09:53:00;Yes;RS;;NH;;;RS;;;;;RS;;MS;;;green;593;594.0
130d9136-9862-40be-936f-601eca418b7b;2025-03-11;1900-01-01 09:55:00;Yes;RS;;NH;;;RS;;;;;RS;;MS;;;green;595;596.0
255d0826-c7e9-4687-a25f-ed491ef5d258;2025-03-11;1900-01-01 09:57:00;Yes;RS;;NH;;;RS;;;;;RS;;MS;;;green;597;598.0
c80e2fdc-edaa-4371-9799-a2a6dd36e650;2025-03-11;1900-01-01 09:59:00;Yes;RS;;NH;;;RS;;;;;RS;;MS;;;green;599;600.0
b1c8ef4d-fd02-46d6-837c-60beea0ec643;2025-03-11;1900-01-01 10:01:00;Yes;RS;;NH;;;RS;;;;;RS;;MS;;;green;601;602.0
be7f421b-6a8d-4733-b29c-6ff333b23fd5;2025-03-11;1900-01-01 10:03:00;;RS;;;NH;;;;;;;RS;;;MS;;;603;604.0
932e3d70-3c01-44c5-91e5-d0b9578b12e9;2025-03-11;1900-01-01 10:05:00;;RS;;;;;;;;;;M;;;;;;605;606.0
cb19508d-e1e4-44a3-8146-3a106906ecbf;2025-03-11;1900-01-01 10:07:00;;RS;NH;;;;;;;;;RS;MS;;;;red;607;608.0
e79c0c04-a549-4549-869e-79773c9bc830;2025-03-11;1900-01-01 10:09:00;Yes;RS;NH;;;;;;;;;RS;MS;;;;green;609;610.0
5b3aafd2-f3c4-49b0-b97a-a0de95374e1d;2025-03-11;1900-01-01 10:11:00;Yes;RS;NH;;;;;;;;;RS;MS;;;;green;611;612.0
