ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_LN_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;32_NR_Behavior;33_Contact;34_AR;35_3M;36_Occurence;37_Notes;highlight;msm;corrected_msm
b5de2eb3-69c4-4bf0-8bc8-3cf1f7cd5ce0;2025-04-04;1900-01-01 09:31:00;NO;E;;NR;;;;E;;;;;;E;;LN;;;;E;;GG;;;;E;;MZ;;;;;571;570.0
a05148e2-1ae1-41dd-81f6-076719003269;2025-04-04;1900-01-01 09:33:00;NO;E;;;;;;E;;NR;;;;E;;LN;;;;E;;GG;;;;E;;SB;;;;red;573;572.0
9df8c7f1-16a8-4471-b340-fcf9cdb726b8;2025-04-04;1900-01-01 09:35:00;Yes;E;;;;;;E;;NR;;;;E;;LN;;;;E;;GG;;;;E;;SB;;;;green;575;574.0
c3c27feb-af14-4a0a-bb9d-981d0415e58d;2025-04-04;1900-01-01 09:37:00;Yes;E;;;;;;E;;NR;;;;E;;LN;;;;E;;GG;;;;E;;SB;;;;green;577;576.0
9d57c2f9-26dd-46da-b2ec-03d25e4c6b47;2025-04-04;1900-01-01 09:39:00;NO;E;;NR;;;;E;;;;;;E;;;LN;;;M;;;GG;;;E;;MZ;;;;;579;578.0
b8f00a7d-dda4-47eb-bb5f-fb2be966a02f;2025-04-04;1900-01-01 09:41:00;NO;M;;;;;;E;;LN;;;;E;;;;;;E;;SB;;;;E;;;;;;;581;580.0
7608d70c-2ca4-4d53-b933-4017f0115df8;2025-04-04;1900-01-01 09:43:00;NO;E;;;;;;E;;;;;;E;;LN, NR;;;;E;;NR, GG;;;;E;;LN, GG;;;;;583;582.0
436613e7-28a1-4e43-b1c7-28402ab9a6d0;2025-04-04;1900-01-01 09:45:00;NO;E;;GG, LN, NR;;;;M;;;;;;E;;LN, MZ, NR;;;;E;;MZ, GG, NR;;;;E;;MZ, LN, GG;;;;;585;584.0
19bc046f-743a-447c-90aa-cb9a60ccf8e7;2025-04-04;1900-01-01 09:47:00;NO;RS;;GG, LN, NR;;;;E;;;;;;E;;LN, MZ, NR;;;;RS;;MZ, GG, NR;;;;E;;MZ, GG, LN;;;;red;587;586.0
f567bfa7-38eb-4837-9a47-80b0b26ac165;2025-04-04;1900-01-01 09:49:00;Yes;RS;;GG, LN, NR;;;;E;;;;;;E;;LN, MZ, NR;;;;RS;;MZ, GG, NR;;;;E;;MZ, GG, LN;;;;green;589;588.0
94fa509c-5017-483c-8954-5c3d08e6d081;2025-04-04;1900-01-01 09:51:00;NO;GG;LN;NR, GG;;;;E;;;;;;E;;LN, MZ, NR;;;;GR;MZ;GG, NR;;;;E;;MZ, GG, LN;;;;;591;590.0
f2f8fad1-9fcb-4e51-b3a3-002198269767;2025-04-04;1900-01-01 09:53:00;NO;GG;LN;GG;;;;E;;;;;;E;;LN, MZ;;;;GR;MZ;GG;;;;M;;;;;;;593;592.0
9b6ab414-df80-4a85-aeaa-ac02db16a1ed;2025-04-04;1900-01-01 09:55:00;NO;GG;LN;;;;;E;;;;;;M;;;;;;GR;MZ;;;;;E;;;;;;;595;594.0
a7a3e574-957e-4403-9e52-ae699577998a;2025-04-04;1900-01-01 09:57:00;NO;RS;;GG, LN;;;;E;;;;;;E;;LN, MZ;;;;RS;;MZ, GG;;;;E;;;;;;;597;596.0
