ec5_uuid;date;1_TIme;2_NC;4_MN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_LN_Behavior;29_Contact;30_AR;31_3M;Unnamed: 28;highlight;msm;corrected_msm
2bee5013-9aef-432a-b507-0da83db9172c;2025-04-08;1900-01-01 09:32:00;NO;E;;TK;NR, LN;;M;;;;;E;;;LN, MT, TK;;E;;MT;LN, NR;;RS;;;TK, MT, NR;;;572;572.0
826b2b21-7074-4529-9223-9054d8789b95;2025-04-08;1900-01-01 09:34:00;NO;E;;;TK, NR, LN;;E;;;;;E;;;TK, LN, MT;;E;;;MT, LN, NR;;RS;;;TK, MT, NR;;;574;574.0
91fb4ba9-cde2-4745-9704-30e67842e408;2025-04-08;1900-01-01 09:36:00;NO;RS;;;LN, NR, TK;;E;;;;;E;;;LN, TK, MT;;E;;;MT, LN, NR;;RS;;;TK, MT, NR;;;576;576.0
1c572152-5cd5-4aa5-b7a3-1f462c1aee1b;2025-04-08;1900-01-01 09:38:00;NO;E;;;TK, NR, LN;;E;;;;;E;;TK, LN;MT;;RS;;LN, NR;MT;;RS;;TK, NR;MT;;;578;578.0
17887194-f1d1-488e-abab-3e5ae208693e;2025-04-08;1900-01-01 09:40:00;NO;RS;;;NR, LN, TK;;E;;;;;E;;LN;MT, TK;;RS;;LN;MT, NR;;RS;;TK, NR;MT;;;580;580.0
59b3e726-6f7e-45e1-bf6c-5dfb84f7709e;2025-04-08;1900-01-01 09:42:00;NO;E;;LN;TK, NR;;E;;;;;E;;LN;MT, TK;;GG;LN;;MT, NR;;GR;TK;MT, NR;;;;582;582.0
a7a80703-e143-42aa-a21f-736b7b982615;2025-04-08;1900-01-01 09:44:00;NO;RS;;;;;E;;;;;M;;;;;GG;LN;;;;GR;TK;;;;;584;584.0
4f0a813d-ccaa-446f-bdb4-66f4218dad23;2025-04-08;1900-01-01 09:46:00;NO;E;;NR;;;E;;;;;E;;MT;;;GG;LN;;;;GR;TK;;;;;586;586.0
5794c661-4bd4-4784-b16b-267bfb372bfe;2025-04-08;1900-01-01 09:48:00;NO;RS;;NR;;;RS;;;;;E;;MT;;;RS;;;LN;;RS;;;TK;;;588;588.0
6ef542e8-a97b-43e3-85c6-a420d8c41b21;2025-04-08;1900-01-01 09:50:00;NO;RS;;NR;;;E;;;TK, LN;;E;;MT;;;GG;LN;;NY;;GR;TK;;NY;;;590;590.0
cdd16772-80ed-414a-8b41-cd809d633ba7;2025-04-08;1900-01-01 09:52:00;NO;M;;;;;E;;;TK, LN;;E;;;;;GG;LN;;NY;;GR;TK;;NY;;;592;592.0
bed94eef-ac0e-40b3-9672-375c568b7ebd;2025-04-08;1900-01-01 09:54:00;NO;RS;;;NR;;E;;;TK, LN;;E;;;MT;;RL;;LN;NY;;RS;;TK;NY;;;594;594.0
49221f59-955f-4c2e-9393-f427683b5d92;2025-04-08;1900-01-01 09:56:00;NO;E;;;NR;;RS;;;TK, LN;;E;;;MT;;RS;;LN;NY;;RS;;TK;NY;;;596;596.0
386a677c-0aed-4d56-9f0b-dcf6d9ef8383;2025-04-08;1900-01-01 09:58:00;NO;E;;;NR;;M;;;TK, LN;;E;;;MT;;RS;LN;;NY;;RS;TK;;NY;;;598;598.0
17535a13-4d3a-4609-85ad-d4a9e229794e;2025-04-08;1900-01-01 10:00:00;NO;RS;;NY;;;RS;;MT;;;M;;;;;M;;;LN;;RS;;;TK;;;600;600.0
451c8e7a-2bb0-4e3a-9e71-c57651655efb;2025-04-08;1900-01-01 10:02:00;NO;E;;NY;NR;;E;;MT;;;E;;;MT;;RS;;;;;RS;;;;;red;602;602.0
8c8f3742-428b-4edb-a49c-cc0adf2f4cfe;2025-04-08;1900-01-01 10:04:00;Yes;E;;NY;NR;;E;;MT;;;E;;;MT;;RS;;;;;RS;;;;;green;604;604.0
241f179f-db14-4e29-9b12-cdf6e3556f9b;2025-04-08;1900-01-01 10:06:00;NO;E;;NY;NR;;E;;MT;;;E;;;MT;;RS;;LN;;;RS;;TK;;;;606;606.0
342b3ef7-bb10-44fd-be04-8cb96038398d;2025-04-08;1900-01-01 10:08:00;NO;M;;;;;M;;;;;M;;;;;RS;;LN;;;RS;;TK;;;;608;608.0
61dc4e18-0fcd-46c7-8abe-4501351b6335;2025-04-08;1900-01-01 10:10:00;NO;M;;;NY;;M;;;NR, MT;;M;;;NY;;RL;;;LN;;RS;;;TK;;;610;610.0
7e3ec0a6-febf-4485-b7cb-16ad7282bee2;2025-04-08;1900-01-01 10:12:00;NO;E;;;NY;;RS;;;MT;;RL;;LN;TK;;RL;;LN;NR;;RS;;NR, TK;;;red;612;612.0
20bde998-5f53-451e-a3c4-9d9afe518129;2025-04-08;1900-01-01 10:14:00;Yes;E;;;NY;;RS;;;MT;;RL;;LN;TK;;RL;;LN;NR;;RS;;NR, TK;;;green;614;614.0
65f61895-8cfe-4349-9069-046594d5fd52;2025-04-08;1900-01-01 10:16:00;NO;GM;NR;;TK, LN, NY;;RS;;;NR, TK, MT, LN;;GM;MT;;LN, TK, NY;;RS;;LN;MT, NY, NR;;RS;;TK;NY, MT, NR;;red;616;616.0
8d46ba8f-60f7-414e-ad06-65222b78eabf;2025-04-08;1900-01-01 10:18:00;Yes;GM;NR;;TK, LN, NY;;RS;;;NR, TK, MT, LN;;GM;MT;;LN, TK, NY;;RS;;LN;MT, NY, NR;;RS;;TK;NY, MT, NR;;green;618;618.0
eff6fd17-f065-49fd-a5cb-33c58b9a9621;2025-04-08;1900-01-01 10:20:00;NO;GM;NR;;TK, LN;;E;;;;;GM;MT;;TK, LN;;RS;;LN;MT, NR;;RS;;TK;NR, MT;;red;620;620.0
81f7c097-7340-4006-969f-26dc64ceceb5;2025-04-08;1900-01-01 10:22:00;Yes;GM;NR;;TK, LN;;E;;;;;GM;MT;;TK, LN;;RS;;LN;MT, NR;;RS;;TK;NR, MT;;green;622;622.0
dfe1664e-b951-4ac5-b170-2326374e6a13;2025-04-08;1900-01-01 10:24:00;NO;GM;NR;;TK, LN;;RS;;;;;GM;MT;;TK, LN;;RS;;;LN, MT, NR;;RS;;;TK, MT, NR;;red;624;624.0
05492ea0-5e57-45ae-a061-7f0121250878;2025-04-08;1900-01-01 10:26:00;Yes;GM;NR;;TK, LN;;RS;;;;;GM;MT;;TK, LN;;RS;;;LN, MT, NR;;RS;;;TK, MT, NR;;green;626;626.0
181e1c97-e128-43e4-8e90-8aa3f9030e87;2025-04-08;1900-01-01 10:28:00;Yes;GM;NR;;TK, LN;;RS;;;;;GM;MT;;TK, LN;;RS;;;LN, MT, NR;;RS;;;TK, MT, NR;;green;628;628.0
4975ada3-c05c-4e70-b353-115c1b3e7280;2025-04-08;1900-01-01 10:31:00;NO;RS;;NY;;;E;;MT;;;RL;;;TK, LN;;RS;;;LN, NR;;RS;;;TK, NR;;;631;630.0
bfe31c3e-7937-4f08-b7a6-10ccf567220a;2025-04-08;1900-01-01 10:46:00;NO;RS;;;TK, NR, LN;;RS;;;;;RS;;;TK, LN, MT;;RS;;;MT, LN, NR;;RS;;;TK, MT, NR;;;646;645.0
539d9fa9-31f7-4f22-9ffc-5c5d57360f2d;2025-04-08;1900-01-01 10:48:00;NO;GG;NR;;TK, LN;;RS;;;;;GR;MT;TK;LN;;RL;;NR, LN;MT;;RS;;TK;NR, MT;;red;648;647.0
a530f7aa-dfb7-4e2a-9886-34b8c6f553c1;2025-04-08;1900-01-01 10:50:00;Yes;GG;NR;;TK, LN;;RS;;;;;GR;MT;TK;LN;;RL;;NR, LN;MT;;RS;;TK;NR, MT;;green;650;649.0
c4387daa-5ea9-406f-bafb-a369e658c63f;2025-04-08;1900-01-01 10:52:00;Yes;GG;NR;;TK, LN;;RS;;;;;GR;MT;TK;LN;;RL;;NR, LN;MT;;RS;;TK;NR, MT;;green;652;651.0
6a4fddbe-9022-4f2c-a859-4c2b15592089;2025-04-08;1900-01-01 10:54:00;Yes;GG;NR;;TK, LN;;RS;;;;;GR;MT;TK;LN;;RL;;NR, LN;MT;;RS;;TK;NR, MT;;green;654;653.0
8941ee77-ffbf-475b-b793-fb92ebb7b5fd;2025-04-08;1900-01-01 10:56:00;NO;GG;NR;;TK, LN;;RS;;;;;GR;MT;LN;TK;;RS;;LN;MT, NR;;RS;;TK, NR;MT;;red;656;655.0
d8cbc2b3-1a81-4eee-91ca-51d0eae375d5;2025-04-08;1900-01-01 10:58:00;Yes;GG;NR;;TK, LN;;RS;;;;;GR;MT;LN;TK;;RS;;LN;MT, NR;;RS;;TK, NR;MT;;green;658;657.0
b0486ae4-a69c-4b83-b6e8-7d69297eaa2f;2025-04-08;1900-01-01 11:00:00;Yes;GG;NR;;TK, LN;;RS;;;;;GR;MT;LN;TK;;RS;;LN;MT, NR;;RS;;TK, NR;MT;;green;660;659.0
5a79ed9e-b835-4d1a-87f0-853337a6aedb;2025-04-08;1900-01-01 11:02:00;Yes;GG;NR;;TK, LN;;RS;;;;;GR;MT;LN;TK;;RS;;LN;MT, NR;;RS;;TK, NR;MT;;green;662;661.0
038e11a6-229d-4831-9134-d24582a40245;2025-04-08;1900-01-01 11:04:00;Yes;GG;NR;;TK, LN;;RS;;;;;GR;MT;LN;TK;;RS;;LN;MT, NR;;RS;;TK, NR;MT;;green;664;663.0
a600d38b-fe37-40fe-bc4d-8d285638599a;2025-04-08;1900-01-01 11:06:00;NO;GM;NR;;LN, TK;;RS;;;;;GM;MT;LN;TK;;RS;;LN;MT, NR;;M;;NR, TK;MT;;;666;665.0
35a26b37-0839-4298-ad48-91c4628f38c0;2025-04-08;1900-01-01 11:08:00;NO;GM;NR;;TK, LN;;RS;;;;;GM;MT;;TK, LN;;RS;;;LN, MT, NR;;RS;;;MT, TK, NR;;red;668;667.0
701933ff-0caa-4887-933e-dbacecc9b937;2025-04-08;1900-01-01 11:10:00;Yes;GM;NR;;TK, LN;;RS;;;;;GM;MT;;TK, LN;;RS;;;LN, MT, NR;;RS;;;MT, TK, NR;;green;670;669.0
