ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_MS_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;highlight;msm;corrected_msm
e4877495-810d-489d-bb3c-9f5bbf0cc391;2025-04-26;1900-01-01 09:32:00;Yes;E;;;;;;E;;GG, MS;;;;E;;SB, MS;;;;E;;SB, GG;;;;green;572;572.0
1a6f344b-2d69-4e0e-85ec-3a6f583c9f42;2025-04-26;1900-01-01 09:34:00;NO;E;;;;;;E;;GG, MS;;;;E;;SB, MS;;;;E;;SB, GG;;;;red;574;574.0
2e00398c-4081-4ce4-9285-4c47e2a768a1;2025-04-26;1900-01-01 09:36:00;NO;E;;;;;;E;;;;;;E;;MS;;;;E;;GG;;;;red;576;576.0
deb32860-9f3e-45f9-b804-08c0bc7192c0;2025-04-26;1900-01-01 09:38:00;Yes;E;;;;;;E;;;;;;E;;MS;;;;E;;GG;;;;green;578;578.0
b7fdd0ef-a6d1-40b7-8f84-0f714912be66;2025-04-26;1900-01-01 09:40:00;Yes;E;;;;;;E;;;;;;E;;MS;;;;E;;GG;;;;green;580;580.0
986ddc35-4687-40df-90e4-e4bc03951e80;2025-04-26;1900-01-01 09:42:00;NO;RS;;;GG;;;E;;;;;;E;;;MZ;;;E;;;;;;;582;582.0
e2a671ba-ffdb-48b1-8d87-9b57ed4c398a;2025-04-26;1900-01-01 09:44:00;NO;RS;;;;;;E;;;;;;E;;MS;;;;E;;GG;;;;red;584;584.0
33eed9ca-069a-4f8d-b69b-84da61964141;2025-04-26;1900-01-01 09:46:00;Yes;RS;;;;;;E;;;;;;E;;MS;;;;E;;GG;;;;green;586;586.0
78196548-316c-4862-9bcc-56e1b89dedb2;2025-04-26;1900-01-01 09:48:00;Yes;RS;;;;;;E;;;;;;E;;MS;;;;E;;GG;;;;green;588;588.0
cfe4f03e-2589-495b-8cb2-46200517fcc3;2025-04-26;1900-01-01 09:50:00;NO;M;;;;;;E;;;;;;RS;;;;;;RS;;;;;;;590;590.0
af4ecc69-50a5-4b4a-b6a8-3bc84ddf8178;2025-04-26;1900-01-01 09:52:00;NO;RS;;;MS, GG;;;RS;;;;;;RS;;;MZ, MS;;;RS;;;MZ, GG;;;;592;592.0
01e5d7be-b854-4509-897e-af1a78e1cad0;2025-04-26;1900-01-01 09:54:00;NO;RS;;;;;;RS;;MS;;;;RS;;;;;;RS;;SB;;;;;594;594.0
72d483e4-8056-4f1b-88a5-d8675abbb04b;2025-04-26;1900-01-01 09:56:00;NO;RS;;;;;;RS;;GG, MS;;;;RS;;SB;MS;;;RS;;SB;GG;;;red;596;596.0
9c20a1ab-0763-45a9-9714-9c608682005f;2025-04-26;1900-01-01 09:58:00;Yes;RS;;;;;;RS;;GG, MS;;;;RS;;SB;MS;;;RS;;SB;GG;;;green;598;598.0
ec9480d5-aa10-4750-9603-fdfdb893fdeb;2025-04-26;1900-01-01 10:00:00;Yes;RS;;;;;;RS;;GG, MS;;;;RS;;SB;MS;;;RS;;SB;GG;;;green;600;600.0
7d25ecd3-5469-41f7-8803-10a2bfa28491;2025-04-26;1900-01-01 10:02:00;NO;RL;;;;;;E;;GG, MS;;;;RS;;SB;MS;;;RS;;SB;GG;;;red;602;602.0
e1a33406-70f1-4c92-bca0-15ef358d14e0;2025-04-26;1900-01-01 10:04:00;Yes;RL;;;;;;E;;GG, MS;;;;RS;;SB;MS;;;RS;;SB;GG;;;green;604;604.0
c0eef5a8-fc4a-4925-8529-9098c14a11e6;2025-04-26;1900-01-01 10:06:00;NO;RL;;;;;;RS;;;;;;RS;;MS;;;;E;;GG;;;;red;606;606.0
2b3199bb-fc26-4d67-8d24-42b9f3f9fc80;2025-04-26;1900-01-01 10:08:00;Yes;RL;;;;;;RS;;;;;;RS;;MS;;;;E;;GG;;;;green;608;608.0
20ad736e-2df5-4202-9ede-163802bdb800;2025-04-26;1900-01-01 10:10:00;Yes;RL;;;;;;RS;;;;;;RS;;MS;;;;E;;GG;;;;green;610;610.0
cb77c75d-881d-4291-b5b9-7da1bb6bc6f1;2025-04-26;1900-01-01 10:12:00;Yes;RL;;;;;;RS;;;;;;RS;;MS;;;;E;;GG;;;;green;612;612.0
c814fe3d-8380-43ba-8236-8b6c52190333;2025-04-26;1900-01-01 10:14:00;NO;RL;;;;;;RS;;GG;MS;;;RS;;SB, MS;;;;RS;;GG;SB;;;;614;614.0
a5beb0b2-eff4-4bb1-b210-231a0b95a2d2;2025-04-26;1900-01-01 10:16:00;NO;RL;;;;;;M;;GG;MS;;;RS;;SB, MS;;;;RS;;GG;SB;;;;616;616.0
eab4c0b7-4182-4305-9499-177543c04fd6;2025-04-26;1900-01-01 10:18:00;NO;RL;;;;;;RS;;GG, MS;;;;RS;;MS, SB;;;;RS;;SB, GG;;;;;618;618.0
fe71676e-445e-4e16-bbee-8cb6b9d219d2;2025-04-26;1900-01-01 10:20:00;NO;RL;;;;;;RL;;;;;;RS;;MS;;;;RL;;GG;;;;red;620;620.0
3bd73f1e-3134-4388-a6e0-832525fb2abf;2025-04-26;1900-01-01 10:22:00;Yes;RL;;;;;;RL;;;;;;RS;;MS;;;;RL;;GG;;;;green;622;622.0
61ccdc09-3fbb-4f9a-b24e-7175cd89fe53;2025-04-26;1900-01-01 10:24:00;NO;RL;;;;;;RL;;;;;;RL;;MS;;;;RL;;GG;;;;red;624;624.0
d1c6027d-3036-48a1-bdf4-1d4d94fbfb3d;2025-04-26;1900-01-01 10:26:00;Yes;RL;;;;;;RL;;;;;;RL;;MS;;;;RL;;GG;;;;green;626;626.0
c59bdbf6-ad68-4932-8d20-1318d4e292c9;2025-04-26;1900-01-01 10:28:00;NO;RL;;;;;;RL;;;;;;RL;;;MS;;;RS;;;GG;;;;628;628.0
250f3605-69f9-4bae-8166-e0ffaee3698d;2025-04-26;1900-01-01 10:30:00;NO;RS;;;;;;RL;;;;;;RL;;MS;;;;RL;;GG;;;;;630;630.0
3cd2a7df-7b2f-4011-a33d-f073cb7c9b0c;2025-04-26;1900-01-01 10:46:00;NO;DS;;;;;;RS;;;MS;;;RS;;;;;;RS;;;SB;;;;646;645.0
e6c34a83-e146-4cc1-8eda-853d884ec624;2025-04-26;1900-01-01 10:48:00;NO;RS;;;;;;RL;;;;;;PL;MS;;;;;PL;GG;;;;;;648;647.0
717b6ba3-645e-460f-a4a8-3a7b0c5af1f2;2025-04-26;1900-01-01 10:50:00;NO;RS;;;;;;RL;;;;;;RS;;;;;;RS;;;;;;red;650;649.0
64704f56-91a4-4bd8-96d5-893c8af0dc21;2025-04-26;1900-01-01 10:52:00;Yes;RS;;;;;;RL;;;;;;RS;;;;;;RS;;;;;;green;652;651.0
1eb1e6c0-0aff-488f-9e3f-aff4b5b2ea48;2025-04-26;1900-01-01 10:54:00;Yes;RS;;;;;;RL;;;;;;RS;;;;;;RS;;;;;;green;654;653.0
abebc90c-02b3-433e-8a1d-a3ee998691ec;2025-04-26;1900-01-01 10:56:00;Yes;RS;;;;;;RL;;;;;;RS;;;;;;RS;;;;;;green;656;655.0
cd9825bc-b155-4b2c-8fb2-2e429666aba9;2025-04-26;1900-01-01 10:58:00;NO;RL;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;red;658;657.0
0ed1832d-ff77-4d8c-a58f-0de71a625602;2025-04-26;1900-01-01 11:00:00;Yes;RL;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;green;660;659.0
ba049045-22ab-4652-814d-541f9f06f72e;2025-04-26;1900-01-01 11:02:00;Yes;RL;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;green;662;661.0
8dac92ea-f219-49cd-a83a-1d160f0f2024;2025-04-26;1900-01-01 11:04:00;Yes;RL;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;green;664;663.0
fcc1c9d8-591f-412f-bc2f-2416b5751071;2025-04-26;1900-01-01 11:06:00;Yes;RL;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;green;666;665.0
2d35be7f-ad6e-4b3d-8a81-2bd0074a6e49;2025-04-26;1900-01-01 11:08:00;NO;RL;;;;;;RL;;;;;;RL;;MS;;;;E;;GG;;;;;668;667.0
9a7f848b-f835-4149-856e-31ede4a92570;2025-04-26;1900-01-01 11:10:00;NO;RS;;;;;;RL;;;;;;RL;;MS;;;;RL;;GG;;;;red;670;669.0
ba97d134-7fb7-4c1c-a5d9-736d9da75db2;2025-04-26;1900-01-01 11:12:00;Yes;RS;;;;;;RL;;;;;;RL;;MS;;;;RL;;GG;;;;green;672;671.0
