ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_LN_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;32_NR_Behavior;33_Contact;34_AR;35_3M;36_Occurence;37_Notes;highlight;msm;corrected_msm
76cc2ffc-1417-4843-9f22-90ca27fed7a6;2025-05-14;1900-01-01 09:34:00;NO;E;;;;;;E;;;;;;E;;;;;;E;;;;;;E;;;;;;;574;574.0
c4e73f7a-2496-4c4a-903d-00710ce756fc;2025-05-14;1900-01-01 09:36:00;NO;E;;;NR;;;E;;;;;;E;;;;;;E;;;;;;E;;;MZ;;;;576;576.0
d2166205-346e-4beb-bcc5-a838f37a359d;2025-05-14;1900-01-01 09:38:00;NO;E;;;;;;E;;;;;;E;;;;;;E;;;;;;E;;;;;;red;578;578.0
6c0b76a1-2835-467d-9760-e8aedaa6c798;2025-05-14;1900-01-01 09:40:00;Yes;E;;;;;;E;;;;;;E;;;;;;E;;;;;;E;;;;;;green;580;580.0
13de2c91-23e7-469a-8c10-bee473b83731;2025-05-14;1900-01-01 09:42:00;Yes;E;;;;;;E;;;;;;E;;;;;;E;;;;;;E;;;;;;green;582;582.0
c6a45fc6-c4b2-4bcb-98a3-29ce28dbd34e;2025-05-14;1900-01-01 09:44:00;NO;E;;;;;;M;;;;;;E;;;;;;M;;;;;;E;;;;;;;584;584.0
905be26d-96ac-4883-9571-5cf8c1cecb1d;2025-05-14;1900-01-01 09:46:00;NO;E;;;;;;E;;;;;;E;;NR;LN;;;E;;NR;GG;;;E;;LN, GG;;;;;586;586.0
238b8c19-967d-4026-8f2b-d0881d07d361;2025-05-14;1900-01-01 09:48:00;NO;E;;;;;;E;;;;;;E;;;;;;E;;;NR;;;E;;;LN;;;red;588;588.0
04fe7ab3-50a8-4eba-a757-cf9f9c3a9056;2025-05-14;1900-01-01 09:50:00;Yes;E;;;;;;E;;;;;;E;;;;;;E;;;NR;;;E;;;LN;;;green;590;590.0
ecf6bff6-6a75-462b-877b-18126c06e56c;2025-05-14;1900-01-01 09:52:00;Yes;E;;;;;;E;;;;;;E;;;;;;E;;;NR;;;E;;;LN;;;green;592;592.0
d6350fcc-757d-4080-8c90-d46216e3a366;2025-05-14;1900-01-01 09:54:00;NO;RL;;;;;;E;;;;;;E;;;;;;RS;;;;;;M;;;;;;;594;594.0
7a04e4e9-b6fa-48cb-a732-c985bb2745c1;2025-05-14;1900-01-01 09:56:00;NO;RL;;;;;;E;;;;;;E;;;;;;RS;;;;;;RS;;;;;;;596;596.0
b773800e-0d17-4b82-8101-bb353d9a55e0;2025-05-14;1900-01-01 09:58:00;NO;RL;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;M;;;;;;;598;598.0
9b3d66e5-a966-4955-879d-dbf486d0c9c0;2025-05-14;1900-01-01 10:00:00;NO;RL;;;;;;RL;;;;;;E;;;;;;RS;;;;;;RS;;;;;;red;600;600.0
7fef62c5-dbde-4982-8d5c-519a51635040;2025-05-14;1900-01-01 10:02:00;Yes;RL;;;;;;RL;;;;;;E;;;;;;RS;;;;;;RS;;;;;;green;602;602.0
e0d88331-dbce-4b60-ab3f-e26ac82465b8;2025-05-14;1900-01-01 10:04:00;Yes;RL;;;;;;RL;;;;;;E;;;;;;RS;;;;;;RS;;;;;;green;604;604.0
51369f1d-6fe6-4cb3-83be-843584c63ac5;2025-05-14;1900-01-01 10:06:00;Yes;RL;;;;;;RL;;;;;;E;;;;;;RS;;;;;;RS;;;;;;green;606;606.0
8076e132-711e-40a3-85e6-ee929b102948;2025-05-14;1900-01-01 10:08:00;NO;RL;;;NR;;;M;;;;;;RS;;;;;;RS;;;;;;RS;;;MZ;;;;608;608.0
9d548ddf-f38f-4a12-a62f-aec10b03b6bf;2025-05-14;1900-01-01 10:10:00;NO;RS;;NR;;;;RS;;;;;;RS;;;;;;RS;;;;;;RS;;MZ;;;;;610;610.0
c6dda0cd-f359-40f0-b9da-531f4f8aed15;2025-05-14;1900-01-01 10:12:00;NO;GG;NR;;;;;RS;;;;;;RS;;;;;;RS;;;;;;GR;MZ;;;;;red;612;612.0
2b708c97-24cb-4117-a290-350d58f73366;2025-05-14;1900-01-01 10:14:00;Yes;GG;NR;;;;;RS;;;;;;RS;;;;;;RS;;;;;;GR;MZ;;;;;green;614;614.0
f1083ad3-25ce-4440-b730-dacbb0f201e1;2025-05-14;1900-01-01 10:16:00;NO;RS;;;;;;E;;;;;;RL;;;;;;RS;;;;;;RS;;;;;;;616;616.0
0d1b424d-1f15-46b9-94f7-a45626e0a1b1;2025-05-14;1900-01-01 10:18:00;NO;RL;;;;;;PL;;NR;LN;;;RL;;;;;;RS;;;NR, SB;;;PL;;SB;LN;;;;618;618.0
b30141c9-b1ae-46f4-8a35-ee86c11bfca8;2025-05-14;1900-01-01 10:20:00;NO;RL;;;;;;E;;;;;;RL;;;;;;RS;;;;;;E;;;;;;;620;620.0
976d8b13-cbfa-411e-8b4e-37e04626b7c4;2025-05-14;1900-01-01 10:22:00;NO;RL;;;;;;E;;;;;;RL;;;;;;RS;;NR;;;;E;;LN;;;;red;622;622.0
30d811ab-91c3-4879-a98d-1adf0f529e72;2025-05-14;1900-01-01 10:24:00;Yes;RL;;;;;;E;;;;;;RL;;;;;;RS;;NR;;;;E;;LN;;;;green;624;624.0
