ec5_uuid;date;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight;msm;corrected_msm
5db6fa77-f031-4c58-bbc6-e3c01086d0ac;2025-04-16;1900-01-01 09:33:00;NO;E;;;;;E;;;TK;;RS;;;SR;;E;;;;;;573;572.0
11259d3e-4da1-4d62-8007-c1df76e0db68;2025-04-16;1900-01-01 09:35:00;NO;E;;;TK, TN;;E;;;;;RS;;TN;ST;;RS;;TK;ST;;;575;574.0
98a12d42-e983-42da-bcaa-6fbf1bf6663b;2025-04-16;1900-01-01 09:36:00;NO;RS;;;TK, TN;;E;;;;;GM;TN;;ST;;GM;TK;;ST;;;576;576.0
a7133a1b-a25f-4c59-a948-5cbdd65196cf;2025-04-16;1900-01-01 09:39:00;NO;M;;;TK;;E;;;;;M;;;ST;;RS;;;;;;579;578.0
c44de9ac-5691-4b8c-b62a-51c7d2ec5985;2025-04-16;1900-01-01 09:41:00;NO;RS;;;;;E;;;;;RS;;;;;RS;;;;;;581;580.0
3f34e33f-fb7f-4064-8e3a-2950992081ab;2025-04-16;1900-01-01 09:43:00;NO;M;;;TK, TN;;E;;;;;M;;;ST, TN;;M;;;TK, ST;;;583;582.0
528d4244-5f00-42a3-89ae-674a57c59580;2025-04-16;1900-01-01 09:45:00;NO;E;;;TK, TN;;RS;;;;;GM;TN;;ST;;GM;TK;;ST;;;585;584.0
171f14bd-512e-48fc-b756-00e51ea19ac8;2025-04-16;1900-01-01 09:47:00;NO;E;;;;;RS;;;;;GM;TN;;;;GM;TK;;;;red;587;586.0
27380fb2-e844-4f22-8a61-6fa24a680a31;2025-04-16;1900-01-01 09:49:00;Yes;E;;;;;RS;;;;;GM;TN;;;;GM;TK;;;;green;589;588.0
3d96f39c-3b32-4e3f-92e7-d1aef1b84c68;2025-04-16;1900-01-01 09:51:00;Yes;E;;;;;RS;;;;;GM;TN;;;;GM;TK;;;;green;591;590.0
3275f3c2-c43d-4fbb-b443-8189a787b700;2025-04-16;1900-01-01 09:53:00;NO;M;;;TK, TN;;RS;;;;;M;;;TN, ST;;M;;;TK, ST;;;593;592.0
664e86bf-e94e-4dea-ba56-63c56e258956;2025-04-16;1900-01-01 09:55:00;NO;RS;;;;;M;;;;;SD;;;;;M;;;;;;595;594.0
c0ba24ea-d980-4d09-8959-278192067f66;2025-04-16;1900-01-01 09:57:00;NO;M;;;;;M;;;TK;;M;;;SR;;M;;;;;;597;596.0
84eef1bd-5107-4553-9f17-1f480b0f0339;2025-04-16;1900-01-01 09:59:00;NO;RS;;;TN;;RS;;;TK;;RS;;;SR;;RS;;;ST;;;599;598.0
29af7f05-9707-43cb-b266-4098e0b56461;2025-04-16;1900-01-01 10:01:00;NO;RS;;;;;RS;;;TK;;RS;;;SR;;RS;;;;;;601;600.0
ac03435e-800c-4560-b5eb-9f5e66f37991;2025-04-16;1900-01-01 10:03:00;NO;GG;TN;;;;RS;;;TK;;RS;;;SR;;GR;ST;;;;red;603;602.0
36af4f41-d707-4736-a58f-b86e95fe8243;2025-04-16;1900-01-01 10:05:00;Yes;GG;TN;;;;RS;;;TK;;RS;;;SR;;GR;ST;;;;green;605;604.0
d05edf17-9efc-4829-bf17-aefe7686d98e;2025-04-16;1900-01-01 10:07:00;NO;M;;TN;;;RS;;;TK;;RL;;;SR;;RS;;ST;;;;607;606.0
92afb52a-fe1c-4c83-8b40-54257b935cae;2025-04-16;1900-01-01 10:09:00;NO;RS;;;;;RS;;;TK;;RL;;;SR;;RS;;;;;red;609;608.0
d8d56903-9643-4e44-9db1-5db617bc5d21;2025-04-16;1900-01-01 10:11:00;Yes;RS;;;;;RS;;;TK;;RL;;;SR;;RS;;;;;green;611;610.0
20ba3c73-c19b-4150-94f4-9fdd0d988a90;2025-04-16;1900-01-01 10:13:00;NO;RS;;;TN;;RS;;;TK;;RL;;;SR;;RS;;;ST;;red;613;612.0
3596f58f-052e-4a6c-8700-b2c6b4b6a050;2025-04-16;1900-01-01 10:15:00;Yes;RS;;;TN;;RS;;;TK;;RL;;;SR;;RS;;;ST;;green;615;614.0
3d838d51-7756-4e75-b03a-bc514e95a840;2025-04-16;1900-01-01 10:17:00;Yes;RS;;;TN;;RS;;;TK;;RL;;;SR;;RS;;;ST;;green;617;616.0
f4e46a3f-78e2-4a81-9bb0-7514197def04;2025-04-16;1900-01-01 10:19:00;NO;E;;;TN;;RS;;;TK;;RL;;;SR;;E;;;ST;;;619;618.0
387aee89-120d-4389-ada3-573924809668;2025-04-16;1900-01-01 10:21:00;NO;RS;;;TN;;RS;;;TK;;RL;;;SR;;M;;;ST;;;621;620.0
277a9fe1-c3a6-4cb3-b196-c5fa96f6d72e;2025-04-16;1900-01-01 10:23:00;NO;E;;;;;RL;;;TK;;RL;;;SR;;RS;;;;;;623;622.0
2b657ba9-63ed-4213-89ac-0374f3dab3e1;2025-04-16;1900-01-01 10:25:00;NO;RS;;;;;RL;;;TK;;RL;;;SR;;RS;;;;;;625;624.0
ed139c86-ce3b-4b5d-adf5-d193aac9822c;2025-04-16;1900-01-01 10:27:00;NO;M;;;SR;;RS;;;TK, ST;;RS;;;SR;;M;;;;;;627;626.0
96f14664-9310-4c69-b7aa-8e9c2e0c3270;2025-04-16;1900-01-01 10:29:00;NO;RS;;;;;RS;;TK;;;RS;;SR;;;RS;;;;;;629;628.0
e47b56a1-9a94-4338-bc92-ceb386a0d0cc;2025-04-16;1900-01-01 10:53:00;NO;M;;;TK, SR, TN;;M;;;TK, TN, ST;;M;;;ST, TN, SR;;M;;;ST, SR, TK;;;653;653.0
776e6b82-0933-41c8-b8c4-933aa4d0d5d5;2025-04-16;1900-01-01 10:55:00;NO;RS;;;SR, TK;;RS;;;TK, ST;;RS;;;ST, SR;;RS;;;;;;655;655.0
42f19612-5ace-4b16-bec4-293266bd72ed;2025-04-16;1900-01-01 10:57:00;NO;RS;;;SR, TN;;M;;;TK, ST;;M;;;SR;;RS;;;ST;;;657;657.0
7888d686-df6d-4688-9f62-d789a1918f40;2025-04-16;1900-01-01 10:59:00;NO;RS;;;;;RS;;;;;RS;;;TN;;RS;;;TK;;;659;659.0
6c16fe75-47bc-4087-88f6-d820abe38d5f;2025-04-16;1900-01-01 11:01:00;NO;M;;;TK, TN;;RS;;;;;M;;TN;ST;;M;;TK;ST;;;661;661.0
91a812c1-1da7-426d-b252-94b330870db0;2025-04-16;1900-01-01 11:03:00;NO;RS;;TK, TN;;;RS;;;;;PL;TN;ST;;;PL;TK;ST;;TK has mouth on Tns face;;663;663.0
f67aebed-7af6-4f03-8901-dc0abdab00b1;2025-04-16;1900-01-01 11:05:00;NO;RS;;;;;RS;;;;;PL;TN;;;;PL;TK;;;;;665;665.0
6a09218d-475f-4ebb-a1d8-2e03f2abe0c9;2025-04-16;1900-01-01 11:07:00;NO;RS;;;;;RL;;;;;RS;;;;;M;;;;;;667;667.0
453f62c0-f1e6-4dc9-bdb4-33fab5b5be1e;2025-04-16;1900-01-01 11:09:00;NO;M;;;;;RL;;;;;RS;;TN;;;M;;TK;;;;669;669.0
08e3305d-5281-4c1a-82fb-a6010cb3ef92;2025-04-16;1900-01-01 11:11:00;NO;GR;TN;;;;RS;;;;;M;;;;;GG;ST;;;;;671;671.0
7900c6f8-0d37-4681-851d-f7b60699494a;2025-04-16;1900-01-01 11:13:00;NO;PL;TK;;TN;;RS;;;;;PL;ST;;TN;;RS;;;ST, TK;;;673;673.0
305c11a5-ce30-49e9-9103-0ff883e096e2;2025-04-16;1900-01-01 11:15:00;NO;M;;;;;RS;;;;;M;;;;;RS;;;;;;675;675.0
f8156f59-e613-4beb-8b03-6386c3bc2a8b;2025-04-16;1900-01-01 11:17:00;NO;RS;;;;;RS;;;TK;;RL;;;SR;;M;;;;;;677;677.0
68b314da-154c-4f78-8548-c152548ffc7b;2025-04-16;1900-01-01 11:19:00;NO;PL;;TN;;;RS;;;TK;;RL;;;SR;;PL;;ST;;;red;679;679.0
db16f276-1e26-41ec-87fe-56294eb6a584;2025-04-16;1900-01-01 11:20:00;Yes;PL;;TN;;;RS;;;TK;;RL;;;SR;;PL;;ST;;;green;680;681.0
77dc31fd-0fa1-4c03-b486-9e52a8286d7e;2025-04-16;1900-01-01 11:23:00;NO;M;;;TN;;RS;;;TK;;RL;;;SR;;M;;;ST;;;683;683.0
ac3c955e-7d19-4836-b750-212da0e357db;2025-04-16;1900-01-01 11:25:00;NO;RS;;;;;RS;;;TK;;RL;;;SR;;RS;;;;;red;685;685.0
5ddbb5e6-f4e1-4e15-a298-966b468092f3;2025-04-16;1900-01-01 11:27:00;Yes;RS;;;;;RS;;;TK;;RL;;;SR;;RS;;;;;green;687;687.0
e5d9776d-d766-435b-af50-5cc11768140c;2025-04-16;1900-01-01 11:29:00;Yes;RS;;;;;RS;;;TK;;RL;;;SR;;RS;;;;;green;689;689.0
339f0a9c-abe6-486b-b5df-33b19860e04a;2025-04-16;1900-01-01 11:31:00;Yes;RS;;;;;RS;;;TK;;RL;;;SR;;RS;;;;;green;691;691.0
e891a676-fe8c-4bce-8c76-e9f0ec8d0d3e;2025-04-16;1900-01-01 11:33:00;NO;RS;;;;;RS;;;TK;;RS;;;SR;;RS;;;;;red;693;693.0
bdfa874f-87b7-435c-86c1-0890afb31f63;2025-04-16;1900-01-01 11:35:00;Yes;RS;;;;;RS;;;TK;;RS;;;SR;;RS;;;;;green;695;695.0
6e8158fd-33e4-4231-9c61-f96a8a58a055;2025-04-16;1900-01-01 11:37:00;Yes;RS;;;;;RS;;;TK;;RS;;;SR;;RS;;;;;green;697;697.0
9e492095-5b7e-41a6-9394-49e258630fa8;2025-04-16;1900-01-01 11:39:00;NO;RS;;;;;RS;;;TK;;RS;;;SR;;M;;;;;;699;699.0
c6cee4c6-a7f7-4135-9180-9979ff9f9249;2025-04-16;1900-01-01 11:41:00;NO;RS;;;;;RS;;;TK;;RS;;;SR;;RS;;;;;red;701;701.0
d3dd8374-8772-4c86-b258-3ca2b5c6f762;2025-04-16;1900-01-01 11:43:00;Yes;RS;;;;;RS;;;TK;;RS;;;SR;;RS;;;;;green;703;703.0
a4f12a4d-1c16-46d9-8bd3-90ce3c7f8bf2;2025-04-16;1900-01-01 11:45:00;Yes;RS;;;;;RS;;;TK;;RS;;;SR;;RS;;;;;green;705;705.0
ac52d572-38bb-4347-aec8-9aa65fdf1d59;2025-04-16;1900-01-01 13:17:00;NO;E;;;SR, TN;;M;;;TN, ST;;RS;;;;;E;;;SR, ST;;;797;797.0
0570e403-1693-465b-a5c3-5bcf2097d00b;2025-04-16;1900-01-01 13:19:00;NO;E;;TN;SR;;E;;;ST, TN;;E;;;;;E;;ST;SR;;;799;799.0
