ec5_uuid;date;1_TIme;2_NC;4_LN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_MN_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NR_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight;msm;corrected_msm
2bdb0a72-722f-4408-a248-669b4e555fd1;2025-03-23;1900-01-01 09:37:00;;RS;;;;;E;;;;;E;;;;;E;;;;;red;577;576.0
ac3bcfaa-426a-4c26-81e9-624def4d8a77;2025-03-23;1900-01-01 09:39:00;Yes;RS;;;;;E;;;;;E;;;;;E;;;;;green;579;578.0
e1b1afca-eb1e-4571-a19c-60609ffac855;2025-03-23;1900-01-01 09:41:00;Yes;RS;;;;;E;;;;;E;;;;;E;;;;;green;581;580.0
269efadc-64b4-49df-b432-f1fc6ca65c2b;2025-03-23;1900-01-01 09:43:00;;RS;;;NH;;E;;;;;RS;;;LN;;RS;;;;;red;583;582.0
82c3e773-87b8-4ed6-93da-d49a2eaad276;2025-03-23;1900-01-01 09:45:00;Yes;RS;;;NH;;E;;;;;RS;;;LN;;RS;;;;;green;585;584.0
09a3c39f-facf-4ecc-baeb-700402f5cd5c;2025-03-23;1900-01-01 09:47:00;Yes;RS;;;NH;;E;;;;;RS;;;LN;;RS;;;;;green;587;586.0
de08b6f4-cfd0-4f84-8e9c-3b6943e14a04;2025-03-23;1900-01-01 09:49:00;;RS;;NR;NH;;E;;;;;RS;;;LN;;M;;LN;;;;589;588.0
19aeb07d-44b1-494a-82a5-e69e125c1002;2025-03-23;1900-01-01 09:51:00;;RS;;;NH;;PL;;NR;;;RS;;;LN;;PL;;MN;;;;591;590.0
027169b7-ae43-4eb0-a8f0-bea918db7e4e;2025-03-23;1900-01-01 09:53:00;;RL;;;;;E;;;;;RS;;;;;E;;;;;;593;592.0
7c6bc99c-04d1-43eb-877f-72f3cd86b60a;2025-03-23;1900-01-01 09:55:00;;GR;NR;;MN;;E;;;LN, NR;;RS;;;;;GG;LN;;;;red;595;594.0
72b3f895-6a81-43fd-b274-42a6eb60d974;2025-03-23;1900-01-01 09:57:00;Yes;GR;NR;;MN;;E;;;LN, NR;;RS;;;;;GG;LN;;;;green;597;596.0
e424eb6b-b54a-48cb-821d-90c465767211;2025-03-23;1900-01-01 09:59:00;Yes;GR;NR;;MN;;E;;;LN, NR;;RS;;;;;GG;LN;;;;green;599;598.0
41473304-a6d3-4eb1-a4e4-f85744c26434;2025-03-23;1900-01-01 10:01:00;Yes;GR;NR;;MN;;E;;;LN, NR;;RS;;;;;GG;LN;;;;green;601;600.0
e55e5d86-e418-4345-b761-501f095fe874;2025-03-23;1900-01-01 10:03:00;;GR;NR;;MN;;SD;;;LN, NR;;RS;;;;;GG;LN;;MN;;;603;602.0
69cc1aad-14a6-45e1-b974-6f697cb841d7;2025-03-23;1900-01-01 10:05:00;;GR;NR;;;;M;;;;;RS;;;;;GG;;;;;;605;604.0
cb7b613b-a1ba-4125-a2cd-2c7d8f4bd5d8;2025-03-23;1900-01-01 10:07:00;;RL;;NR;;;E;;;;;RS;;;;;RL;;LN;;;;607;606.0
d6bb9a4b-6392-48ac-b8b8-3b9b7f19e1b6;2025-03-23;1900-01-01 10:09:00;;RL;;NR;;;M;;;;;RS;;;;;RL;;LN;;;;609;608.0
b7eba86e-7f0d-4081-b3d4-7342e152549d;2025-03-23;1900-01-01 10:11:00;;RL;;NR, MN;;;E;;LN, NR;;;RS;;;;;RS;;MN, LN;;;;611;610.0
79893d46-92d5-4582-90a9-27af537d8bec;2025-03-23;1900-01-01 10:13:00;;RL;;MN, NR;;;GM;NR;;;;RL;;;;;GM;MN;LN;;;red;613;612.0
928f280c-f334-41b1-a2ec-6fa092eada69;2025-03-23;1900-01-01 10:15:00;Yes;RL;;MN, NR;;;GM;NR;;;;RL;;;;;GM;MN;LN;;;green;615;614.0
f672ddf8-6d24-4f41-b746-360a669849d5;2025-03-23;1900-01-01 10:17:00;Yes;RL;;MN, NR;;;GM;NR;;;;RL;;;;;GM;MN;LN;;;green;617;616.0
d9256d11-4348-4e53-9cf5-9424c9f93594;2025-03-23;1900-01-01 10:19:00;Yes;RL;;MN, NR;;;GM;NR;;;;RL;;;;;GM;MN;LN;;;green;619;618.0
128e87a3-c78d-49fd-8c5f-52ca4c9cd0a5;2025-03-23;1900-01-01 10:21:00;Yes;RL;;MN, NR;;;GM;NR;;;;RL;;;;;GM;MN;LN;;;green;621;620.0
34402652-822c-4e0a-ac1d-32322adf6541;2025-03-23;1900-01-01 10:23:00;Yes;RL;;MN, NR;;;GM;NR;;;;RL;;;;;GM;MN;LN;;;green;623;622.0
21466f61-e3fd-4856-8a9d-e739ecb60c3b;2025-03-23;1900-01-01 10:25:00;Yes;RL;;MN, NR;;;GM;NR;;;;RL;;;;;GM;MN;LN;;;green;625;624.0
abe77baf-7773-4b52-b2f5-4de57e53e292;2025-03-23;1900-01-01 10:27:00;Yes;RL;;MN, NR;;;GM;NR;;;;RL;;;;;GM;MN;LN;;;green;627;626.0
