date,Ind1,phase,condition,group,trial,first_day,block_ID,partner,playing,aggression,agg_morn1,play_morn1,agg_morn2,play_morn2,agg_enrich,play_enrich,agg_extra,play_extra,play_amount,agg_amount
2025-04-04 00:00:00,TK,morn2,Playback,3,3,False,morn2_3_trial3_sec_play,TN,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0
2025-04-08 00:00:00,GG,morn1,Crow,1,3,True,morn1_1_trial3_first_cont,TN,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2025-04-08 00:00:00,MT,morn1,Crow,1,3,True,morn1_1_trial3_first_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-04-08 00:00:00,MT,morn2,Crow,1,3,True,morn2_1_trial3_first_cont,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-04-08 00:00:00,MZ,morn1,Crow,1,3,True,morn1_1_trial3_first_cont,SB,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2025-04-08 00:00:00,MZ,morn2,Crow,1,3,True,morn2_1_trial3_first_cont,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-04-08 00:00:00,NR,enrich,Crow,1,3,True,enrich_1_trial3_first_cont,TK,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,2
2025-04-08 00:00:00,NR,morn1,Crow,1,3,True,morn1_1_trial3_first_cont,TK,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2
2025-04-08 00:00:00,NR,morn2,Crow,1,3,True,morn2_1_trial3_first_cont,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-04-08 00:00:00,SB,morn1,Crow,1,3,True,morn1_1_trial3_first_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-04-08 00:00:00,SB,morn2,Crow,1,3,True,morn2_1_trial3_first_cont,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-04-08 00:00:00,ST,enrich,Crow,1,3,True,enrich_1_trial3_first_cont,None,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
2025-04-08 00:00:00,TK,enrich,Crow,1,3,True,enrich_1_trial3_first_cont,NR,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7,2
2025-04-08 00:00:00,TK,morn1,Crow,1,3,True,morn1_1_trial3_first_cont,NR,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
2025-04-09 00:00:00,MT,enrich,Crow,1,3,False,enrich_1_trial3_sec_cont,None,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5
2025-04-09 00:00:00,MT,morn1,Crow,1,3,False,morn1_1_trial3_sec_cont,NR,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
2025-04-09 00:00:00,NH,morn1,Crow,1,3,False,morn1_1_trial3_sec_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-04-09 00:00:00,NR,enrich,Crow,1,3,False,enrich_1_trial3_sec_cont,None,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
2025-04-09 00:00:00,NR,morn1,Crow,1,3,False,morn1_1_trial3_sec_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-04-09 00:00:00,NY,morn1,Crow,1,3,False,morn1_1_trial3_sec_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-04-09 00:00:00,NY,morn2,Crow,1,3,False,morn2_1_trial3_sec_cont,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-04-09 00:00:00,ST,morn1,Crow,1,3,False,morn1_1_trial3_sec_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4
2025-04-09 00:00:00,ST,morn2,Crow,1,3,False,morn2_1_trial3_sec_cont,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3
2025-04-09 00:00:00,TK,enrich,Crow,1,3,False,enrich_1_trial3_sec_cont,TN,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,1
2025-04-09 00:00:00,TK,extra,Crow,1,3,False,extra_1_trial3_sec_cont,None,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
2025-04-09 00:00:00,TK,morn1,Crow,1,3,False,morn1_1_trial3_sec_cont,TN,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
2025-04-09 00:00:00,TK,morn2,Crow,1,3,False,morn2_1_trial3_sec_cont,TN,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14,5
2025-04-09 00:00:00,TN,enrich,Crow,1,3,False,enrich_1_trial3_sec_cont,"GG, SB, SR",1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1
2025-04-16 00:00:00,MN,morn1,Crow,3,4,True,morn1_3_trial4_first_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-04-16 00:00:00,MN,morn2,Crow,3,4,True,morn2_3_trial4_first_cont,"NH, NY",0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3
2025-04-16 00:00:00,MS,morn2,Crow,3,4,True,morn2_3_trial4_first_cont,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-04-16 00:00:00,MZ,morn1,Crow,3,4,True,morn1_3_trial4_first_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-04-16 00:00:00,NH,morn1,Crow,3,4,True,morn1_3_trial4_first_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-04-16 00:00:00,NH,morn2,Crow,3,4,True,morn2_3_trial4_first_cont,"MN, NY",0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3
2025-04-16 00:00:00,NY,morn2,Crow,3,4,True,morn2_3_trial4_first_cont,"NH, MN",0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3
2025-04-16 00:00:00,SB,morn1,Crow,3,4,True,morn1_3_trial4_first_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-04-16 00:00:00,SB,morn2,Crow,3,4,True,morn2_3_trial4_first_cont,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-04-17 00:00:00,GG,enrich,Crow,3,4,False,enrich_3_trial4_sec_cont,NR,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
2025-04-17 00:00:00,MS,enrich,Crow,3,4,False,enrich_3_trial4_sec_cont,NY,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
2025-04-17 00:00:00,NY,enrich,Crow,3,4,False,enrich_3_trial4_sec_cont,MS,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
2025-04-21 00:00:00,GG,morn2,Playback,1,4,True,morn2_1_trial4_first_play,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-04-21 00:00:00,MS,morn2,Playback,1,4,True,morn2_1_trial4_first_play,ST,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0
2025-04-21 00:00:00,NH,morn1,Playback,1,4,True,morn1_1_trial4_first_play,ST,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2025-04-21 00:00:00,SB,morn2,Playback,1,4,True,morn2_1_trial4_first_play,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-04-21 00:00:00,ST,morn1,Playback,1,4,True,morn1_1_trial4_first_play,NH,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2025-04-21 00:00:00,ST,morn2,Playback,1,4,True,morn2_1_trial4_first_play,MS,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0
2025-04-21 00:00:00,TN,morn2,Playback,1,4,True,morn2_1_trial4_first_play,SR,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,4
2025-04-22 00:00:00,NH,morn1,Playback,1,4,False,morn1_1_trial4_sec_play,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-04-22 00:00:00,NH,morn2,Playback,1,4,False,morn2_1_trial4_sec_play,ST,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,1
2025-04-22 00:00:00,ST,morn2,Playback,1,4,False,morn2_1_trial4_sec_play,NH,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2
2025-04-26 00:00:00,LN,morn1,Playback,2,5,True,morn1_2_trial5_first_play,"MN, NR",1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
2025-04-26 00:00:00,MN,morn1,Playback,2,5,True,morn1_2_trial5_first_play,"LN, NH, NH, NR",0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2
2025-04-26 00:00:00,NH,morn1,Playback,2,5,True,morn1_2_trial5_first_play,"MN, NR, MN",0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
2025-04-26 00:00:00,NH,morn2,Playback,2,5,True,morn2_2_trial5_first_play,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-04-26 00:00:00,NR,morn1,Playback,2,5,True,morn1_2_trial5_first_play,LN,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
2025-04-27 00:00:00,MN,enrich,Playback,2,5,False,enrich_2_trial5_sec_play,"NR, NH",1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
