ec5_uuid;date;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;highlight;msm;corrected_msm
e108d2d9-06fd-4231-b3c4-684d67d7b987;2025-03-19;1900-01-01 09:34:00;;E;;;;;E;;;;;E;;;;;red;574;574.0
5f2bf525-4882-48f1-964a-80ba3abafd0d;2025-03-19;1900-01-01 09:36:00;Yes;E;;;;;E;;;;;E;;;;;green;576;576.0
516cd68d-c5d0-41de-ac22-005f99fd7669;2025-03-19;1900-01-01 09:38:00;Yes;E;;;;;E;;;;;E;;;;;green;578;578.0
3a68c0f7-06b2-47f0-9647-424e5c9858f1;2025-03-19;1900-01-01 09:40:00;Yes;E;;;;;E;;;;;E;;;;;green;580;580.0
ae58cb96-413e-4bd7-9494-1efe8a45b2d4;2025-03-19;1900-01-01 09:42:00;;E;;;;;E;;;;;E;;;;;red;582;582.0
5fed8bf0-f88b-4f3e-86f9-c8593ef8ec14;2025-03-19;1900-01-01 09:44:00;Yes;E;;;;;E;;;;;E;;;;;green;584;584.0
5fb9ab6b-13fe-435c-9578-812c973d8473;2025-03-19;1900-01-01 09:46:00;Yes;E;;;;;E;;;;;E;;;;;green;586;586.0
92e06312-2b60-4faf-b144-4f1df22a877a;2025-03-19;1900-01-01 09:48:00;;M;;;;;E;;;;;RS;;;;;;588;588.0
32f6c889-a3fc-4a4b-9e09-bafe85b9b98b;2025-03-19;1900-01-01 09:50:00;;RS;;;;;RS;;;;;RS;;;;;red;590;590.0
55474f49-0e09-4b2d-b005-daa4fc61693d;2025-03-19;1900-01-01 09:52:00;Yes;RS;;;;;RS;;;;;RS;;;;;green;592;592.0
982f291a-3559-41f0-b90c-d11772377a01;2025-03-19;1900-01-01 09:54:00;;M;;;;;RS;;;;;RS;;;;;red;594;594.0
c7ab0280-77d0-4730-aa6c-8b565de3c68f;2025-03-19;1900-01-01 09:56:00;Yes;M;;;;;RS;;;;;RS;;;;;green;596;596.0
f28a33f0-ff36-421f-b939-a3698a23c932;2025-03-19;1900-01-01 09:58:00;Yes;M;;;;;RS;;;;;RS;;;;;green;598;598.0
c50962a9-4c31-4801-82f2-8b29bf6d2627;2025-03-19;1900-01-01 10:00:00;Yes;M;;;;;RS;;;;;RS;;;;;green;600;600.0
ff14566b-5640-4c59-8da7-5b4b1f9f54dc;2025-03-19;1900-01-01 10:02:00;Yes;M;;;;;RS;;;;;RS;;;;;green;602;602.0
2d4618d0-79df-4859-8763-19fd2e25e3a3;2025-03-19;1900-01-01 10:04:00;;RS;;NH;;;RS;;;;;RS;;MS;;;;604;604.0
3882a444-6d1e-4f9b-a09a-e59fde0fbed1;2025-03-19;1900-01-01 10:06:00;;RS;;ST, NH;;;RS;;MS, NH;;;RS;;MS, ST;;;red;606;606.0
39f09b72-f1a3-404c-a048-74071700f9d8;2025-03-19;1900-01-01 10:08:00;Yes;RS;;ST, NH;;;RS;;MS, NH;;;RS;;MS, ST;;;green;608;608.0
635b2c6f-3f05-4102-bbd9-fb4116266100;2025-03-19;1900-01-01 10:10:00;Yes;RS;;ST, NH;;;RS;;MS, NH;;;RS;;MS, ST;;;green;610;610.0
325fd36a-4cb0-4f44-9e81-afb4b80bb43c;2025-03-19;1900-01-01 10:12:00;Yes;RS;;ST, NH;;;RS;;MS, NH;;;RS;;MS, ST;;;green;612;612.0
