ec5_uuid;date;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight;msm;corrected_msm
d5efcbc3-15a8-401c-9f53-b98f41afc5d4;2025-03-23;1900-01-01 09:37:00;NO;E;;;;;E;;;;;RS;;;TN;;RS;;;;;E;;;SR;;;577;576.0
6700040a-ad32-4105-b296-8131f767c284;2025-03-23;1900-01-01 09:39:00;NO;E;;;;;E;;;TK;;RS;;;TN;;RS;;;NY;;E;;;SR;;;579;578.0
c0ef7ad9-6319-422b-a678-20e84e9ccf5a;2025-03-23;1900-01-01 09:41:00;NO;E;;;;;M;;;SR;;RS;;;TN, NY;;RS;;;;;E;;;SR;;;581;580.0
5379569c-191e-4b46-9006-51ec4d6bd823;2025-03-23;1900-01-01 09:43:00;NO;E;;;;;E;;;SR;;RS;;;TK, TN, NY;;RS;;TN;SR;;E;;TK;SR;;;583;582.0
aa4b78c9-7474-4151-9b3e-a257e23b6376;2025-03-23;1900-01-01 09:45:00;NO;E;;;;;E;;;SR, TK, TN;;RS;;;TN, NY, TK;;RS;;;NY, TN, SR;;E;;;NY, TK, SR;;;585;584.0
76c529d3-58fa-483f-8b9c-48faf14da9ed;2025-03-23;1900-01-01 09:47:00;NO;M;;;;;E;;;SR, TK, TN;;RS;;TK;TN, NY;;RS;;TN;NY, SR;;E;;TK;NY, SR;;;587;586.0
2b16ec72-5bc3-419c-8981-3800c98e7bd3;2025-03-23;1900-01-01 09:49:00;NO;E;;;SR, TK, NY;;M;;;SR, TK, ST;;RS;;TK;ST, NY;;RS;;SR;NY, ST;;M;;;;;;589;588.0
6b4a7202-0301-4908-a8f5-f11777da4f0e;2025-03-23;1900-01-01 09:51:00;NO;E;;;TN;;E;;;;;RS;;;TN;;RS;;;;;M;;;SR, ST;;;591;590.0
98f39738-588b-42eb-90cc-a898fecbc620;2025-03-23;1900-01-01 09:53:00;NO;M;;;TK, SR, TN;;RS;;;;;RS;;;TK, TN, ST;;M;;;TN, ST, SR;;RS;;;TK, ST, SR;;;593;592.0
ef8ffdc1-568c-4235-85f1-43d3738d7a85;2025-03-23;1900-01-01 09:55:00;NO;E;;;TK, SR, TN;;M;;;;;RS;;;TK, TN, ST;;GM;TN;;ST, SR;;GM;TK;;ST, SR;;;595;594.0
8ea1849b-4ca0-401d-a667-132ba459c867;2025-03-23;1900-01-01 09:57:00;NO;RS;;;SR;;M;;;;;RS;;;ST;;PL;;TN;;Chasing TN;PL;;TK;;;;597;596.0
cb000499-8602-4f1d-9806-8c7a18afab0e;2025-03-23;1900-01-01 09:59:00;NO;GR;SR;;TK, NY, TN;;M;;;TN, ST, TK, SR;;GG;ST;;TK, NY, TN;;GM;TN;;NY, ST, SR;;GM;TK;;NY, ST, SR;;;599;598.0
587a9f27-7310-45ad-95b7-0bd65e52b7f2;2025-03-23;1900-01-01 10:01:00;NO;GR;SR;;NY, TK, TN;;RS;;;SR, TK, TN, ST;;GG;ST;;TN, TK, NY;;PL;TN;;SR, ST, NY;;PL;TK;;SR, ST, NY;Pulling arms;;601;600.0
2fadc64c-8267-4a7f-9036-6afe56c409a4;2025-03-23;1900-01-01 10:03:00;NO;RS;;SR;TK, TN;;RS;;;;;RS;;ST;TN, TK;;PL;;TN;ST, SR;Putting butt in TNs face;PL;;TK;ST, SR;;;603;602.0
76aff753-f1c4-4ec7-866c-8640128582da;2025-03-23;1900-01-01 10:05:00;NO;RS;;SR;TN;;RS;;TK;;;RS;;ST;TN;;M;;NY;;;RS;;;ST, SR;;;605;604.0
a3c6ea01-7401-48b0-a293-d186ec5b08e4;2025-03-23;1900-01-01 10:07:00;NO;RS;;;NY;;RS;;;ST, TK;;RS;;;TN;;RS;;;NY;;RS;;;SR;;;607;606.0
cde7da07-aeed-493c-bba2-2431987595df;2025-03-23;1900-01-01 10:09:00;NO;RL;;;TK, NY;;RS;;;TK, ST;;RS;;;TN;;RL;;;NY, ST;;RS;;;SR;;red;609;608.0
99088bb8-e070-4b8d-8f31-21b1cadf25b7;2025-03-23;1900-01-01 10:11:00;Yes;RL;;;TK, NY;;RS;;;TK, ST;;RS;;;TN;;RL;;;NY, ST;;RS;;;SR;;green;611;610.0
9604ff61-047b-4f7d-9d45-cf282dd1e921;2025-03-23;1900-01-01 10:13:00;Yes;RL;;;TK, NY;;RS;;;TK, ST;;RS;;;TN;;RL;;;NY, ST;;RS;;;SR;;green;613;612.0
c396b425-bf01-42ce-a694-acf7601d4ddd;2025-03-23;1900-01-01 10:15:00;Yes;RL;;;TK, NY;;RS;;;TK, ST;;RS;;;TN;;RL;;;NY, ST;;RS;;;SR;;green;615;614.0
c6d3e411-011f-4adb-ab88-8c7c3ecc7849;2025-03-23;1900-01-01 10:17:00;Yes;RL;;;TK, NY;;RS;;;TK, ST;;RS;;;TN;;RL;;;NY, ST;;RS;;;SR;;green;617;616.0
745e3c24-76b8-4a26-8556-e61a3eadbc9b;2025-03-23;1900-01-01 10:19:00;Yes;RL;;;TK, NY;;RS;;;TK, ST;;RS;;;TN;;RL;;;NY, ST;;RS;;;SR;;green;619;618.0
9668e8b1-8803-4f4e-b66a-94ee2f95aa54;2025-03-23;1900-01-01 10:21:00;Yes;RL;;;TK, NY;;RS;;;TK, ST;;RS;;;TN;;RL;;;NY, ST;;RS;;;SR;;green;621;620.0
