ec5_uuid;date;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;highlight;msm;corrected_msm
b1ff21f3-0220-42a1-a6b5-f36459cfb774;2025-04-09;1900-01-01 09:34:00;;E;;NH;;;E;;;;;E;;MS;;;red;574;574.0
ecf64410-d282-4a89-84e0-f7c2b4f7ee42;2025-04-09;1900-01-01 09:36:00;Yes;E;;NH;;;E;;;;;E;;MS;;;green;576;576.0
2bd8eef6-098f-4b2c-8565-587a7cbb4cbe;2025-04-09;1900-01-01 09:38:00;Yes;E;;NH;;;E;;;;;E;;MS;;;green;578;578.0
9b1607b1-2c14-43e6-a3c0-4217158cb825;2025-04-09;1900-01-01 09:40:00;;E;;;;;RS;;;;;M;;;;;;580;580.0
eb5879d6-a1cb-4427-b504-bf898f0b36fb;2025-04-09;1900-01-01 09:42:00;;E;;;;;RS;;;;;RS;;;;Displayed few seconds before;;582;582.0
2cf8a476-c647-4326-bf1b-90ffd1fe1705;2025-04-09;1900-01-01 09:44:00;;E;;;;;RS;;;;;RS;;;;;;584;584.0
b0b4be21-74a7-46d4-b126-806df1d2d9f5;2025-04-09;1900-01-01 09:45:00;;RS;;;;;RS;;;;;M;;;;;red;585;586.0
1d3d04b3-ed63-4ede-9e95-d6631fb4cd8b;2025-04-09;1900-01-01 09:48:00;Yes;RS;;;;;RS;;;;;M;;;;;green;588;588.0
bde3df33-2150-4b67-98de-fdf411b03280;2025-04-09;1900-01-01 09:50:00;;RS;;;;;RS;;;;;M;;;;;;590;590.0
06a17684-8efe-4b0e-88e9-2b4dfe8a8b4c;2025-04-09;1900-01-01 09:51:00;;E;;;;;RS;;;;;RS;;;;;;591;592.0
783fe86a-716e-4cd9-a87c-54d2efe366e2;2025-04-09;1900-01-01 09:54:00;;E;;;;;E;;;;;E;;;;;;594;594.0
fa78f2c6-7636-49b5-ba8a-dc29a4da8f13;2025-04-09;1900-01-01 09:56:00;;RL;;;;;M;;;;;RS;;;;;;596;596.0
2cfca42a-f11d-46d2-bd9f-7720a7f9dcd3;2025-04-09;1900-01-01 09:58:00;;RL;;;;;GR;NH;;;;GG;ST;;;;;598;598.0
9c700e03-6d83-4c84-b2da-b45c0f69a773;2025-04-09;1900-01-01 10:00:00;;RL;;;;;RL;;;;;RS;;;;;red;600;600.0
8a883d3f-3fe5-488a-b96d-57de90c2239e;2025-04-09;1900-01-01 10:01:00;Yes;RL;;;;;RL;;;;;RS;;;;;green;601;602.0
46200f81-7aa2-41dc-93dc-b5f64296345d;2025-04-09;1900-01-01 10:04:00;Yes;RL;;;;;RL;;;;;RS;;;;;green;604;604.0
c02185dc-8d30-49c9-939d-7464a760b02b;2025-04-09;1900-01-01 10:06:00;Yes;RL;;;;;RL;;;;;RS;;;;;green;606;606.0
