ec5_uuid;date;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NH_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_MN_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NY_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight;msm;corrected_msm
54bbcadb-32db-4f6f-8e20-2f6db2560243;2025-04-17;1900-01-01 09:31:00;;E;;;MN;;M;;;;;SD;;;MS;;RL;;;;;;571;570.0
8b7d25bc-e9e6-495c-aad8-37a21b7a1e69;2025-04-17;1900-01-01 09:33:00;;E;;;MN, NH;;E;;;MS, MN;;RS;;;MS, NH;;RS;;;;;;573;572.0
4554943f-13ef-4b0c-82b6-37f0234e9878;2025-04-17;1900-01-01 09:35:00;;E;;NH;MN;;E;;MS;MN;;RS;;;MS, NH;;RS;;;;;red;575;574.0
bde3c4ef-60e4-4a84-bd2a-be71588f034b;2025-04-17;1900-01-01 09:37:00;Yes;E;;NH;MN;;E;;MS;MN;;RS;;;MS, NH;;RS;;;;;green;577;576.0
31523325-f85a-4127-b8b3-ab1e38cc08c0;2025-04-17;1900-01-01 09:39:00;Yes;E;;NH;MN;;E;;MS;MN;;RS;;;MS, NH;;RS;;;;;green;579;578.0
bb7d760e-541f-410c-86c5-f8c98fa5fabe;2025-04-17;1900-01-01 09:41:00;Yes;E;;NH;MN;;E;;MS;MN;;RS;;;MS, NH;;RS;;;;;green;581;580.0
cf638afe-cda9-483c-be30-67b120b73e10;2025-04-17;1900-01-01 09:43:00;;RS;;;NH;;RS;;;MS;;M;;;;;M;;;;;;583;582.0
ed9ec21b-cfb0-4558-89f6-be810ccac9f4;2025-04-17;1900-01-01 09:45:00;;RL;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;red;585;584.0
7559084b-d780-4507-80f0-324901094bef;2025-04-17;1900-01-01 09:47:00;Yes;RL;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;green;587;586.0
9eb85504-d16c-4d0d-bb0c-bcdcc52e0a39;2025-04-17;1900-01-01 09:49:00;Yes;RL;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;green;589;588.0
b53b6f36-6c69-4bd8-bbf3-fc75b7423322;2025-04-17;1900-01-01 09:51:00;Yes;RL;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;green;591;590.0
0d7903c8-9c4e-40a5-9855-e3c76dec5ad5;2025-04-17;1900-01-01 09:53:00;Yes;RL;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;green;593;592.0
a1d26657-0892-489f-94ad-e95fca6bbbed;2025-04-17;1900-01-01 09:55:00;Yes;RL;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;green;595;594.0
57af0c56-b2f4-46ed-b6dc-1fed9e65ca15;2025-04-17;1900-01-01 09:57:00;Yes;RL;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;green;597;596.0
b6ae7d31-651f-4bfe-bbf8-ab59fed0755a;2025-04-17;1900-01-01 10:00:00;;RS;;;NH;;RS;;;MS;;E;;;;;RS;;;;;red;600;600.0
5e94f250-bee8-4e56-afbd-e829f336b4a2;2025-04-17;1900-01-01 10:01:00;Yes;RS;;;NH;;RS;;;MS;;E;;;;;RS;;;;;green;601;602.0
89ef79ee-17b8-4a6d-9081-e978e22445fa;2025-04-17;1900-01-01 10:03:00;;E;;;;;GM;MN;;;;GM;NH;;;;RS;;;;;red;603;604.0
149761ca-b6f0-4cb2-aada-c50836ee945f;2025-04-17;1900-01-01 10:06:00;Yes;E;;;;;GM;MN;;;;GM;NH;;;;RS;;;;;green;606;606.0
b0fd2264-7cbd-44ab-a21d-3db16ef197e7;2025-04-17;1900-01-01 10:07:00;Yes;E;;;;;GM;MN;;;;GM;NH;;;;RS;;;;;green;607;608.0
3fa06eba-5f0a-48ca-be11-4b867f33fe26;2025-04-17;1900-01-01 10:09:00;;RS;;;;;GM;MN;;;;GM;NH;;;;M;;;;;;609;610.0
ba16e11e-0eae-49c9-b163-f7427989a13e;2025-04-17;1900-01-01 10:11:00;;RS;;;NH;;RS;;;MS;;RS;;;;;RL;;;;;red;611;612.0
7f4c023f-214d-4829-8b11-4173a98c2428;2025-04-17;1900-01-01 10:13:00;Yes;RS;;;NH;;RS;;;MS;;RS;;;;;RL;;;;;green;613;614.0
f8630ff5-6a6a-472a-ae18-f76cc638d7ad;2025-04-17;1900-01-01 10:15:00;Yes;RS;;;NH;;RS;;;MS;;RS;;;;;RL;;;;;green;615;616.0
d8a91424-0a2f-4c9d-821e-50a40cf79c91;2025-04-17;1900-01-01 10:17:00;Yes;RS;;;NH;;RS;;;MS;;RS;;;;;RL;;;;;green;617;618.0
578b6b36-923b-4fb0-a766-3f648a0c3504;2025-04-17;1900-01-01 10:19:00;;RL;;;;;RL;;;;;RS;;;;;RL;;;;;red;619;620.0
bb86bfa2-db96-48e1-b325-38794b0c6ad4;2025-04-17;1900-01-01 10:21:00;Yes;RL;;;;;RL;;;;;RS;;;;;RL;;;;;green;621;622.0
a4cf7f8a-b92b-4faa-b7ef-b11f9752fc9f;2025-04-17;1900-01-01 10:23:00;Yes;RL;;;;;RL;;;;;RS;;;;;RL;;;;;green;623;624.0
f7eb3cc6-1f3d-4132-aa1b-049df245c8ac;2025-04-17;1900-01-01 10:25:00;Yes;RL;;;;;RL;;;;;RS;;;;;RL;;;;;green;625;626.0
36b01b9e-57b7-4090-a976-61713422708e;2025-04-17;1900-01-01 10:27:00;Yes;RL;;;;;RL;;;;;RS;;;;;RL;;;;;green;627;628.0
8ddd1066-d0a1-4219-8a3d-501752c00030;2025-04-17;1900-01-01 10:29:00;Yes;RL;;;;;RL;;;;;RS;;;;;RL;;;;;green;629;630.0
8148c42f-c181-4c55-8c42-612183115446;2025-04-17;1900-01-01 10:45:00;;GR;MN;;;;SD;;;;;GG;MS;;;;RL;;;;;;645;645.0
643c4aa7-0d0a-4087-8e84-ec4dae9a196c;2025-04-17;1900-01-01 10:48:00;;RS;;;MN;;RS;;;;;RS;;;MS;;RL;;;;;;648;647.0
e2cdd2d7-3c92-4246-87a1-290dc36ad12e;2025-04-17;1900-01-01 10:49:00;;RS;;;MN;;RS;;;;;SD;;;MS;;RS;;;;;;649;649.0
35ab751e-8d8c-4677-808c-25971d07b7a7;2025-04-17;1900-01-01 10:51:00;;RS;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;red;651;651.0
b8b4a72f-7c01-4245-aabb-4e3196fe8af8;2025-04-17;1900-01-01 10:53:00;Yes;RS;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;green;653;653.0
eb323a1a-6890-472b-bd3c-a4b2d035bef8;2025-04-17;1900-01-01 10:55:00;Yes;RS;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;green;655;655.0
006171d8-004e-469c-9ca5-be8dc3e3b5b2;2025-04-17;1900-01-01 10:57:00;;RS;;;NH;;RL;;;MS;;RS;;;;;RS;;;;;red;657;657.0
1e972c66-7285-44cc-b09d-36eca4e1c888;2025-04-17;1900-01-01 10:59:00;Yes;RS;;;NH;;RL;;;MS;;RS;;;;;RS;;;;;green;659;659.0
0fa5f630-0f01-44d3-864e-9373c277f8b1;2025-04-17;1900-01-01 11:01:00;;RS;;NH;;;RL;;MS;;;RS;;;;;RS;;;;;red;661;661.0
e620464e-566c-411a-9063-a71cc609051c;2025-04-17;1900-01-01 11:03:00;Yes;RS;;NH;;;RL;;MS;;;RS;;;;;RS;;;;;green;663;663.0
230efd16-e70a-43ff-894d-8dcd335d0ce5;2025-04-17;1900-01-01 11:05:00;Yes;RS;;NH;;;RL;;MS;;;RS;;;;;RS;;;;;green;665;665.0
d6c3f141-5aef-4653-bf0b-f95e404e83c2;2025-04-17;1900-01-01 11:07:00;;RL;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;red;667;667.0
13e98057-13e7-4bbe-aa73-39dfa51bc93a;2025-04-17;1900-01-01 11:09:00;Yes;RL;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;green;669;669.0
6041f9e9-80a7-4dea-974e-9637d0062f5b;2025-04-17;1900-01-01 11:12:00;Yes;RL;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;green;672;671.0
ed2c63ac-d2f1-49c4-88aa-1b60495cf57c;2025-04-17;1900-01-01 11:14:00;Yes;RL;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;green;674;673.0
53a638ef-2468-4e29-a0a8-a5a9c0a46cd0;2025-04-17;1900-01-01 11:15:00;;RL;;;NH;;RS;;;MS;;SD;;;;;RL;;;;;red;675;675.0
f3da612a-94ef-486f-a91d-aa4a223b7dcd;2025-04-17;1900-01-01 11:17:00;Yes;RL;;;NH;;RS;;;MS;;SD;;;;;RL;;;;;green;677;677.0
768d0430-f7ea-4575-9c6c-28d3bdec75d9;2025-04-17;1900-01-01 11:19:00;Yes;RL;;;NH;;RS;;;MS;;SD;;;;;RL;;;;;green;679;679.0
3e7d2e8a-e9a9-4d17-ae6a-1a5501f76ee4;2025-04-17;1900-01-01 11:21:00;Yes;RL;;;NH;;RS;;;MS;;SD;;;;;RL;;;;;green;681;681.0
ed61e070-7362-4c70-9c17-d0597db1a625;2025-04-17;1900-01-01 11:24:00;;RL;;;NH;;RS;;;MS;;RS;;;;;RL;;;;;red;684;683.0
4592a964-b0e6-4658-b7ee-02f16d62e1be;2025-04-17;1900-01-01 11:26:00;Yes;RL;;;NH;;RS;;;MS;;RS;;;;;RL;;;;;green;686;685.0
b54a1a44-3f1d-44ba-9cc6-93b7bef31228;2025-04-17;1900-01-01 11:27:00;Yes;RL;;;NH;;RS;;;MS;;RS;;;;;RL;;;;;green;687;687.0
d6f4d9a3-2888-4490-b6be-99084e4256c8;2025-04-17;1900-01-01 11:29:00;Yes;RL;;;NH;;RS;;;MS;;RS;;;;;RL;;;;;green;689;689.0
f02933d3-e64b-4a1b-ad9f-970606e9a1a5;2025-04-17;1900-01-01 11:32:00;;RL;;;NH, NY;;RL;;;MS, NY;;RS;;;;;RS;;;MS, NH;;;692;691.0
9cd1ba0b-8667-4102-92ab-56f364d0a65b;2025-04-17;1900-01-01 11:33:00;;RL;;;NH;;RL;;;MS;;RS;;;;;RS;;;;;red;693;693.0
67ad576d-641c-474f-ae6a-dfce6ca06cb2;2025-04-17;1900-01-01 11:35:00;Yes;RL;;;NH;;RL;;;MS;;RS;;;;;RS;;;;;green;695;695.0
f7bf986c-752a-4939-84bc-01fa8f35ebf3;2025-04-17;1900-01-01 11:37:00;Yes;RL;;;NH;;RL;;;MS;;RS;;;;;RS;;;;;green;697;697.0
df54bd6e-9155-4bb9-9f4d-7603db2bb6e3;2025-04-17;1900-01-01 11:39:00;Yes;RL;;;NH;;RL;;;MS;;RS;;;;;RS;;;;;green;699;699.0
6dd096a2-e489-4623-be40-a5338c5dbc07;2025-04-17;1900-01-01 11:41:00;Yes;RL;;;NH;;RL;;;MS;;RS;;;;;RS;;;;;green;701;701.0
01562af3-989a-4871-8779-75bf41fd9d18;2025-04-17;1900-01-01 11:43:00;;RL;;;NH;;RL;;;MS;;RS;;;;;RL;;;;;red;703;703.0
a704b7b4-3a98-447b-8c67-95cfaae01312;2025-04-17;1900-01-01 11:45:00;Yes;RL;;;NH;;RL;;;MS;;RS;;;;;RL;;;;;green;705;705.0
35a5e352-c227-4856-9774-868bc60ed2e5;2025-04-17;1900-01-01 13:19:00;;E;;;NH, NY;;E;;;MS, NY;;E;;;;;E;;;MS, NH;;red;799;799.0
1549c22f-b7d5-4c01-af24-ab2f99aeaa5c;2025-04-17;1900-01-01 13:21:00;Yes;E;;;NH, NY;;E;;;MS, NY;;E;;;;;E;;;MS, NH;;green;801;801.0
27bd9535-aa82-43a9-9e2a-34772657dab4;2025-04-17;1900-01-01 13:23:00;Yes;E;;;NH, NY;;E;;;MS, NY;;E;;;;;E;;;MS, NH;;green;803;803.0
17f4d5bd-7ed6-4c2f-9995-4ff252cf14e0;2025-04-17;1900-01-01 13:25:00;Yes;E;;;NH, NY;;E;;;MS, NY;;E;;;;;E;;;MS, NH;;green;805;805.0
57b8710a-b1c5-4bce-a2d6-de001959ac65;2025-04-17;1900-01-01 13:27:00;Yes;E;;;NH, NY;;E;;;MS, NY;;E;;;;;E;;;MS, NH;;green;807;807.0
ef225418-c1ee-4363-b3d8-01932ecc4b2c;2025-04-17;1900-01-01 13:29:00;;RS;;;;;E;;;NY;;E;;;;;E;;;NH;;red;809;809.0
fffa4e3e-cb82-43a0-858a-e363f388fcb2;2025-04-17;1900-01-01 13:31:00;Yes;RS;;;;;E;;;NY;;E;;;;;E;;;NH;;green;811;811.0
acae5e16-7a32-4d7e-9131-8af29225f01f;2025-04-17;1900-01-01 13:33:00;;E;;;;;E;;;NY;;M;;;;;E;;;NH;;;813;813.0
c29631b1-34a5-4895-bed5-f831a88022b1;2025-04-17;1900-01-01 13:35:00;;E;;;;;E;;;NY, MN;;RS;;;NH;;E;;;NH;;red;815;815.0
bc185726-f8f2-41f4-ab7c-d532ca521f0d;2025-04-17;1900-01-01 13:37:00;Yes;E;;;;;E;;;NY, MN;;RS;;;NH;;E;;;NH;;green;817;817.0
2be8e92e-9696-4e03-9217-7915dab59b83;2025-04-17;1900-01-01 13:39:00;;RL;;;;;RS;;;;;RS;;;;;RS;;;;;;819;819.0
df16cead-0d7a-41a0-b154-704d29d2c194;2025-04-17;1900-01-01 13:41:00;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;red;821;821.0
a15d965f-8691-431b-917c-ff5746cb6ae6;2025-04-17;1900-01-01 13:43:00;Yes;RS;;;;;RS;;;;;RS;;;;;RS;;;;;green;823;823.0
cf1f7331-162d-41f3-a0ef-fba418b51415;2025-04-17;1900-01-01 13:44:00;Yes;RS;;;;;RS;;;;;RS;;;;;RS;;;;;green;824;825.0
bd78acdd-3c7a-40fe-909a-bb4421e02d5d;2025-04-17;1900-01-01 13:47:00;Yes;RS;;;;;RS;;;;;RS;;;;;RS;;;;;green;827;827.0
8ba143e6-b9a4-4af7-a4b2-77508c688b27;2025-04-17;1900-01-01 13:49:00;Yes;RS;;;;;RS;;;;;RS;;;;;RS;;;;;green;829;829.0
5e1e99fc-e178-4007-bb7f-c4e01eb68703;2025-04-17;1900-01-01 13:51:00;Yes;RS;;;;;RS;;;;;RS;;;;;RS;;;;;green;831;831.0
0c09820e-ed83-452c-9b55-c65eda27e023;2025-04-17;1900-01-01 13:53:00;Yes;RS;;;;;RS;;;;;RS;;;;;RS;;;;;green;833;833.0
71cd7230-0d83-418a-881f-fe82d5003988;2025-04-17;1900-01-01 13:54:00;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;red;834;835.0
f3bef929-62cb-4818-8cdb-ad642a4b67ba;2025-04-17;1900-01-01 13:57:00;Yes;RS;;;;;RS;;;;;RS;;;;;RS;;;;;green;837;837.0
