ec5_uuid,condition,date,msm,group,is_all_occasions,trial,phase,first_day,block_ID,Ind1,behaviour,partner,notes,playing,aggression,agg_morn1,play_morn1,agg_morn2,play_morn2,agg_enrich,play_enrich,agg_extra,play_extra
1daa4067-72f7-498f-8863-18d37a10fef5,Playback,2025-03-12,858,1,True,1,enrich,False,enrich_1_trial1_sec_play,MZ,AG,SR,,0,1,0,0,0,0,1,0,0,0
e64681dd-f356-48d1-9b8b-98e47d1d3fb8,Crow,2025-04-08,573,1,True,3,morn1,True,morn1_1_trial3_first_cont,MZ,PL,SB,,1,0,0,1,0,0,0,0,0,0
6a98a52c-70d1-4eaf-bdeb-312fc1571d76,Crow,2025-04-08,651,1,True,3,morn2,True,morn2_1_trial3_first_cont,MZ,DS,,,0,1,0,0,1,0,0,0,0,0
fbb4625f-326e-498d-a0d4-abbe82ba36a0,Playback,2025-04-21,651,1,True,4,morn2,True,morn2_1_trial4_first_play,SB,DS,,,0,1,0,0,1,0,0,0,0,0
fbb4625f-326e-498d-a0d4-abbe82ba36a0,Playback,2025-04-21,651,1,True,4,morn2,True,morn2_1_trial4_first_play,GG,DS,,,0,1,0,0,1,0,0,0,0,0
eb74e5f8-c4c5-47f0-a393-f1f36659ec96,Playback,2025-04-21,654,1,True,4,morn2,True,morn2_1_trial4_first_play,SB,DS,,,0,1,0,0,1,0,0,0,0,0
4a2f18bd-cb04-4729-af9c-5bbb96da03fe,Crow,2025-04-08,679,1,True,3,morn2,True,morn2_1_trial3_first_cont,SB,DS,,,0,1,0,0,1,0,0,0,0,0
427779be-676f-4400-bc92-19d0a9d0d8e2,Crow,2025-04-08,663,1,True,3,morn2,True,morn2_1_trial3_first_cont,SB,DS,,,0,1,0,0,1,0,0,0,0,0
82586364-51b8-4129-ab25-3ccbeae05674,Crow,2025-04-08,630,1,True,3,morn1,True,morn1_1_trial3_first_cont,SB,DS,,,0,1,1,0,0,0,0,0,0,0
571d3a81-56f3-46d4-aa4d-756ac5d19863,Crow,2025-04-08,593,1,True,3,morn1,True,morn1_1_trial3_first_cont,GG,PL,TN,,1,0,0,1,0,0,0,0,0,0
fbb4625f-326e-498d-a0d4-abbe82ba36a0,Playback,2025-04-21,651,1,True,4,morn2,True,morn2_1_trial4_first_play,GG,DS,,,0,1,0,0,1,0,0,0,0,0
eb74e5f8-c4c5-47f0-a393-f1f36659ec96,Playback,2025-04-21,654,1,True,4,morn2,True,morn2_1_trial4_first_play,TN,DS,,,0,1,0,0,1,0,0,0,0,0
883a792e-795c-49da-acf3-e5cec96a12fb,Playback,2025-04-21,646,1,True,4,morn2,True,morn2_1_trial4_first_play,TN,AG,SR,,0,1,0,0,1,0,0,0,0,0
67457d92-ba94-45b1-9937-edb7760636e5,Playback,2025-04-21,647,1,True,4,morn2,True,morn2_1_trial4_first_play,TN,AG,SR,,0,1,0,0,1,0,0,0,0,0
47c34299-5539-4871-9ea9-de5aa4eb3e20,Playback,2025-04-21,650,1,True,4,morn2,True,morn2_1_trial4_first_play,TN,AG,SR,,0,1,0,0,1,0,0,0,0,0
ca734bb9-3429-45e9-b6bb-a52b45d120d0,Crow,2025-04-09,860,1,True,3,enrich,False,enrich_1_trial3_sec_cont,TN,PL,"GG, SB",,1,0,0,0,0,0,0,1,0,0
a45a5c6f-3170-40bd-8c83-e8c4d5f91a82,Crow,2025-04-09,822,1,True,3,enrich,False,enrich_1_trial3_sec_cont,TN,AG,SR,,0,1,0,0,0,0,1,0,0,0
