ec5_uuid;date;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight;msm;corrected_msm
fa8e746a-983f-4522-8828-54ce458fab4c;2025-04-30;1900-01-01 09:32:00;NO;E;;;;;M;;;TK;;E;;;SR;;M;;;;;;572;572.0
cba7d3dd-96c3-4ced-bb32-16092d1e7725;2025-04-30;1900-01-01 09:34:00;NO;E;;;;;E;;;;;E;;;;;E;;;;;;574;574.0
d4fff3ee-0f55-4fae-adb7-dc6671ae523c;2025-04-30;1900-01-01 09:36:00;NO;M;;;;;RS;;;;;M;;;TN;;M;;;TK;;;576;576.0
1ede3e5d-4d4f-4fbe-8d2a-fc04b00d43fa;2025-04-30;1900-01-01 09:38:00;NO;RS;;;;;M;;;;;RS;;;;;RS;;;;;;578;578.0
a35918f0-395c-46b0-af75-8d92f1630ce8;2025-04-30;1900-01-01 09:40:00;NO;E;;;;;RS;;;;;RS;;;;;M;;;;;;580;580.0
36fd8b66-fdd6-44f2-9381-73bbf57452e1;2025-04-30;1900-01-01 09:42:00;NO;RS;;;;;M;;TK;;;M;;SR;;;RS;;;;;;582;582.0
c704e819-fa50-401f-8c6b-7ad8b811e0c8;2025-04-30;1900-01-01 09:44:00;NO;M;;;;;RS;;;;;RS;;;;;RS;;;;;;584;584.0
fb72819e-14b3-4111-903e-075bbe2de98c;2025-04-30;1900-01-01 09:46:00;NO;E;;;;;RS;;;;;M;;;TN;;M;;;TK;;;586;586.0
9907d7fd-d349-40ca-a58f-d578ff263392;2025-04-30;1900-01-01 09:48:00;NO;M;;;TK, SR, TN;;M;;;TK, ST, TN;;M;;TN;SR, ST;;M;;TK;ST, SR;;;588;588.0
ecf5d0c2-c1e2-4bfc-84b2-69522906bdb9;2025-04-30;1900-01-01 09:50:00;NO;RS;;SR;;;RS;;ST;;;RS;TN;;;;RS;TK;;;;;590;590.0
e942d930-7adf-4e34-8d05-e365b1c106d1;2025-04-30;1900-01-01 09:52:00;NO;RS;;;;;RS;;;;;PL;TN;;;;PL;TK;;;;;592;592.0
babd9693-c3cb-4ff8-a996-379af9cceb78;2025-04-30;1900-01-01 09:54:00;NO;RS;;;TK, TN;;RS;;;;;GM;TN;;ST;;GM;TK;;ST;;red;594;594.0
