date,msm,A,B,C,total,n_ok,n_missing,n_duplicate,row_status,A_missing_day,B_missing_day,C_missing_day
2025-03-06,801,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,803,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,805,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,807,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,809,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,811,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,813,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,815,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,817,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,819,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,821,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,823,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,825,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,827,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,829,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,831,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,833,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,835,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,837,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,839,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,841,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,843,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,845,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,847,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,849,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,851,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,853,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,855,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,857,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,859,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,861,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,863,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,865,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,867,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,869,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,871,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,873,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,875,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,877,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,879,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,881,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,883,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-06,885,0.0,0.0,0.0,0.0,0,3,0,MISSING,108,108,108
2025-03-11,570,0.0,0.0,1.0,1.0,1,2,0,MISSING,10,11,6
2025-03-11,572,0.0,0.0,1.0,1.0,1,2,0,MISSING,10,11,6
2025-03-11,574,0.0,0.0,1.0,1.0,1,2,0,MISSING,10,11,6
2025-03-11,576,0.0,0.0,0.0,0.0,0,3,0,MISSING,10,11,6
2025-03-11,578,0.0,0.0,1.0,1.0,1,2,0,MISSING,10,11,6
2025-03-11,580,0.0,0.0,0.0,0.0,0,3,0,MISSING,10,11,6
2025-03-11,582,0.0,0.0,0.0,0.0,0,3,0,MISSING,10,11,6
2025-03-11,584,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,586,1.0,1.0,0.0,2.0,2,1,0,MISSING,10,11,6
2025-03-11,588,0.0,0.0,1.0,1.0,1,2,0,MISSING,10,11,6
2025-03-11,590,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,592,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,594,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,596,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,598,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,600,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,602,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,604,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,606,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,608,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,610,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,612,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,614,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,616,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,618,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,620,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,622,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,624,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,626,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,628,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,630,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,645,1.0,0.0,1.0,2.0,2,1,0,MISSING,10,11,6
2025-03-11,647,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,649,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,651,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,653,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,655,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
