ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_MS_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;highlight;msm;corrected_msm
ca41ee1e-1b67-4724-b160-9780d76d83c2;2025-05-05;1900-01-01 09:34:00;NO;M;;;;;;E;;GG;MS;;;E;;SB;MS;;;E;;;SB, GG;;;red;574;574.0
0cd14725-6a7b-4b11-b921-da86651b4a5a;2025-05-05;1900-01-01 09:36:00;Yes;M;;;;;;E;;GG;MS;;;E;;SB;MS;;;E;;;SB, GG;;;green;576;576.0
4d7864de-9fb3-42bc-99f6-b7f322c24674;2025-05-05;1900-01-01 09:38:00;NO;M;;;;;;E;;MS, GG;;;;E;;SB;MS;;;E;;SB;GG;;;;578;578.0
ba34f2cf-ef6d-4f22-9a5c-18f2b7f1d33a;2025-05-05;1900-01-01 09:40:00;NO;E;;;;;;E;;GG, MS;;;;E;;SB;MS;;;E;;SB;GG;;;;580;580.0
a112e809-fa61-4a11-b5b8-f1ac8d6dcb2e;2025-05-05;1900-01-01 09:42:00;NO;E;;;;;;E;;;GG;;;E;;MS;SB;;;E;;GG;;;;red;582;582.0
1c024f17-a74f-4eb8-ab35-d8cec296e3f5;2025-05-05;1900-01-01 09:44:00;Yes;E;;;;;;E;;;GG;;;E;;MS;SB;;;E;;GG;;;;green;584;584.0
fc025845-5e3d-4c5b-80d8-ca0367621821;2025-05-05;1900-01-01 09:46:00;NO;M;;;;;;E;;;;;;E;;MS;;;;RL;;GG;;;;red;586;586.0
45c28b98-4de8-41a2-9990-eeb5b0d870eb;2025-05-05;1900-01-01 09:48:00;Yes;M;;;;;;E;;;;;;E;;MS;;;;RL;;GG;;;;green;588;588.0
38bfc841-f4fc-43b6-80a3-b79a3d0b4dec;2025-05-05;1900-01-01 09:50:00;NO;RL;;;;;;E;;;;;;RS;;MS;;;;E;;GG;;;;;590;590.0
f8483027-1bf5-456b-a29a-179bc2f81e52;2025-05-05;1900-01-01 09:52:00;NO;M;;;;;;RS;;;;;;RL;;MS;;;;E;;GG;;;;;592;592.0
