ec5_uuid;date;1_TIme;2_NC;4_LN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_MN_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NR_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight;msm;corrected_msm
74f006a1-a3c0-412b-8d34-2137fd248685;2025-05-19;1900-01-01 09:32:00;;E;;MN;;;RS;;;;;M;;;;;E;;LN;;;;572;572.0
f92b331b-a44d-402d-9eb9-319b0187f5d3;2025-05-19;1900-01-01 09:34:00;;E;;MN;;;E;;;;;E;;;;;E;;LN;;;;574;574.0
0294578c-1f82-4885-bf6e-105259872f0a;2025-05-19;1900-01-01 09:36:00;;RS;;MN;;;RS;;;;;RS;;;;;RS;;LN;;;;576;576.0
9d26f814-64cc-48ef-ac53-b44476f97c03;2025-05-19;1900-01-01 09:38:00;;RS;;MN;NH;;GM;NH;;LN, NR;;GM;MN;;NR, LN;;RS;;;LN, NH, MN;;red;578;578.0
1b04c0ca-96fd-4199-b84b-9ffb0687da14;2025-05-19;1900-01-01 09:40:00;Yes;RS;;MN;NH;;GM;NH;;LN, NR;;GM;MN;;NR, LN;;RS;;;LN, NH, MN;;green;580;580.0
6e197a0d-f35f-4ba3-a586-d3468848b9be;2025-05-19;1900-01-01 09:42:00;NO;GR;NR;;;;GG;NH;;;;GR;MN;;;;GG;LN;;;;red;582;582.0
aa861a32-a156-4e6e-bfd4-2f012e4472a7;2025-05-19;1900-01-01 09:44:00;Yes;GR;NR;;;;GG;NH;;;;GR;MN;;;;GG;LN;;;;green;584;584.0
d6c70587-1d4f-4d39-a678-1fb0af5e933b;2025-05-19;1900-01-01 09:46:00;Yes;GR;NR;;;;GG;NH;;;;GR;MN;;;;GG;LN;;;;green;586;586.0
2cad972d-3507-4a63-b51c-6044f1ec68e1;2025-05-19;1900-01-01 09:48:00;;GR;NR;;;;RS;;;;;RS;;;;;GG;LN;;;;red;588;588.0
a93201c5-0185-4d9c-8ec6-8c00abab021c;2025-05-19;1900-01-01 09:50:00;Yes;GR;NR;;;;RS;;;;;RS;;;;;GG;LN;;;;green;590;590.0
