ec5_uuid;date;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight;msm;corrected_msm
0a2b7fa7-14c0-49eb-b1ea-45ed5209ba22;2025-04-17;1900-01-01 09:31:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;571;570.0
69f4b556-912e-4630-af66-10174dded7f8;2025-04-17;1900-01-01 09:33:00;NO;M;;;TN;;RS;;;;;RS;;;;;M;;;ST;;;573;572.0
5630597f-0471-4fd3-b997-4cb45a14b6ab;2025-04-17;1900-01-01 09:35:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;575;574.0
db6887e2-12f6-403b-a6c2-afd7e3644972;2025-04-17;1900-01-01 09:37:00;NO;RS;;;;;RS;;;;;RS;;;TN;;RS;;;TK;;red;577;576.0
ab1cfdf2-53a9-49d6-a66e-adad57ae84d0;2025-04-17;1900-01-01 09:39:00;Yes;RS;;;;;RS;;;;;RS;;;TN;;RS;;;TK;;green;579;578.0
c1525155-e901-4506-8fa7-a2dd9658fdc6;2025-04-17;1900-01-01 09:41:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;581;580.0
10eb9788-8521-403c-a250-0c36fbd9ef3c;2025-04-17;1900-01-01 09:43:00;NO;M;;;;;RS;;;;;RS;;;;;RS;;;;;;583;582.0
89635c9f-7fe6-4b71-8e1e-8afe91ca8390;2025-04-17;1900-01-01 09:45:00;NO;GR;TK;;;;RS;;;;;GG;ST;;;;RS;;;;;red;585;584.0
aa03f64b-a2e2-477e-b67a-1bc74c6f830e;2025-04-17;1900-01-01 09:47:00;Yes;GR;TK;;;;RS;;;;;GG;ST;;;;RS;;;;;green;587;586.0
c01a1273-498d-42a1-aed8-914848ed4c97;2025-04-17;1900-01-01 09:49:00;NO;RS;;;TK;;RS;;;;;RS;;;ST;;RS;;;;;;589;588.0
a0008f06-7ec5-45b9-8a7b-21910eab9aaa;2025-04-17;1900-01-01 09:51:00;NO;RS;;;TK;;RS;;;;;RS;;;ST;;M;;;;;;591;590.0
d44d7cb5-178a-4c74-b041-f8aaccf7f66c;2025-04-17;1900-01-01 09:53:00;NO;RS;;;TK;;RS;;;;;RS;;;ST;;RS;;;;;;593;592.0
846abebf-af8d-418c-aa7d-a376d5050034;2025-04-17;1900-01-01 09:55:00;NO;M;;;TN;;RS;;;;;RS;;;;;M;;;ST;;;595;594.0
