ec5_uuid,condition,date,msm,group,trial,phase,block_ID,Ind1,partner,dyad,distance
42c38470-940f-4956-a2e5-1891b7b86217,Playback,23-03-2025,585,C_2,2,morn1,morn1_C_2_trial2_first_play,MS,SB,MS-SB,2
42c38470-940f-4956-a2e5-1891b7b86217,Playback,23-03-2025,585,C_2,2,morn1,morn1_C_2_trial2_first_play,MS,GG,MS-GG,2
b88c7e84-f0c6-4a80-8fcd-1890d4283814,Playback,23-03-2025,587,C_2,2,morn1,morn1_C_2_trial2_first_play,MZ,SB,MZ-SB,4
b88c7e84-f0c6-4a80-8fcd-1890d4283814,Playback,23-03-2025,587,C_2,2,morn1,morn1_C_2_trial2_first_play,MZ,GG,MZ-GG,4
b88c7e84-f0c6-4a80-8fcd-1890d4283814,Playback,23-03-2025,587,C_2,2,morn1,morn1_C_2_trial2_first_play,MZ,MS,MZ-MS,4
b88c7e84-f0c6-4a80-8fcd-1890d4283814,Playback,23-03-2025,587,C_2,2,morn1,morn1_C_2_trial2_first_play,SB,MS,SB-MS,2
b88c7e84-f0c6-4a80-8fcd-1890d4283814,Playback,23-03-2025,587,C_2,2,morn1,morn1_C_2_trial2_first_play,SB,GG,SB-GG,2
b88c7e84-f0c6-4a80-8fcd-1890d4283814,Playback,23-03-2025,587,C_2,2,morn1,morn1_C_2_trial2_first_play,GG,MS,GG-MS,2
b88c7e84-f0c6-4a80-8fcd-1890d4283814,Playback,23-03-2025,587,C_2,2,morn1,morn1_C_2_trial2_first_play,GG,SB,GG-SB,2
b88c7e84-f0c6-4a80-8fcd-1890d4283814,Playback,23-03-2025,587,C_2,2,morn1,morn1_C_2_trial2_first_play,MS,SB,MS-SB,2
b88c7e84-f0c6-4a80-8fcd-1890d4283814,Playback,23-03-2025,587,C_2,2,morn1,morn1_C_2_trial2_first_play,MS,GG,MS-GG,2
a5454f97-446a-408c-8919-25f6f0f4b6ce,Playback,23-03-2025,589,C_2,2,morn1,morn1_C_2_trial2_first_play,MZ,SB,MZ-SB,4
a5454f97-446a-408c-8919-25f6f0f4b6ce,Playback,23-03-2025,589,C_2,2,morn1,morn1_C_2_trial2_first_play,MZ,GG,MZ-GG,4
a5454f97-446a-408c-8919-25f6f0f4b6ce,Playback,23-03-2025,589,C_2,2,morn1,morn1_C_2_trial2_first_play,MZ,MS,MZ-MS,4
a5454f97-446a-408c-8919-25f6f0f4b6ce,Playback,23-03-2025,589,C_2,2,morn1,morn1_C_2_trial2_first_play,SB,MS,SB-MS,2
a5454f97-446a-408c-8919-25f6f0f4b6ce,Playback,23-03-2025,589,C_2,2,morn1,morn1_C_2_trial2_first_play,SB,GG,SB-GG,2
a5454f97-446a-408c-8919-25f6f0f4b6ce,Playback,23-03-2025,589,C_2,2,morn1,morn1_C_2_trial2_first_play,GG,MS,GG-MS,2
a5454f97-446a-408c-8919-25f6f0f4b6ce,Playback,23-03-2025,589,C_2,2,morn1,morn1_C_2_trial2_first_play,GG,SB,GG-SB,2
a5454f97-446a-408c-8919-25f6f0f4b6ce,Playback,23-03-2025,589,C_2,2,morn1,morn1_C_2_trial2_first_play,MS,SB,MS-SB,2
a5454f97-446a-408c-8919-25f6f0f4b6ce,Playback,23-03-2025,589,C_2,2,morn1,morn1_C_2_trial2_first_play,MS,GG,MS-GG,2
563f1c42-f46d-4835-883a-53cf187a63dd,Playback,23-03-2025,591,C_2,2,morn1,morn1_C_2_trial2_first_play,MZ,SB,MZ-SB,4
563f1c42-f46d-4835-883a-53cf187a63dd,Playback,23-03-2025,591,C_2,2,morn1,morn1_C_2_trial2_first_play,MZ,GG,MZ-GG,4
563f1c42-f46d-4835-883a-53cf187a63dd,Playback,23-03-2025,591,C_2,2,morn1,morn1_C_2_trial2_first_play,MZ,MS,MZ-MS,4
563f1c42-f46d-4835-883a-53cf187a63dd,Playback,23-03-2025,591,C_2,2,morn1,morn1_C_2_trial2_first_play,SB,MS,SB-MS,2
