ec5_uuid;date;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight;msm;corrected_msm
ccf75431-b5a1-41a2-ab73-5358d0dafb49;2025-03-24;1900-01-01 09:32:00;NO;E;;;;;M;;;;;RS;;;;;RS;;;;;E;;;;;;572;572.0
635d5fce-1610-43c4-846f-5add000eadb6;2025-03-24;1900-01-01 09:34:00;NO;E;;;;;E;;TK;;;RS;;;;;RS;;NY;;;M;;;;;;574;574.0
72484e8e-30c6-413f-8c28-93bfdd333bae;2025-03-24;1900-01-01 09:36:00;NO;E;;;;;M;;;;;RS;;;;;RS;;;;;E;;;;;;576;576.0
98673e2c-280e-4f2c-bf9e-d435411f41ae;2025-03-24;1900-01-01 09:38:00;NO;M;;SR;;;E;;;;;M;;ST;;;RS;;;;;E;;;;;;578;578.0
f4c22fae-b125-4e0f-be03-77e20fa6f32c;2025-03-24;1900-01-01 09:40:00;NO;E;;;;;E;;;;;M;;;;;RS;;;;;E;;;;;;580;580.0
ace31b45-b8be-41d3-9a80-285129fb792a;2025-03-24;1900-01-01 09:42:00;NO;E;TN;;SR;;E;;;;;RS;;;ST;;RS;;;;;E;;;;;;582;582.0
32c7b8c8-dbb6-47b3-bfac-50501c3811b4;2025-03-24;1900-01-01 09:44:00;NO;E;;SR;;;E;;;;;RS;;ST;;;RS;;;;;E;;;;;;584;584.0
a8dda896-d7dd-4ef7-aa3c-6792ab294402;2025-03-24;1900-01-01 09:46:00;NO;E;;;;;E;;;;;RS;;;;;RS;;;;;M;;;;;;586;586.0
fd391cfd-2591-4c57-bdf3-63be7a0f6ba9;2025-03-24;1900-01-01 09:48:00;NO;E;;;SR;;E;;;;;RS;;;ST;;RS;;;;;M;;;;;;588;588.0
2c51c471-5c94-4ec2-8102-854c01c70b2e;2025-03-24;1900-01-01 09:50:00;NO;E;;SR;;;M;;;TN;;RS;;ST;;;RS;;;;;E;;;NY;;;590;590.0
6442ba57-d679-4fd6-91c7-02da02b5f8d4;2025-03-24;1900-01-01 09:52:00;NO;E;;SR;;;E;;;TN;;RS;;ST;;;RS;;;;;E;;;NY;;red;592;592.0
077a77cf-62b0-4bca-b045-5641ea27a82f;2025-03-24;1900-01-01 09:54:00;Yes;E;;SR;;;E;;;TN;;RS;;ST;;;RS;;;;;E;;;NY;;green;594;594.0
2fac72e4-2e03-48fa-b77a-5e5d0d4c36ad;2025-03-24;1900-01-01 09:56:00;NO;M;;;TN;;E;;;;;RS;;;;;RS;;;;;E;;;ST;;;596;596.0
1fb41294-7562-4986-80a8-7c50953a880d;2025-03-24;1900-01-01 09:58:00;NO;RS;;;;;RS;;;TK;;RS;;;TN;;RS;;;NY;;E;;;SR;;;598;598.0
c4e7b868-e2b4-4771-9192-5e416947ef4f;2025-03-24;1900-01-01 10:00:00;NO;RS;;SR;;;RS;;;TK;;RS;;ST;;;RS;;;NY;;E;;;;;red;600;600.0
ba6f2d2d-9ba3-452c-b495-b877f87629dc;2025-03-24;1900-01-01 10:02:00;Yes;RS;;SR;;;RS;;;TK;;RS;;ST;;;RS;;;NY;;E;;;;;green;602;602.0
fedcb13d-bdc1-4e31-ae02-3b226f52d226;2025-03-24;1900-01-01 10:04:00;NO;RS;;;SR;;RS;;;TK;;RS;;;ST;;RS;;;NY;;E;;;;;;604;604.0
83bdf188-ce04-4178-bda9-9745118ec897;2025-03-24;1900-01-01 10:06:00;NO;RS;;SR;;;RS;;;TK;;RS;;ST;;;RS;;;NY;;E;;;;;red;606;606.0
10a64822-99b8-4a55-9a1e-a1c417b5667f;2025-03-24;1900-01-01 10:08:00;Yes;RS;;SR;;;RS;;;TK;;RS;;ST;;;RS;;;NY;;E;;;;;green;608;608.0
1d9ffcef-860d-411d-b6ef-f92cb77099ee;2025-03-24;1900-01-01 10:10:00;NO;GR;TN;;SR;;RS;;;TK;;RS;;;TN, ST;;RS;;;NY;;GG;ST;;SR;;;610;610.0
74ae5897-2445-4d4a-a6e2-4ad1de2c6e51;2025-03-24;1900-01-01 10:12:00;NO;E;TN;SR;;;RS;;;TK;;RS;;ST;TN;;RS;;;NY;;GG;ST;;SR;;red;612;612.0
2c92b0c3-40e4-4646-8d96-9f76ed80665c;2025-03-24;1900-01-01 10:14:00;Yes;E;TN;SR;;;RS;;;TK;;RS;;ST;TN;;RS;;;NY;;GG;ST;;SR;;green;614;614.0
3bc8595e-c64a-40f2-9ff3-09f89bd03375;2025-03-24;1900-01-01 10:16:00;NO;E;TN;NY;SR;;RS;;ST;SR, TN;;RS;;;TN, ST, NY;;RS;;;;;E;ST;;NY, SR;;;616;616.0
5bd111f3-3268-4d35-ad46-efe8a8652e4e;2025-03-24;1900-01-01 10:18:00;NO;GR;TN;;SR;;M;;;;;RS;;;ST, TN;;RS;;;;;GG;ST;;SR;;;618;618.0
7a2741b9-db03-4052-ab68-0c7eed0a6b4b;2025-03-24;1900-01-01 10:20:00;NO;RS;;TN;SR, NY;;RS;;;TN, ST;;RS;;;TN, ST;;RS;;;;;RS;;ST;SR, NY;;;620;620.0
5023eec5-4edb-436e-a5a7-d3a4d810982e;2025-03-24;1900-01-01 10:22:00;NO;RS;;SR, TN;;;M;;;;;RS;;TN, ST;;;RS;;;;;RS;;ST, SR;;;;622;622.0
201bef42-105e-40d3-ae0c-7d7a31d71252;2025-03-24;1900-01-01 10:24:00;NO;RS;;TN, SR;;;RS;;;;;RS;;TN, ST;;;RL;;;;;RS;;ST, SR;;;;624;624.0
2c613315-87eb-4e2a-9063-7aee9068d0f8;2025-03-24;1900-01-01 10:26:00;NO;RS;;;SR;;M;;;;;RS;;;ST;;RL;;;;;RS;;;;;;626;626.0
46657d33-1c10-4530-8926-85a3fc837a24;2025-03-24;1900-01-01 10:28:00;NO;RS;;;SR;;E;;;;;RS;;;ST;;RL;;;;;RS;;;;;red;628;628.0
e2c6ab47-6bdf-4f57-a069-59cd96c53b8c;2025-03-24;1900-01-01 10:30:00;Yes;RS;;;SR;;E;;;;;RS;;;ST;;RL;;;;;RS;;;;;green;630;630.0
9071e0ea-df84-4491-8369-6d8d4e52fc88;2025-03-24;1900-01-01 10:32:00;Yes;RS;;;SR;;E;;;;;RS;;;ST;;RL;;;;;RS;;;;;green;632;
ee39d627-f724-431f-aac7-abbd207f43e4;2025-03-24;1900-01-01 10:34:00;NO;RS;;;SR;;RS;;;;;RS;;;ST;;RL;;;;;RS;;;;;;634;
26a336ed-3f00-4d1c-9a3c-cc237aa1aada;2025-03-24;1900-01-01 10:36:00;NO;RS;;;SR;;RS;;;;;RS;;;ST;;RL;;TN;;;RS;;TK;;;;636;
e0a2f8c3-5b46-4a28-9c39-3e4947d4fde0;2025-03-24;1900-01-01 10:38:00;NO;RS;;;;;RS;;;;;M;;;;;RL;;TN;;;RS;SR;TK;;;;638;
0fb71ee4-0551-4b12-9179-a353173040fe;2025-03-24;1900-01-01 10:40:00;NO;RS;;;;;RS;;;SR;;M;;;NY;;RS;;TN;;;RS;;TK;;;;640;
eb307cf1-09d4-4a34-a98c-4530f418d881;2025-03-24;1900-01-01 10:42:00;NO;RS;;;;;RS;;;SR;;RS;;;NY;;RS;;TN;;;RS;;TK;;;;642;
6eeffb3d-6b12-4664-99b0-5ad5081c5343;2025-03-24;1900-01-01 10:44:00;NO;RS;;;;;M;;;TK, TN;;RS;;;;;RS;;TN;;;RL;;TK;;;;644;645.0
2b814498-d08e-4ec4-bfe8-1864636ba308;2025-03-24;1900-01-01 10:46:00;NO;RS;;;;;RS;;SR;;;RS;;NY;;;RS;;TN;;;RL;;TK;;;;646;647.0
9896a76e-a0fc-4f82-a709-df07bc385eff;2025-03-24;1900-01-01 10:48:00;NO;RS;;;;;E;;SR;;;RS;;NY;;;RS;;;TN;;RL;;;TK;;;648;649.0
24b133f5-5413-47a7-a03d-34ebbd636860;2025-03-24;1900-01-01 10:50:00;NO;RS;;;;;RS;;;;;M;;;NY;;RS;;;TN;;RL;;;TK;;red;650;651.0
13b9a2ab-86df-49e4-96c6-11b0c0587d72;2025-03-24;1900-01-01 10:52:00;Yes;RS;;;;;RS;;;;;M;;;NY;;RS;;;TN;;RL;;;TK;;green;652;653.0
6c69b483-c5e1-430e-a5e8-0b3ba74bc780;2025-03-24;1900-01-01 10:54:00;NO;RS;;;;;RS;;;SR;;RS;;;NY;;RS;;TN;;;RS;;TK;;;;654;655.0
3bc2c777-e626-44d4-817b-c572cdbc6add;2025-03-24;1900-01-01 10:56:00;NO;RS;;;;;RS;;;TK, TN;;RS;;;;;RS;;TN;NY;;RS;;TK;NY;;red;656;657.0
30460a65-5a31-4a0d-bb1f-fd3b7875a94d;2025-03-24;1900-01-01 10:58:00;Yes;RS;;;;;RS;;;TK, TN;;RS;;;;;RS;;TN;NY;;RS;;TK;NY;;green;658;659.0
79de2292-eabf-47cf-9649-34ac0958b12c;2025-03-24;1900-01-01 11:00:00;Yes;RS;;;;;RS;;;TK, TN;;RS;;;;;RS;;TN;NY;;RS;;TK;NY;;green;660;661.0
620e286d-4ee9-4411-9c1b-5d345e70ba47;2025-03-24;1900-01-01 11:02:00;NO;RS;;TN;;;RS;;;TK;;RS;;;;;RS;;;NY;;E;;ST;;;red;662;663.0
1e1588b7-9a04-4cc8-baa3-ab76b58c4e67;2025-03-24;1900-01-01 11:04:00;Yes;RS;;TN;;;RS;;;TK;;RS;;;;;RS;;;NY;;E;;ST;;;green;664;665.0
95cadffd-a008-4b22-8314-c0ea1a206f33;2025-03-24;1900-01-01 11:06:00;NO;RS;;;TN;;RS;;;TK;;RS;;;;;RS;;;NY;;M;;;ST;;;666;667.0
22b8ba65-7d80-4212-b22a-ff889a994e8f;2025-03-24;1900-01-01 11:08:00;NO;RS;;;TN;;RS;;;TK;;RS;;;;;RS;;;NY;;E;;;ST;;red;668;669.0
4ec8fe86-ca0e-4241-8d12-cfda91efe967;2025-03-24;1900-01-01 11:10:00;Yes;RS;;;TN;;RS;;;TK;;RS;;;;;RS;;;NY;;E;;;ST;;green;670;671.0
add162d2-1379-449f-9cda-690353926b3b;2025-03-24;1900-01-01 11:12:00;NO;RS;;;TN;;RS;;;TK;;RS;;;;;RL;;;NY;;E;;;ST;;red;672;673.0
bfdff205-bb6a-4232-968a-7223115004d2;2025-03-24;1900-01-01 11:14:00;Yes;RS;;;TN;;RS;;;TK;;RS;;;;;RL;;;NY;;E;;;ST;;green;674;675.0
64759188-f493-4700-9c0d-3395eae378da;2025-03-24;1900-01-01 11:16:00;Yes;RS;;;TN;;RS;;;TK;;RS;;;;;RL;;;NY;;E;;;ST;;green;676;677.0
a684be06-8401-48c3-854d-09dfaf495973;2025-03-24;1900-01-01 11:18:00;Yes;RS;;;TN;;RS;;;TK;;RS;;;;;RL;;;NY;;E;;;ST;;green;678;679.0
ab8e2cd0-c461-4772-b767-425b2ce2f298;2025-03-24;1900-01-01 11:20:00;Yes;RS;;;TN;;RS;;;TK;;RS;;;;;RL;;;NY;;E;;;ST;;green;680;681.0
4cd08245-f637-4118-8e3c-129cbcf25e48;2025-03-24;1900-01-01 11:22:00;NO;RS;;;TN;;RS;;;TK;;RS;;;;;RS;;;NY;;M;;;ST;;;682;683.0
