ec5_uuid;date;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight;msm;corrected_msm
03c76c39-a6df-483a-bc5f-c02ba55c842b;2025-05-15;1900-01-01 09:30:00;NO;E;;;TN;;E;;;;;E;;;;;E;;;ST;;;570;570.0
6c6a5707-ce51-4243-8b2a-e93467dd04e5;2025-05-15;1900-01-01 09:32:00;NO;E;;;;;E;;;;;RS;;;;;E;;;;;red;572;572.0
5dd29ed7-bc6a-4553-b6ff-111b5f70cd18;2025-05-15;1900-01-01 09:34:00;Yes;E;;;;;E;;;;;RS;;;;;E;;;;;green;574;574.0
56ba66f4-f2c4-4141-b9f3-e1aefe065803;2025-05-15;1900-01-01 09:36:00;NO;E;;TN;;;RS;;;;;SD;;;;;E;;ST;;;red;576;576.0
e4d9fe70-f21d-4a61-8ee9-78592e7f9870;2025-05-15;1900-01-01 09:38:00;Yes;E;;TN;;;RS;;;;;SD;;;;;E;;ST;;;green;578;578.0
edc8e8c8-171d-480d-9f87-9d72ea9a70d7;2025-05-15;1900-01-01 09:40:00;Yes;E;;TN;;;RS;;;;;SD;;;;;E;;ST;;;green;580;580.0
55278dea-6940-4778-a00f-51ea626e5d8c;2025-05-15;1900-01-01 09:42:00;NO;E;;;TN;;RS;;;;;SD;;;;;RS;;;ST;;;582;582.0
db7ed31d-e1ea-42a9-ac6b-7c45260e2540;2025-05-15;1900-01-01 09:44:00;NO;E;;;TK, TN;;RS;;;;;SD;;;ST;;RS;;;ST;;;584;584.0
5c804887-3047-485e-b2b6-3a12579ce14c;2025-05-15;1900-01-01 09:46:00;NO;E;;;TK;;RS;;;;;RS;;;ST;;E;;;;;;586;586.0
36460b84-369d-4685-a991-53e3b683c173;2025-05-15;1900-01-01 09:48:00;NO;M;;;;;RS;;;;;SD;;;;;RS;;;;;;588;588.0
e8b4f62d-1c55-4c98-83ad-1cabfd7bf2fe;2025-05-15;1900-01-01 09:50:00;NO;RS;;;TN;;RS;;;;;RS;;;;;E;;;ST;;;590;590.0
71c0c05f-fdcf-4c47-b3ab-cfa95ddd219f;2025-05-15;1900-01-01 09:52:00;NO;RS;;;TN;;E;;;;;RL;;;;;E;;;ST;;red;592;592.0
60902b56-7267-4416-8f83-13caf65d0aa1;2025-05-15;1900-01-01 09:54:00;Yes;RS;;;TN;;E;;;;;RL;;;;;E;;;ST;;green;594;594.0
fbbea4f4-7365-4e45-971f-19efb94f1bd1;2025-05-15;1900-01-01 09:56:00;NO;RS;;;;;E;;;;;RS;;;;;RS;;;;;;596;596.0
5980db81-6c0f-43d5-8705-446b09b1b3f2;2025-05-15;1900-01-01 09:58:00;NO;RS;;;;;E;;;;;RS;;;TN;;RS;;;TK;;;598;598.0
971d6d37-0829-457d-af95-b6eda7f83ab5;2025-05-15;1900-01-01 10:00:00;NO;M;;;;;RS;;;;;RS;;;;;RL;;;;;;600;600.0
5f036e50-d66e-41b3-ac5e-189699730841;2025-05-15;1900-01-01 10:02:00;NO;M;;;;;E;;;;;M;;;;;RL;;;;;;602;602.0
