ec5_uuid;date;1_TIme;2_NC;4_MN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_LN_Behavior;29_Contact;30_AR;31_3M;Unnamed: 28;highlight;msm;corrected_msm
aaa48021-daa3-474e-9fa7-1609ddd0e395;2025-04-21;1900-01-01 09:32:00;NO;M;;;;;E;;;TK, NR;;M;;TK;NY;;M;;NR;NY;;M;;;;;;572;572.0
0c2746d3-e70a-4053-8739-073edfc9e4f8;2025-04-21;1900-01-01 09:34:00;NO;E;;;TK, NR, LN;;E;;;;;E;;TK, LN;MT;;RS;;NR;MT, LN;;RS;;NR;MT, TK;;;574;574.0
84287022-23aa-474b-ae0f-30909527bd8f;2025-04-21;1900-01-01 09:37:00;NO;RS;;;NY, TK, NR, LN;;E;;;MT, NR;;E;;;NY, MT, LN, TK;;GG;LN;;MT, LN, NR;;GR;TK;;TK, MT, NR;;;577;576.0
0ae44006-8fa9-4b3e-8c57-b64e7d17c489;2025-04-21;1900-01-01 09:39:00;NO;M;;;NR, TK, LN;;M;;;;;GG;LN;;TK;;M;;LN;NR;;GR;NR;TK;;;;579;578.0
0296880c-c22a-45e6-9f3e-b2f4c40fed74;2025-04-21;1900-01-01 09:41:00;NO;RS;;;NY;;RS;;;MT;;GG;LN;;;;RS;;;;;GR;NR;;;;;581;580.0
a89bdcef-8f82-45a7-8e25-75bff3477934;2025-04-21;1900-01-01 09:43:00;NO;M;;;NY;;M;;;MT;;GG;LN;;;;RS;;;;;GR;NR;;;;;583;582.0
1858d000-60c4-4268-a4f2-2ce259b489b3;2025-04-21;1900-01-01 09:45:00;NO;E;;;;;E;;;;;M;;TK;;;M;;NR;;;RS;;;;;;585;584.0
c9e20cea-2852-448e-bbb7-282abd9661be;2025-04-21;1900-01-01 09:47:00;NO;E;;;NY, TK, NR;;E;;NR;TK, MT;;GM;TK;NY;MT;;GM;NR;;MT, NY;;RS;;;;;red;587;586.0
603e5352-d915-4ee9-844e-29ef08e104b2;2025-04-21;1900-01-01 09:49:00;Yes;E;;;NY, TK, NR;;E;;NR;TK, MT;;GM;TK;NY;MT;;GM;NR;;MT, NY;;RS;;;;;green;589;588.0
82d610ac-f7dc-4319-a88f-8eb300a490e2;2025-04-21;1900-01-01 09:51:00;NO;M;;NY, TK;NY;;E;;;NR, TK, MT;;GM;TK;MT;NY;;GM;NR;MT;NY;;RS;;;;;;591;590.0
0260f06c-4e9b-41de-884c-1d4e837c7751;2025-04-21;1900-01-01 09:53:00;NO;GM;TK;NR;NY;;RS;;;TK, NR, MT;;GG;TK;MT;NY;;GM;MT, NR;;NY;;RS;;;;;red;593;592.0
04b138df-e8b7-4630-bc6d-c47c0dd4a164;2025-04-21;1900-01-01 09:54:00;Yes;GM;TK;NR;NY;;RS;;;TK, NR, MT;;GG;TK;MT;NY;;GM;MT, NR;;NY;;RS;;;;;green;594;594.0
cc311bff-69cf-43e2-b5c4-9398481e12e0;2025-04-21;1900-01-01 09:57:00;Yes;GM;TK;NR;NY;;RS;;;TK, NR, MT;;GG;TK;MT;NY;;GM;MT, NR;;NY;;RS;;;;;green;597;596.0
3542b8c9-1d2b-4419-821f-1978689a812e;2025-04-21;1900-01-01 09:59:00;Yes;GM;TK;NR;NY;;RS;;;TK, NR, MT;;GG;TK;MT;NY;;GM;MT, NR;;NY;;RS;;;;;green;599;598.0
9844e671-613c-4465-b30b-4c85a181cb9e;2025-04-21;1900-01-01 10:01:00;NO;RS;;;;;RS;;;;;M;;TK;;;M;;NR;;;M;;;;;;601;600.0
b324d799-0b45-4fa3-a6a7-f2fee18b5a51;2025-04-21;1900-01-01 10:03:00;NO;E;;;;;SD;;;;;RS;;;TK;;RS;;;NR;;RS;;;;;;603;602.0
bb2d30a9-5e33-4a33-9a7c-bc7a62e4cd14;2025-04-21;1900-01-01 10:05:00;NO;RS;;NR, TK;;;RS;;;;;GR;TK;MT;LN;;GG;NR;MT, LN;;;RS;;TK;MT, NR;;;605;604.0
57968a68-5675-44d3-a838-b6a92cc9da70;2025-04-21;1900-01-01 10:06:00;NO;RS;;;;;RS;;;;;GR;TK;LN;;;GG;NR;LN;;;RS;;NR, TK;;;;606;606.0
82c73d88-389f-49f4-a6c9-b92692c04870;2025-04-21;1900-01-01 10:09:00;NO;E;;;;;RS;;;;;GM;TK;;LN;;GM;NR;;LN;;RL;;;TK, NR;;red;609;608.0
2a662429-3fa6-4236-8bc9-83c6d4a9e763;2025-04-21;1900-01-01 10:11:00;Yes;E;;;;;RS;;;;;GM;TK;;LN;;GM;NR;;LN;;RL;;;TK, NR;;green;611;610.0
1699a1e3-53f8-46e9-bde9-eb3d536ebd3f;2025-04-21;1900-01-01 10:13:00;NO;RS;;;;;RS;;;;;GM;TK;;LN;;GM;NR;;LN;;RL;;;TK, NR;;red;613;612.0
cc7b2f2a-0030-43fa-b217-49c87ea44100;2025-04-21;1900-01-01 10:15:00;Yes;RS;;;;;RS;;;;;GM;TK;;LN;;GM;NR;;LN;;RL;;;TK, NR;;green;615;614.0
bd851896-2b4a-4878-868d-40ce682562e4;2025-04-21;1900-01-01 10:17:00;Yes;RS;;;;;RS;;;;;GM;TK;;LN;;GM;NR;;LN;;RL;;;TK, NR;;green;617;616.0
815a5eb3-ea6a-476e-8764-d0523c387610;2025-04-21;1900-01-01 10:18:00;NO;RS;;;NY;;RS;;;MT;;GM;TK;LN;;;GM;NR;LN;;;RS;;NR, TK;;;;618;618.0
ebb77174-f75b-4177-ad2b-2d6451bfff62;2025-04-21;1900-01-01 10:21:00;NO;GM;TK;;NY, NR, LN;;RS;;NR;TK, MT, LN;;RL;;NY, LN;TK, MT;;GM;MT;;MT, NY, LN;;RL;;NR;NY, TK, MT;;;621;620.0
329afc3c-1f88-4841-8d76-00062d4393f2;2025-04-21;1900-01-01 10:22:00;NO;GM;TK;;LN, NY, NR;;RS;;;NR, TK, MT, LN;;RL;;LN;TK, MT, NY;;GM;MT;;NY, NR, LN;;RL;;NR;MT, TK, NY;;red;622;622.0
7d2f586a-8693-4584-972f-bb0aac96b971;2025-04-21;1900-01-01 10:25:00;Yes;GM;TK;;LN, NY, NR;;RS;;;NR, TK, MT, LN;;RL;;LN;TK, MT, NY;;GM;MT;;NY, NR, LN;;RL;;NR;MT, TK, NY;;green;625;624.0
3e4da9c8-7943-4ab0-a154-44c968a39dc9;2025-04-21;1900-01-01 10:27:00;NO;GM;TK;;NY, NR, LN;;RS;;;TK, MT, NR, LN;;RS;;;LN, TK, MT, NY;;GM;NR;;NY, MT, LN, NR;;RL;;;NY, TK, MT, NR;;red;627;626.0
23a2cc19-d6fa-44e9-8aad-8cd4adf590c0;2025-04-21;1900-01-01 10:29:00;Yes;GM;TK;;NY, NR, LN;;RS;;;TK, MT, NR, LN;;RS;;;LN, TK, MT, NY;;GM;NR;;NY, MT, LN, NR;;RL;;;NY, TK, MT, NR;;green;629;628.0
6d99320f-2d8a-4b1a-97fa-a8464fa33e05;2025-04-21;1900-01-01 10:47:00;NO;RS;;;LN;;RS;;;;;RS;;;;;RS;;;;;RS;;;MT;;;647;647.0
f148a6b2-2636-42f7-b798-273d492b23a0;2025-04-21;1900-01-01 10:48:00;NO;RS;;;LN;;RS;;;;;RS;;;;;RS;;;;;RS;;;MT;;;648;649.0
db69bd37-5f18-4d36-b267-b91b85341ed5;2025-04-21;1900-01-01 10:50:00;NO;M;;;NR;;RS;;;;;RS;;;TK, MT;;RS;;;NR;;M;;;;;;650;651.0
090e9a04-164b-40f9-87b3-9bbca6ecc262;2025-04-21;1900-01-01 10:53:00;NO;M;;NR;;;RS;;;;;M;;MT;;;RS;;;;;RS;;;;;;653;653.0
02a2d608-c6dc-44a2-bc18-c01dcc3cea5e;2025-04-21;1900-01-01 10:55:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;655;655.0
61132339-a1fa-43b9-b43c-e54cb587fccc;2025-04-21;1900-01-01 10:57:00;NO;M;;;;;RS;;;LN, NR;;M;;LN;NY;;RS;;;;;RS;;NR;NY;;;657;657.0
12ca49da-b6ea-49b1-9cab-bf67aa85f833;2025-04-21;1900-01-01 10:59:00;NO;RS;;;;;RS;;;LN;;RS;;;;;RS;;;;;RS;;;NY;;;659;659.0
38b8cec0-cea7-4087-b5f4-2864f7a744d9;2025-04-21;1900-01-01 11:00:00;NO;RS;;;TK;;RS;;;;;RS;;;;;RS;;;MT;;RS;;;;;;660;661.0
31cb7bab-45a2-492a-8fb7-9057d0e8d04d;2025-04-21;1900-01-01 11:03:00;NO;RS;;;;;RS;;;;;RS;;;;;RL;;;;;RS;;;;;;663;663.0
b6e5dd60-e2a8-45bf-a365-50f654dd8f7e;2025-04-21;1900-01-01 11:05:00;NO;RS;;;NY, TK, LN;;RS;;;TK, LN, MT;;M;;;;;RS;;;NY, MT, LN;;RS;;;NY, TK, MT;;;665;665.0
93a53f3d-8bdd-46b4-af96-d84ca9ea7643;2025-04-21;1900-01-01 11:07:00;NO;RS;;LN;TK, NR, NY;;RS;;;TK, MT, LN, NR;;RL;;LN, TK;MT, NY;;RS;;NR;MT, NY, LN;;RS;;MT, NR;TK, NY;;red;667;667.0
b7a1332e-73bb-4507-bc45-b46133acd1c3;2025-04-21;1900-01-01 11:09:00;Yes;RS;;LN;TK, NR, NY;;RS;;;TK, MT, LN, NR;;RL;;LN, TK;MT, NY;;RS;;NR;MT, NY, LN;;RS;;MT, NR;TK, NY;;green;669;669.0
d264602b-384e-4351-9760-28cfb76d0ad8;2025-04-21;1900-01-01 11:11:00;Yes;RS;;LN;TK, NR, NY;;RS;;;TK, MT, LN, NR;;RL;;LN, TK;MT, NY;;RS;;NR;MT, NY, LN;;RS;;MT, NR;TK, NY;;green;671;671.0
a43a0bfb-e646-4b5d-ac01-97ab78761b69;2025-04-21;1900-01-01 11:13:00;Yes;RS;;LN;TK, NR, NY;;RS;;;TK, MT, LN, NR;;RL;;LN, TK;MT, NY;;RS;;NR;MT, NY, LN;;RS;;MT, NR;TK, NY;;green;673;673.0
4112eedb-8dc3-4780-871b-3776bb8b4250;2025-04-21;1900-01-01 11:15:00;NO;RS;LN;;NY, TK, NR;;RS;;;NR, MT, LN, TK;;RS;;TK;MT, LN, NY;;RS;;NR;MT, LN, NY;;RL;MT;;NY, TK, NR;;red;675;675.0
be830def-e5fd-4a3f-a918-e90a4c89ebf1;2025-04-21;1900-01-01 11:16:00;Yes;RS;LN;;NY, TK, NR;;RS;;;NR, MT, LN, TK;;RS;;TK;MT, LN, NY;;RS;;NR;MT, LN, NY;;RL;MT;;NY, TK, NR;;green;676;677.0
3f717871-b165-4cf0-8b8d-013852fbc79f;2025-04-21;1900-01-01 11:18:00;NO;RL;;TK;NY, NR, LN;;RS;;;NR, TK, MT, LN;;GG;LN;;TK, MT, NY;;RS;;MT;NY, LN, NR;;GR;NR;;NY, TK, MT;;;678;679.0
9f2c3bc1-2a6c-494c-95d2-82528d2c1444;2025-04-21;1900-01-01 11:20:00;NO;RL;;NR, TK;LN, TK, NY;;RS;;;NR, TK, LN, MT;;RL;;LN, MT, TK;NY;;RS;;MT, NR;LN, NY;;RL;;NR;MT, TK, NY;;;680;681.0
a07d49c4-d877-4321-82a2-acb0f3c406f8;2025-04-21;1900-01-01 11:23:00;NO;RS;;TK, NY;TK, LN;;RS;;MT;NR, TK, LN;;RS;;TK, LN;MT, NY;;RS;;MT, NR;LN, NY;;RL;;NR;NY, TK, MT;;red;683;683.0
9248000b-eab3-4df9-9e61-6eed518c8b53;2025-04-21;1900-01-01 11:25:00;Yes;RS;;TK, NY;TK, LN;;RS;;MT;NR, TK, LN;;RS;;TK, LN;MT, NY;;RS;;MT, NR;LN, NY;;RL;;NR;NY, TK, MT;;green;685;685.0
9acf91af-c553-4438-a5fa-7b3377d0087d;2025-04-21;1900-01-01 11:27:00;NO;RS;;NR;NY, TK, LN;;RS;;;NR, TK, MT, LN;;RS;;LN, MT;TK, NY;;RL;;;NY, MT, LN, NR;;RL;;NR;NY, TK, MT;;red;687;687.0
cacd1ee8-0084-4de4-893d-de3b82a7b28e;2025-04-21;1900-01-01 11:28:00;Yes;RS;;NR;NY, TK, LN;;RS;;;NR, TK, MT, LN;;RS;;LN, MT;TK, NY;;RL;;;NY, MT, LN, NR;;RL;;NR;NY, TK, MT;;green;688;689.0
33f7467f-3eba-4599-ad33-8aa5e8ee4950;2025-04-21;1900-01-01 11:31:00;Yes;RS;;NR;NY, TK, LN;;RS;;;NR, TK, MT, LN;;RS;;LN, MT;TK, NY;;RL;;;NY, MT, LN, NR;;RL;;NR;NY, TK, MT;;green;691;691.0
3f5ec9fb-5626-43bb-b22d-0ae0355ce9dc;2025-04-21;1900-01-01 11:33:00;NO;RL;;TK, NR;NY, LN;;RS;;;NR, TK, MT, LN;;RL;;TK, LN, MT;;;RL;;MT, LN, NR;NY;;RL;;TK, NR;MT, NY;;;693;693.0
522bb169-d7aa-4632-af65-43710c4c3f68;2025-04-21;1900-01-01 11:35:00;NO;RS;;NY, TK;NR, LN;;RS;;MT;NR, TK, LN;;RS;;LN;TK, MT, NY;;RL;;MT;NY, LN, NR;;RL;;NR;NY, TK, MT;;red;695;695.0
2bcca172-a8e1-40c3-ac54-8982e64d28f3;2025-04-21;1900-01-01 11:37:00;Yes;RS;;NY, TK;NR, LN;;RS;;MT;NR, TK, LN;;RS;;LN;TK, MT, NY;;RL;;MT;NY, LN, NR;;RL;;NR;NY, TK, MT;;green;697;697.0
4416dbc9-0fb7-4e4f-b4de-fa5632e63eef;2025-04-21;1900-01-01 11:39:00;Yes;RS;;NY, TK;NR, LN;;RS;;MT;NR, TK, LN;;RS;;LN;TK, MT, NY;;RL;;MT;NY, LN, NR;;RL;;NR;NY, TK, MT;;green;699;699.0
dad9f6b6-8ebb-4d79-9c25-8fd2b8b596f3;2025-04-21;1900-01-01 11:41:00;Yes;RS;;NY, TK;NR, LN;;RS;;MT;NR, TK, LN;;RS;;LN;TK, MT, NY;;RL;;MT;NY, LN, NR;;RL;;NR;NY, TK, MT;;green;701;701.0
c8b48ad4-c3e6-4871-988b-0ab1824f52de;2025-04-21;1900-01-01 11:43:00;NO;GM;NR;TK;LN, NY;;RS;;;NR, TK, MT, LN;;GM;MT;LN;TK, NY;;RS;;MT;NY, LN;;RS;;NR;NY, TK, MT;;red;703;703.0
be5749c5-8e67-4f4f-8d10-5248e4d1e837;2025-04-21;1900-01-01 11:45:00;Yes;GM;NR;TK;LN, NY;;RS;;;NR, TK, MT, LN;;GM;MT;LN;TK, NY;;RS;;MT;NY, LN;;RS;;NR;NY, TK, MT;;green;705;705.0
c0086e8e-a6de-4511-ac9e-0f6eab534a02;2025-04-21;1900-01-01 13:18:00;NO;E;;;NY, TK, LN;;E;;;TK, LN, MT;;M;;;;;E;;;MT, NY, LN;;RS;;;NY, TK, MT;;red;798;797.0
cad5cc5a-0caf-4ae4-8665-0f58081439d4;2025-04-21;1900-01-01 13:20:00;Yes;E;;;NY, TK, LN;;E;;;TK, LN, MT;;M;;;;;E;;;MT, NY, LN;;RS;;;NY, TK, MT;;green;800;799.0
000fb418-8b2f-4f24-8461-19ee87ab2a69;2025-04-21;1900-01-01 13:21:00;NO;E;;;NY, LN, NR;;E;;;NR, MT, LN;;RS;;;LN, MT, NY;;RS;;;;;E;;;MT, NR, NY;;;801;801.0
8e86a40c-a6ee-4ac8-ab54-d4cb74d758a8;2025-04-21;1900-01-01 13:23:00;NO;E;;;NY, LN;;E;;;MT, LN;;RS;;;;;RS;;;;;RS;;;MT, NY;;red;803;803.0
168b643d-3c7d-4c2c-a2ad-8c9e02f3217b;2025-04-21;1900-01-01 13:26:00;Yes;E;;;NY, LN;;E;;;MT, LN;;RS;;;;;RS;;;;;RS;;;MT, NY;;green;806;805.0
