ec5_uuid;date;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_LN_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_NR_Behavior;29_Contact;30_AR;31_3M;32_Notes;34_MN_Behavior;35_Contact;36_AR;37_3M;38_Notes;40_NY_Behavior;41_Contact;42_AR;43_3M;44_Notes;msm;corrected_msm
3698d10b-019f-44e3-bc71-6f4afabd9c6f;2025-05-30;1900-01-01 14:10:00;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;850;849.0
fa1173c5-fdae-4a79-a07b-615427603b70;2025-05-30;1900-01-01 14:26:00;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;866;865.0
fa1173c5-fdae-4a79-a07b-615427603b70;2025-05-30;1900-01-01 14:26:00;NO;;;;;;;;;;;;;;;;;;;;;PL;;;;;PL;;;;Minato Norio play;;;;;;866;867.0
f341e77c-c1ff-4de0-90fa-2723120e335b;2025-05-30;1900-01-01 14:29:00;NO;;;;;;;;;;;;;;;;;;;;;PL;;;;;PL;;;;Minato Norio play;;;;;;869;869.0
f341e77c-c1ff-4de0-90fa-2723120e335b;2025-05-30;1900-01-01 14:29:00;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Minato Norio play;;;;;;869;
