ec5_uuid,date,1_TIme,2_NC,4_MS_Behavior,5_Contact,6_AR,7_3M,8_Notes,10_ST_Behavior,11_Contact,12_AR,13_3M,14_Notes,16_NH_Behavior,17_Contact,18_AR,19_3M,20_Notes,22_LN_Behavior,23_Contact,24_AR,25_3M,26_Notes,28_NR_Behavior,29_Contact,30_AR,31_3M,32_Notes,34_MN_Behavior,35_Contact,36_AR,37_3M,38_Notes,40_NY_Behavior,41_Contact,42_AR,43_3M,44_Notes,msm,corrected_msm
c2021bc8-d46f-47e4-8a32-24726700a0b6,2025-03-12,1900-01-01 14:03:00,,,,,,,,,,,,DS,,,,,,,,,,,,,,,,,,,,,,,,,843,843.0
c2021bc8-d46f-47e4-8a32-24726700a0b6,2025-03-12,1900-01-01 14:03:00,,,,,,,,,,,,DS,,,,Pan hoot with stick,,,,,,,,,,,,,,,,,,,,,843,
7e373872-3d0f-4779-889f-01102d52128e,2025-03-12,1900-01-01 14:05:00,,,,,,,,,,,,DS,,,,,,,,,,,,,,,,,,,,,,,,,845,845.0
ecfc7357-f1d3-4a3e-9c03-68040660035b,2025-03-12,1900-01-01 14:07:00,,,,,,,DS,,NH,,,DS,,ST,,,,,,,,,,,,,,,,,,,,,,,847,847.0
ecfc7357-f1d3-4a3e-9c03-68040660035b,2025-03-12,1900-01-01 14:07:00,,,,,,,DS,,NH,,Towards cage c,DS,,ST,,Towards cage c,,,,,,,,,,,,,,,,,,,,,847,
9de25b42-d6c4-4733-b67e-5080ea954b05,2025-03-12,1900-01-01 14:09:00,,,,,,,DS,,NH,,,DS,,ST,,,,,,,,,,,,,,,,,,,,,,,849,849.0
7042277d-2331-47be-9021-80a990a01672,2025-03-12,1900-01-01 14:21:00,,,,,,,,,,,Looking at aggressions in cage c,DS,,,,,,,,,,,,,,,,,,,,,,,,,861,861.0
eb57ce1a-0fc2-4b11-bece-1a215981a5a6,2025-03-12,1900-01-01 14:27:00,,PL,,NH,,,,,,,,PL,MS,,,,,,,,,,,,,,,,,,,,,,,,867,867.0
eb57ce1a-0fc2-4b11-bece-1a215981a5a6,2025-03-12,1900-01-01 14:27:00,,PL,,NH,,,,,,,,PL,MS,,,,,,,,,,,,,,,,,,,,,,,,867,
8990c4d8-5028-4750-bd62-d9a5a9c7316e,2025-03-12,1900-01-01 14:29:00,,PL,,"ST, NH",,,PL,,"MS, NH",,,PL,,"MS, ST",,,,,,,,,,,,,,,,,,,,,,,869,869.0
8990c4d8-5028-4750-bd62-d9a5a9c7316e,2025-03-12,1900-01-01 14:29:00,,PL,,"ST, NH",,,PL,,"MS, NH",,,PL,,"MS, ST",,,,,,,,,,,,,,,,,,,,,,,869,
22280968-7cb0-46e1-b88a-e0a56934f328,2025-03-12,1900-01-01 14:35:00,,PL,ST,,,,PL,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,875.0
22280968-7cb0-46e1-b88a-e0a56934f328,2025-03-12,1900-01-01 14:35:00,,PL,ST,,,,PL,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,
2798817d-708f-48c2-8a1b-c57dcac4b1e2,2025-03-12,1900-01-01 14:37:00,Yes,PL,ST,,,,PL,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877,877.0
2798817d-708f-48c2-8a1b-c57dcac4b1e2,2025-03-12,1900-01-01 14:37:00,Yes,PL,ST,,,,PL,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877,
e374d507-c698-46b2-ac5d-3d12fd2b12cd,2025-03-12,1900-01-01 14:39:00,Yes,PL,ST,,,,PL,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879,879.0
e374d507-c698-46b2-ac5d-3d12fd2b12cd,2025-03-12,1900-01-01 14:39:00,Yes,PL,ST,,,,PL,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879,
7814adef-1d0d-45b6-b431-04d4ddee7b74,2025-03-12,1900-01-01 14:41:00,,PL,,ST,NH,,PL,MS,,NH,,,,,"MS, ST",,,,,,,,,,,,,,,,,,,,,,881,881.0
7814adef-1d0d-45b6-b431-04d4ddee7b74,2025-03-12,1900-01-01 14:41:00,,PL,,ST,NH,,PL,MS,,NH,,,,,"MS, ST",,,,,,,,,,,,,,,,,,,,,,881,
18d2059f-0ab6-4768-9201-af2906e3e05a,2025-03-12,1900-01-01 14:43:00,,PL,ST,,,,PL,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883,883.0
18d2059f-0ab6-4768-9201-af2906e3e05a,2025-03-12,1900-01-01 14:43:00,,PL,ST,,,,PL,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883,
db2628fe-4b78-44c8-a4e7-5dfcb547086e,2025-03-12,1900-01-01 14:45:00,Yes,PL,ST,,,,PL,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,885.0
db2628fe-4b78-44c8-a4e7-5dfcb547086e,2025-03-12,1900-01-01 14:45:00,Yes,PL,ST,,,,PL,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,
589acbf7-d2bd-475d-819f-8be323479fef,2025-03-14,1900-01-01 09:44:00,,,,,,,,,,,,,,,,,,,,,,PL,,MN,,,,,,,,,,,,,584,584.0
7ee79de3-115d-40ac-9cd0-bd881b5cca62,2025-03-14,1900-01-01 09:46:00,Yes,,,,,,,,,,,,,,,,,,,,,PL,,MN,,,,,,,,,,,,,586,586.0
a34e9985-10cd-4907-a518-00e9e716ca09,2025-03-14,1900-01-01 09:48:00,,,,,,,,,,,,,,,,,,,,,,PL,,MN,,,PL,,NR,,,,,,,,588,588.0
895c7f1b-5c49-4cfb-b3d5-a444c759daa8,2025-03-14,1900-01-01 10:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,,,,Playing with a bottle,,,,,,608,608.0
37389303-c253-4154-8ec0-1c684fed8e49,2025-03-14,1900-01-01 10:16:00,,,,,,,,,,,,DS,,,,Towards cage c,,,,,,,,,,,DS,,,,Towards cage c,,,,,,616,616.0
4cf78534-4969-468f-8e3f-46817c70d734,2025-03-14,1900-01-01 10:28:00,,,,,,,,,,,,,,,,,,,,,,PL,,,,Playing with a bottle,,,,,,,,,,,628,628.0
