ec5_uuid,date,1_TIme,2_NC,4_MZ_Behavior,5_Contact,6_AR,7_3M,8_Occurence,9_Notes,11_SB_Behavior,12_Contact,13_AR,14_3M,15_Occurence,16_Notes,18_GG_Behavior,19_Contact,20_AR,21_3M,22_Occurence,23_Notes,25_TN_Behavior,26_Contact,27_AR,28_3M,29_Occurence,30_Notes,32_SR_Behavior,33_Contact,34_AR,35_3M,36_Occurence,37_Notes,38_MS_Behavior,39_Contact,40_AR,41_3M,42_Occurence,43_Notes,44_LN_Behavior,45_Contact,46_AR,47_3M,48_Occurence,49_Notes,50_NR_Behavior,51_Contact,52_AR,53_3M,54_Occurence,55_Notes,msm,corrected_msm
571d3a81-56f3-46d4-aa4d-756ac5d19863,2025-04-08,1900-01-01 09:53:00,NO,,,,,,,,,,,,,PL,,TN,,,Playing with TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593,592.0
82586364-51b8-4129-ab25-3ccbeae05674,2025-04-08,1900-01-01 10:30:00,NO,,,,,,,DS,,,,,Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,630.0
6a98a52c-70d1-4eaf-bdeb-312fc1571d76,2025-04-08,1900-01-01 10:51:00,NO,DS,,,,,Calling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,651.0
427779be-676f-4400-bc92-19d0a9d0d8e2,2025-04-08,1900-01-01 11:03:00,NO,,,,,,,DS,,,,,Answers call of other cage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,663.0
4a2f18bd-cb04-4729-af9c-5bbb96da03fe,2025-04-08,1900-01-01 11:19:00,NO,,,,,,,DS,,,,,Calling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,679.0
a45a5c6f-3170-40bd-8c83-e8c4d5f91a82,2025-04-09,1900-01-01 13:42:00,NO,,,,,,,,,,,,,,,,,,,AG,SR,,,,TN grabbed SB got chased away by GG and MZ,,,,,,,,,,,,,,,,,,,,,,,,,822,821.0
ca734bb9-3429-45e9-b6bb-a52b45d120d0,2025-04-09,1900-01-01 14:20:00,NO,,,,,,,,,,,,,,,,,,,PL,,"GG, SB",,,SB GG TN playing,,,,,,,,,,,,,,,,,,,,,,,,,860,859.0
5eab034d-ae7a-4d4f-ac1c-c2f1876c7467,2025-04-16,1900-01-01 09:36:00,NO,DS,,,,,Display calling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576,576.0
f1624119-c99f-4050-86ec-b4c6dc3278a1,2025-04-16,1900-01-01 09:42:00,NO,DS,,,,,Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,582.0
d86a036f-bc1d-4ee5-8a69-cb4138aba374,2025-04-16,1900-01-01 10:00:00,NO,,,,,,,DS,,,,,Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,600.0
78b7a1eb-0ebe-4d35-a0d1-2eeb5ca0743f,2025-04-16,1900-01-01 10:02:00,Yes,,,,,,,DS,,,,,Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602,602.0
eb35670e-ac5e-4c7a-b9a9-3a24b907491a,2025-04-16,1900-01-01 10:56:00,NO,,,,,,,AG,,,"GG, MZ, LN, NR",,Chasing NR support by GG and LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,655.0
43c913ef-438b-4741-8bff-a1cb6c41a537,2025-04-17,1900-01-01 14:18:00,NO,,,,,,,,,,,,,PL,,NR,,,Playing with NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,857.0
883a792e-795c-49da-acf3-e5cec96a12fb,2025-04-21,1900-01-01 10:46:00,NO,,,,,,,,,,,,,,,,,,,AG,SR,,,,TN attacked SR multiple times and got chased away by SB,,,,,,,,,,,,,,,,,,,,,,,,,646,645.0
67457d92-ba94-45b1-9937-edb7760636e5,2025-04-21,1900-01-01 10:47:00,Yes,,,,,,,,,,,,,,,,,,,AG,SR,,,,TN attacked SR multiple times and got chased away by SB,,,,,,,,,,,,,,,,,,,,,,,,,647,647.0
47c34299-5539-4871-9ea9-de5aa4eb3e20,2025-04-21,1900-01-01 10:50:00,Yes,,,,,,,,,,,,,,,,,,,AG,SR,,,,TN attacked SR multiple times and got chased away by SB,,,,,,,,,,,,,,,,,,,,,,,,,650,649.0
fbb4625f-326e-498d-a0d4-abbe82ba36a0,2025-04-21,1900-01-01 10:51:00,NO,,,,,,,DS,,,,,Calling,DS,,,,,Calling and grooming SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,651.0
fbb4625f-326e-498d-a0d4-abbe82ba36a0,2025-04-21,1900-01-01 10:51:00,NO,,,,,,,,,,,,,DS,,,,,Calling and grooming SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,
eb74e5f8-c4c5-47f0-a393-f1f36659ec96,2025-04-21,1900-01-01 10:54:00,NO,,,,,,,DS,,,,,Calling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654,653.0
eb74e5f8-c4c5-47f0-a393-f1f36659ec96,2025-04-21,1900-01-01 10:54:00,NO,,,,,,,,,,,,,,,,,,,DS,,,,,Displaying and calling,,,,,,,,,,,,,,,,,,,,,,,,,654,655.0
694f7a78-d7f2-43af-afce-a3a11e5dac1f,2025-04-30,1900-01-01 09:35:00,NO,,,,,,,PL,,NR,,,Playing with NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,574.0
dd32b829-7524-4ea0-aa3d-d2e62a028d7a,2025-04-30,1900-01-01 09:41:00,NO,PL,,NR,,,Playing with NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,580.0
43aa72c0-f947-46d0-b8cd-d37a9a0a59b1,2025-04-30,1900-01-01 11:01:00,NO,,,,,,,PL,,NR,,,Playing with NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,661.0
a4c0131e-f028-4e20-9c39-a26e87519b32,2025-05-01,1900-01-01 10:02:00,NO,,,,,,,PL,,NR,,,Playing with NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602,602.0
895776ab-9022-4867-9b31-72e7c96cd452,2025-05-01,1900-01-01 14:08:00,NO,,,,,,,PL,,NR,,,Playing with NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,847.0
8f72c075-15c6-4027-a7e9-469cdbe689ab,2025-05-04,1900-01-01 10:24:00,NO,,,,,,,,,,,,,PL,,MS,,,Playing with MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,624.0
3446153b-21f5-48e6-acb0-1dadbe269d96,2025-05-04,1900-01-01 11:08:00,NO,,,,,,,PL,,MS,MZ,,Playing with MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,667.0
d3341bf2-de36-455a-a8b0-ff0c7f97b647,2025-05-14,1900-01-01 10:49:00,NO,PL,,LN,,,LN playing with MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,649.0
3b8cba56-db76-4f95-ad89-491bf5ddcc89,2025-05-14,1900-01-01 10:55:00,NO,DS,,,,,Calling due to something in the neighboring cage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655,655.0
d9048aef-ae84-4883-a76d-34f39e438c03,2025-05-15,1900-01-01 14:44:00,NO,,,,,,,PL,,LN,,,SB playing with LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884,883.0
