ec5_uuid,date,1_TIme,msm,corrected_msm,Ind_1(MS),MS_Behavior,MS_Contact,MS_AR,MS_3M,MS_Notes,Ind_2(ST),ST_Behavior,ST_Contact,ST_AR,ST_3M,ST_Notes,Ind_3(NH),NH_Behavior,NH_Contact,NH_AR,NH_3M,NH_Notes,Ind_4(LN),LN_Behavior,LN_Contact,LN_AR,LN_3M,LN_Notes,Ind_5(NR),NR_Behavior,NR_Contact,NR_AR,NR_3M,NR_Notes,Ind_6(MN),MN_Behavior,MN_Contact,MN_AR,MN_3M,MN_Notes,Ind_7(NY),NY_Behavior,NY_Contact,NY_AR,NY_3M,NY_Notes,condition,trial,first_day,phase,group,is_all_occasions,block_ID
427e1132-5a8d-4e21-8340-ef0e2138ed8d,22-04-2025,1900-01-01 11:26:00,686,685.0,MS,,,,,,ST,PL,,NH,,,NH,PL,,ST,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,4,False,morn2,1,False,morn2_1_trial4_sec_play
2f92f495-8d14-450e-8e16-d7a8cdda0fc0,22-04-2025,1900-01-01 11:28:00,688,687.0,MS,,,,,,ST,PL,,NH,,,NH,PL,,ST,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,4,False,morn2,1,False,morn2_1_trial4_sec_play
823e0128-be98-43ef-a7de-48e44bd08c3c,22-04-2025,1900-01-01 11:30:00,690,689.0,MS,,,,,,ST,PL,,NH,,,NH,PL,,ST,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,4,False,morn2,1,False,morn2_1_trial4_sec_play
5f4b277d-bbf3-461b-abe7-f4efa11ffa49,26-04-2025,1900-01-01 09:48:00,588,588.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,DS,,,,AG TOWARD LN,NY,,,,,,Playback,5,True,morn1,2,False,morn1_2_trial5_first_play
4a308e05-a0fd-4dad-941f-46c3c7947ee8,26-04-2025,1900-01-01 09:50:00,590,590.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,DS,,,,,NY,,,,,,Playback,5,True,morn1,2,False,morn1_2_trial5_first_play
79775ab3-2b39-42ae-8515-0669aa358a8d,26-04-2025,1900-01-01 09:54:00,594,594.0,MS,,,,,,ST,,,,,,NH,DS,,,,,LN,PL,MN,,,,NR,,,,,,MN,PL,LN,,,,NY,,,,,,Playback,5,True,morn1,2,False,morn1_2_trial5_first_play
db90d2af-6f38-4952-970c-d8f98f8fa937,26-04-2025,1900-01-01 09:56:00,596,596.0,MS,,,,,,ST,,,,,,NH,PL,MN,,,,LN,PL,NR,,,,NR,PL,LN,,,,MN,PL,NH,,,,NY,,,,,,Playback,5,True,morn1,2,False,morn1_2_trial5_first_play
8a8b74a5-a11b-428b-a922-dc1ff677620a,26-04-2025,1900-01-01 09:58:00,598,598.0,MS,,,,,,ST,,,,,,NH,PL,"NR, MN",,,,LN,,,,,,NR,PL,,,"MN, NH",,MN,PL,"NH, NR",,,,NY,,,,,,Playback,5,True,morn1,2,False,morn1_2_trial5_first_play
d6984ed7-4480-4de7-95c9-130112c831a6,26-04-2025,1900-01-01 10:46:00,646,645.0,MS,,,,,,ST,,,,,,NH,DS,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,5,True,morn2,2,False,morn2_2_trial5_first_play
4f23296d-bcc4-4caa-b766-5b25dee59847,27-04-2025,1900-01-01 09:35:00,575,574.0,MS,,,,,,ST,,,,,,NH,DS,,,,Pan hoot,LN,,,,,,NR,DS,,,,,MN,AG,,,,AG-Spited water towards cage a,NY,,,,,,Playback,5,False,morn1,2,False,morn1_2_trial5_sec_play
4f23296d-bcc4-4caa-b766-5b25dee59847,27-04-2025,1900-01-01 09:36:00,576,576.0,MS,,,,,,ST,,,,,,NH,DS,,,,Pan hoot,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,5,False,morn1,2,False,morn1_2_trial5_sec_play
