ec5_uuid;date;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight;msm;corrected_msm
beac7f7f-0af4-4beb-9633-5cd17ba7fefa;2025-04-27;1900-01-01 09:33:00;NO;M;;;NY, TK, SR, TN;;M;;;SR, TK, ST, TN;;M;;;TK, TN, ST, NY;;M;;;NY, ST, TN, SR;;M;;;NY, TK, ST, SR;Everyone is fighting each other;;573;572.0
2b4be5e0-ed79-4c34-82e6-956f49df4c0c;2025-04-27;1900-01-01 09:35:00;NO;M;;;NY, TK, SR, TN;;M;;;SR, TK, ST, TN;;M;;;TK, TN, ST, NY;;M;;;NY, ST, TN, SR;;M;;;NY, TK, ST, SR;;;575;574.0
8a5ea301-d4e1-4b70-b370-071a09790b1c;2025-04-27;1900-01-01 09:37:00;NO;RS;;SR;;;RS;;;;;RS;;ST;;;RS;;;;;RS;;;;;;577;576.0
3d33923c-68e3-4069-8ab6-fec528994395;2025-04-27;1900-01-01 09:39:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;red;579;578.0
26dba333-1fd4-4dcf-ab5e-ea373282ab8b;2025-04-27;1900-01-01 09:41:00;Yes;RS;;;;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;green;581;580.0
2dc68252-fffe-40d2-beba-370d3da4338e;2025-04-27;1900-01-01 09:43:00;Yes;RS;;;;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;green;583;582.0
53821ae4-3042-4348-9f34-fab94aed741a;2025-04-27;1900-01-01 09:45:00;NO;RS;;;NY;;RS;;;ST;;RS;;;;;RS;;;;;RS;;;;;;585;584.0
2511eabc-08c4-435f-ac2e-9e959c90d933;2025-04-27;1900-01-01 09:47:00;NO;RS;;;TN;;RS;;;;;RS;;;;;RS;;;;;RS;;;ST;;;587;586.0
ea431d1c-f9fd-464b-99c7-54ad58f0cfa7;2025-04-27;1900-01-01 09:49:00;NO;RS;;TK;;;RS;;;SR;;RS;;;NY;;RS;;ST;;;RS;;;;;;589;588.0
ef003045-58cc-4160-8b4b-7e96b37f2250;2025-04-27;1900-01-01 09:52:00;NO;GM;TK;;;;RS;;;SR;;RS;;;NY;;GM;ST;;;;RS;;;;;red;592;592.0
5ee62cbe-5706-4a67-bc71-f3204959d665;2025-04-27;1900-01-01 09:53:00;Yes;GM;TK;;;;RS;;;SR;;RS;;;NY;;GM;ST;;;;RS;;;;;green;593;594.0
3edfa326-3168-4c86-965b-fc26687a4c0d;2025-04-27;1900-01-01 09:55:00;NO;RS;;;;;RS;;;SR;;RS;;;NY;;RS;;;;;RS;;;;;;595;596.0
39a2e465-7e07-4c8a-81f6-95db2973472f;2025-04-27;1900-01-01 09:57:00;NO;RS;;;;;RS;;;;;RS;;;TK;;RS;;;SR;;RS;;;;;;597;598.0
ab5014f6-f377-46fe-a5d2-6aa0a70ae45c;2025-04-27;1900-01-01 09:59:00;NO;RS;;;;;RS;;;;;RS;TK;;;;RS;SR;;;;RS;;;;;;599;600.0
cec220af-8777-417d-91e3-83bfb0c54526;2025-04-27;1900-01-01 10:01:00;NO;RS;;;;;RS;;;;;RL;;;TN, TK;;RS;;;SR, TN;;RS;;;SR, TK;;red;601;602.0
e994a13a-09ac-49ef-bd6d-ed906bab8d77;2025-04-27;1900-01-01 10:03:00;Yes;RS;;;;;RS;;;;;RL;;;TN, TK;;RS;;;SR, TN;;RS;;;SR, TK;;green;603;604.0
9c5352ee-da02-488e-a4c5-05e7ef7373aa;2025-04-27;1900-01-01 10:05:00;NO;RS;;;TK, SR, TN;;RS;;;;;RL;;;TK, TN, ST;;RS;;;ST, TN, SR;;RS;;;TK, ST, SR;;red;605;606.0
95760655-a5da-4552-beba-6e7bec3e15cb;2025-04-27;1900-01-01 10:07:00;Yes;RS;;;TK, SR, TN;;RS;;;;;RL;;;TK, TN, ST;;RS;;;ST, TN, SR;;RS;;;TK, ST, SR;;green;607;608.0
7a10b8ee-3b42-4239-8214-0aa2bc888d56;2025-04-27;1900-01-01 10:09:00;Yes;RS;;;TK, SR, TN;;RS;;;;;RL;;;TK, TN, ST;;RS;;;ST, TN, SR;;RS;;;TK, ST, SR;;green;609;610.0
7ded1b2e-26e2-423e-b98b-b08265666680;2025-04-27;1900-01-01 10:11:00;NO;RS;;;;;RS;;;;;RS;;;TN;;M;;;;;RS;;;SR;;;611;612.0
f4d05677-8a2d-429e-b2e2-32fa0ec0d7e6;2025-04-27;1900-01-01 10:13:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;613;614.0
e278a1e1-8d6c-4b25-aefc-f793a7314fd8;2025-04-27;1900-01-01 10:15:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;TN;;RS;;;TK;;red;615;616.0
0f9accb3-da38-4322-bebc-145039c63661;2025-04-27;1900-01-01 10:17:00;Yes;RS;;;;;RS;;;;;RS;;;;;RS;;;TN;;RS;;;TK;;green;617;618.0
b35be84b-5616-4ea7-87e5-8f63fe704575;2025-04-27;1900-01-01 10:19:00;NO;RS;;;NY;;RS;;;ST;;RS;;;;;RS;;;TN;;RS;;;TK;;;619;620.0
