ec5_uuid,condition,date,msm,group,trial,phase,block_ID,Ind1,partner,dyad,distance
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,NR,MN-NR,4
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,TK,MN-TK,4
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,LN,MN-LN,4
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,MN,NY-MN,4
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,NR,NY-NR,4
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,TK,NY-TK,4
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,LN,NY-LN,4
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,TK,NR-TK,2
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,TN,NR-TN,2
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,NY,TK-NY,2
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,ST,TK-ST,2
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,NY,LN-NY,2
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,TK,LN-TK,2
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,NY,MN-NY,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,NR,MN-NR,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,TK,MN-TK,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,LN,MN-LN,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,MN,NY-MN,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,NR,NY-NR,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,TK,NY-TK,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,LN,NY-LN,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,MN,NR-MN,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,NY,NR-NY,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,TK,NR-TK,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,LN,NR-LN,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,MN,TK-MN,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,NY,TK-NY,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,NR,TK-NR,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,LN,TK-LN,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,MN,LN-MN,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,NY,LN-NY,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,NR,LN-NR,4
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,TK,LN-TK,4
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,NY,MN-NY,3
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,MN,NY-MN,4
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,NR,NY-NR,4
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,TK,NY-TK,4
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,LN,NY-LN,4
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,ST,NR-ST,3
