ec5_uuid,condition,date,msm,group,trial,phase,block_ID,Ind1,behaviour,qualifier,partner,eating,playing,moving,resting,sitting,self_direct,grooming
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,M,,,0,0,1,0,0,0,0
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,M,,,0,0,1,0,0,0,0
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,M,,,0,0,1,0,0,0,0
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,RS,,,0,0,0,1,1,0,0
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,RS,,,0,0,0,1,1,0,0
xyz,Playback,11-03-2025,587,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,RS,,,0,0,0,1,1,0,0
xyz,Playback,11-03-2025,587,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,RS,,,0,0,0,1,1,0,0
xyz,Playback,11-03-2025,587,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,RS,,,0,0,0,1,1,0,0
xyz,Playback,11-03-2025,587,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,RS,,,0,0,0,1,1,0,0
xyz,Playback,11-03-2025,587,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,RS,,,0,0,0,1,1,0,0
007393f8-4fe9-4880-a04d-53e3efef94c6,Playback,11-03-2025,590,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,RS,,,0,0,0,1,1,0,0
007393f8-4fe9-4880-a04d-53e3efef94c6,Playback,11-03-2025,590,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,RS,,,0,0,0,1,1,0,0
007393f8-4fe9-4880-a04d-53e3efef94c6,Playback,11-03-2025,590,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,RS,,,0,0,0,1,1,0,0
007393f8-4fe9-4880-a04d-53e3efef94c6,Playback,11-03-2025,590,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,RS,,,0,0,0,1,1,0,0
007393f8-4fe9-4880-a04d-53e3efef94c6,Playback,11-03-2025,590,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,RS,,,0,0,0,1,1,0,0
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,RS,,,0,0,0,1,1,0,0
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,RS,,,0,0,0,1,1,0,0
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,RS,,,0,0,0,1,1,0,0
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,RS,,,0,0,0,1,1,0,0
833d371e-054b-4a34-bd41-9e3e592baa69,Playback,11-03-2025,591,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,M,,,0,0,1,0,0,0,0
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,RS,,,0,0,0,1,1,0,0
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,RS,,,0,0,0,1,1,0,0
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,M,,,0,0,1,0,0,0,0
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,RS,,,0,0,0,1,1,0,0
9b466443-684f-4718-afdb-169f2296d407,Playback,11-03-2025,593,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,RS,,,0,0,0,1,1,0,0
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,RS,,,0,0,0,1,1,0,0
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,RS,,,0,0,0,1,1,0,0
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,RS,,,0,0,0,1,1,0,0
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,RS,,,0,0,0,1,1,0,0
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,RS,,,0,0,0,1,1,0,0
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,RS,,,0,0,0,1,1,0,0
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,RS,,,0,0,0,1,1,0,0
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,RS,,,0,0,0,1,1,0,0
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,RS,,,0,0,0,1,1,0,0
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,RS,,,0,0,0,1,1,0,0
55eca3a1-dae1-4304-b140-83be6dcf9242,Playback,11-03-2025,599,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,G,M,SR,0,0,0,0,0,0,1
55eca3a1-dae1-4304-b140-83be6dcf9242,Playback,11-03-2025,599,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,RS,,,0,0,0,1,1,0,0
55eca3a1-dae1-4304-b140-83be6dcf9242,Playback,11-03-2025,599,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,RS,,,0,0,0,1,1,0,0
55eca3a1-dae1-4304-b140-83be6dcf9242,Playback,11-03-2025,599,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,RS,,,0,0,0,1,1,0,0
55eca3a1-dae1-4304-b140-83be6dcf9242,Playback,11-03-2025,599,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,G,M,ST,0,0,0,0,0,0,1
5c6ae97d-5896-448a-83cd-aae8fa20b222,Playback,11-03-2025,601,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,G,M,SR,0,0,0,0,0,0,1
5c6ae97d-5896-448a-83cd-aae8fa20b222,Playback,11-03-2025,601,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,RS,,,0,0,0,1,1,0,0
5c6ae97d-5896-448a-83cd-aae8fa20b222,Playback,11-03-2025,601,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,RS,,,0,0,0,1,1,0,0
5c6ae97d-5896-448a-83cd-aae8fa20b222,Playback,11-03-2025,601,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,RS,,,0,0,0,1,1,0,0
5c6ae97d-5896-448a-83cd-aae8fa20b222,Playback,11-03-2025,601,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,G,M,ST,0,0,0,0,0,0,1
7c737b84-df8f-4c41-82ed-762a14aa570b,Playback,11-03-2025,603,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,G,M,SR,0,0,0,0,0,0,1
7c737b84-df8f-4c41-82ed-762a14aa570b,Playback,11-03-2025,603,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,RS,,,0,0,0,1,1,0,0
7c737b84-df8f-4c41-82ed-762a14aa570b,Playback,11-03-2025,603,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,E,,,1,0,0,0,0,0,0
7c737b84-df8f-4c41-82ed-762a14aa570b,Playback,11-03-2025,603,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,RS,,,0,0,0,1,1,0,0
7c737b84-df8f-4c41-82ed-762a14aa570b,Playback,11-03-2025,603,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,G,M,ST,0,0,0,0,0,0,1
d048e454-faf1-4ef2-a0a6-4958ba53499d,Playback,11-03-2025,605,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,G,M,SR,0,0,0,0,0,0,1
d048e454-faf1-4ef2-a0a6-4958ba53499d,Playback,11-03-2025,605,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,RS,,,0,0,0,1,1,0,0
d048e454-faf1-4ef2-a0a6-4958ba53499d,Playback,11-03-2025,605,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,E,,,1,0,0,0,0,0,0
d048e454-faf1-4ef2-a0a6-4958ba53499d,Playback,11-03-2025,605,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,RS,,,0,0,0,1,1,0,0
d048e454-faf1-4ef2-a0a6-4958ba53499d,Playback,11-03-2025,605,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,G,M,ST,0,0,0,0,0,0,1
55a553aa-d3ba-4b03-a39a-0fe5dae35a5a,Playback,11-03-2025,607,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,G,G,NR,0,0,0,0,0,0,1
55a553aa-d3ba-4b03-a39a-0fe5dae35a5a,Playback,11-03-2025,607,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,RS,,,0,0,0,1,1,0,0
55a553aa-d3ba-4b03-a39a-0fe5dae35a5a,Playback,11-03-2025,607,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,RS,,,0,0,0,1,1,0,0
55a553aa-d3ba-4b03-a39a-0fe5dae35a5a,Playback,11-03-2025,607,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,RS,,,0,0,0,1,1,0,0
55a553aa-d3ba-4b03-a39a-0fe5dae35a5a,Playback,11-03-2025,607,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,G,R,MN,0,0,0,0,0,0,1
ace16477-e6c4-4c15-a32f-321a919ca34e,Playback,11-03-2025,609,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,G,G,NR,0,0,0,0,0,0,1
ace16477-e6c4-4c15-a32f-321a919ca34e,Playback,11-03-2025,609,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,RS,,,0,0,0,1,1,0,0
ace16477-e6c4-4c15-a32f-321a919ca34e,Playback,11-03-2025,609,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,RS,,,0,0,0,1,1,0,0
ace16477-e6c4-4c15-a32f-321a919ca34e,Playback,11-03-2025,609,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,RS,,,0,0,0,1,1,0,0
ace16477-e6c4-4c15-a32f-321a919ca34e,Playback,11-03-2025,609,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,G,R,MN,0,0,0,0,0,0,1
