ec5_uuid,date,1_TIme,msm,Ind_1,Ind_1_Behavior,Ind_1_Contact,Ind_1_AR,Ind_1_3M,Ind_2,Ind_2_Behavior,Ind_2_Contact,Ind_2_AR,Ind_2_3M,Ind_3,Ind_3_Behavior,Ind_3_Contact,Ind_3_AR,Ind_3_3M,Ind_4,Ind_4_Behavior,Ind_4_Contact,Ind_4_AR,Ind_4_3M,Ind_5,Ind_5_Behavior,Ind_5_Contact,Ind_5_AR,Ind_5_3M,condition,trial,first_day,phase,group,block_ID
xyc,11-03-2025,09:45,585,MN,M,,,,NY,M,,,,NR,M,,,,TK,RS,,,,LN,RS,,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
xyz,11-03-2025,09:47,587,MN,RS,,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,RS,,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
007393f8-4fe9-4880-a04d-53e3efef94c6,11-03-2025,09:50,590,MN,RS,,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,RS,,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
833d371e-054b-4a34-bd41-9e3e592baa69,11-03-2025,09:51,591,MN,RS,,,,NY,RS,,,,NR,RS,,"TK, TN",,TK,RS,,"NY, ST",,LN,M,,"NY, TK",,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
9b466443-684f-4718-afdb-169f2296d407,11-03-2025,09:53,593,MN,RS,,,,NY,RS,,,,NR,M,,,,TK,RS,,,,LN,RS,,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,11-03-2025,09:56,596,MN,RS,,,NY,NY,RS,,,,NR,RS,,,ST,TK,RS,,,,LN,RS,,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
f5691a9a-fc19-4221-aa5e-704967b4b1c6,11-03-2025,09:57,597,MN,RS,,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,RS,,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
55eca3a1-dae1-4304-b140-83be6dcf9242,11-03-2025,09:59,599,MN,GM,SR,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,GM,ST,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
5c6ae97d-5896-448a-83cd-aae8fa20b222,11-03-2025,10:01,601,MN,GM,SR,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,GM,ST,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
7c737b84-df8f-4c41-82ed-762a14aa570b,11-03-2025,10:03,603,MN,GM,SR,,,NY,RS,,,,NR,E,,TK,,TK,RS,,NY,,LN,GM,ST,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
d048e454-faf1-4ef2-a0a6-4958ba53499d,11-03-2025,10:05,605,MN,GM,SR,,,NY,RS,,,,NR,E,,TK,,TK,RS,,NY,,LN,GM,ST,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
55a553aa-d3ba-4b03-a39a-0fe5dae35a5a,11-03-2025,10:07,607,MN,GG,NR,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,GR,MN,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
ace16477-e6c4-4c15-a32f-321a919ca34e,11-03-2025,10:09,609,MN,GG,NR,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,GR,MN,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
7316c168-4fd8-48c9-8cfc-432bed61b5a9,11-03-2025,10:11,611,MN,GG,NR,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,GR,MN,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
f8ae8c9b-d917-44ae-badb-a2e40b6a3b3e,11-03-2025,10:13,613,MN,GG,NR,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,GR,MN,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
6764d913-2a53-4cd0-b0f2-f25301a26609,11-03-2025,10:15,615,MN,GG,NR,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,GR,MN,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
93900f6e-b2e6-4d4b-8bab-ef7ee2c0d457,11-03-2025,10:17,617,MN,GG,NR,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,GR,MN,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
400314c9-af10-413f-8007-4983e81053eb,11-03-2025,10:19,619,MN,GG,NR,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,GR,MN,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
796c4e7c-6ae6-4831-97e6-cc38747864a1,11-03-2025,10:21,621,MN,GM,NR,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,GM,MN,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
322fc77a-4908-4ff8-99ff-6098d3871158,11-03-2025,10:23,623,MN,GM,NR,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,GM,MN,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
3de43702-8ec8-4737-a9ff-21e621e94b24,11-03-2025,10:25,625,MN,GM,NR,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,GM,MN,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
bc4564f2-8cea-4475-93ec-477ff3e35443,11-03-2025,10:27,627,MN,GM,NR,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,GM,MN,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
7ec87ce8-86c5-41bf-aea5-0f2df973ec1f,11-03-2025,10:29,629,MN,GM,NR,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,GM,MN,,,Playback,1,True,morn1,A_1,morn1_A_1_trial1_first_play
19e14022-e1c3-44cd-b5ed-811669e97fb1,11-03-2025,10:45,645,MN,RS,,,,NY,RS,,,,NR,RS,,,,TK,RS,,,,LN,M,,,,Playback,1,True,morn2,A_1,morn2_A_1_trial1_first_play
fd36e9c5-d41e-48e2-99c5-ce93c79ec4fd,11-03-2025,10:47,647,MN,M,,,,NY,GR,TK,,NR,NR,RS,,,"TK, NY",TK,GG,NR,,NY,LN,M,,,,Playback,1,True,morn2,A_1,morn2_A_1_trial1_first_play
31344d02-c769-4ea0-bce8-168c71ca6629,11-03-2025,10:49,649,MN,RS,,"TK, LN",,NY,RS,,"TK, LN",,NR,RS,,,,TK,RS,,"NR, LN",,LN,M,,,,Playback,1,True,morn2,A_1,morn2_A_1_trial1_first_play
7388c659-8cf5-495f-bbec-2ede5525d5fc,11-03-2025,10:51,651,MN,M,,,,NY,RS,,TK,,NR,M,,LN,,TK,RS,,NR,,LN,RS,,NY,,Playback,1,True,morn2,A_1,morn2_A_1_trial1_first_play
a9e5fcc5-0b49-4635-a235-7571c514d9ef,11-03-2025,10:53,653,MN,RS,,LN,,NY,RS,,LN,,NR,RS,,LN,,TK,RS,,,,LN,RS,,NY,,Playback,1,True,morn2,A_1,morn2_A_1_trial1_first_play
442fd50d-f879-4092-ae12-c6c8f7fc5291,11-03-2025,10:55,655,MN,RS,,LN,,NY,RS,,LN,,NR,RS,,LN,,TK,RS,,,,LN,RS,,NY,,Playback,1,True,morn2,A_1,morn2_A_1_trial1_first_play
08d2d3e3-f48a-4d16-b56e-389596145a05,11-03-2025,10:57,657,MN,RS,,LN,,NY,RS,,LN,,NR,RS,,,,TK,RS,,,,LN,RS,,,,Playback,1,True,morn2,A_1,morn2_A_1_trial1_first_play
