ec5_uuid,date,1_TIme,2_NC,4_MN_Behavior,5_Contact,6_AR,7_3M,8_Notes,10_NY_Behavior,11_Contact,12_AR,13_3M,14_Notes,16_NR_Behavior,17_Contact,18_AR,19_3M,20_Notes,22_TK_Behavior,23_Contact,24_AR,25_3M,26_Notes,28_LN_Behavior,29_Contact,30_AR,31_3M,Unnamed: 28,highlight,msm
xyc,2025-03-11,1900-01-01 09:45:00,,M,,,,,M,,,,,M,,,,,RS,,,,,RS,,,,,,585
xyz,2025-03-11,1900-01-01 09:47:00,,RS,,,,,RS,,,,,RS,,,,,RS,,,,,RS,,,,,,587
007393f8-4fe9-4880-a04d-53e3efef94c6,2025-03-11,1900-01-01 09:50:00,NO,RS,,,,,RS,,,,,RS,,,,,RS,,,,,RS,,,,,,590
833d371e-054b-4a34-bd41-9e3e592baa69,2025-03-11,1900-01-01 09:51:00,NO,RS,,,,,RS,,,,,RS,,"TK, TN",,,RS,,"NY, ST",,,M,,"NY, TK",,,,591
9b466443-684f-4718-afdb-169f2296d407,2025-03-11,1900-01-01 09:53:00,NO,RS,,,,,RS,,,,,M,,,,,RS,,,,,RS,,,,,,593
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,2025-03-11,1900-01-01 09:56:00,NO,RS,,,NY,,RS,,,,,RS,,,ST,,RS,,,,,RS,,,,,,596
f5691a9a-fc19-4221-aa5e-704967b4b1c6,2025-03-11,1900-01-01 09:57:00,NO,RS,,,,,RS,,,,,RS,,,,,RS,,,,,RS,,,,,,597
55eca3a1-dae1-4304-b140-83be6dcf9242,2025-03-11,1900-01-01 09:59:00,NO,GM,SR,,,,RS,,,,,RS,,,,,RS,,,,,GM,ST,,,,,599
5c6ae97d-5896-448a-83cd-aae8fa20b222,2025-03-11,1900-01-01 10:01:00,NO,GM,SR,,,,RS,,,,,RS,,,,,RS,,,,,GM,ST,,,,,601
7c737b84-df8f-4c41-82ed-762a14aa570b,2025-03-11,1900-01-01 10:03:00,NO,GM,SR,,,,RS,,,,,E,,TK,,,RS,,NY,,,GM,ST,,,,red,603
d048e454-faf1-4ef2-a0a6-4958ba53499d,2025-03-11,1900-01-01 10:05:00,Yes,GM,SR,,,,RS,,,,,E,,TK,,,RS,,NY,,,GM,ST,,,,green,605
55a553aa-d3ba-4b03-a39a-0fe5dae35a5a,2025-03-11,1900-01-01 10:07:00,NO,GG,NR,,,,RS,,,,,RS,,,,,RS,,,,,GR,MN,,,,red,607
ace16477-e6c4-4c15-a32f-321a919ca34e,2025-03-11,1900-01-01 10:09:00,Yes,GG,NR,,,,RS,,,,,RS,,,,,RS,,,,,GR,MN,,,,green,609
7316c168-4fd8-48c9-8cfc-432bed61b5a9,2025-03-11,1900-01-01 10:11:00,Yes,GG,NR,,,,RS,,,,,RS,,,,,RS,,,,,GR,MN,,,,green,611
f8ae8c9b-d917-44ae-badb-a2e40b6a3b3e,2025-03-11,1900-01-01 10:13:00,Yes,GG,NR,,,,RS,,,,,RS,,,,,RS,,,,,GR,MN,,,,green,613
6764d913-2a53-4cd0-b0f2-f25301a26609,2025-03-11,1900-01-01 10:15:00,Yes,GG,NR,,,,RS,,,,,RS,,,,,RS,,,,,GR,MN,,,,green,615
93900f6e-b2e6-4d4b-8bab-ef7ee2c0d457,2025-03-11,1900-01-01 10:17:00,Yes,GG,NR,,,,RS,,,,,RS,,,,,RS,,,,,GR,MN,,,,green,617
400314c9-af10-413f-8007-4983e81053eb,2025-03-11,1900-01-01 10:19:00,Yes,GG,NR,,,,RS,,,,,RS,,,,,RS,,,,,GR,MN,,,,green,619
796c4e7c-6ae6-4831-97e6-cc38747864a1,2025-03-11,1900-01-01 10:21:00,NO,GM,NR,,,,RS,,,,,RS,,,,,RS,,,,,GM,MN,,,,red,621
322fc77a-4908-4ff8-99ff-6098d3871158,2025-03-11,1900-01-01 10:23:00,Yes,GM,NR,,,,RS,,,,,RS,,,,,RS,,,,,GM,MN,,,,green,623
3de43702-8ec8-4737-a9ff-21e621e94b24,2025-03-11,1900-01-01 10:25:00,Yes,GM,NR,,,,RS,,,,,RS,,,,,RS,,,,,GM,MN,,,,green,625
bc4564f2-8cea-4475-93ec-477ff3e35443,2025-03-11,1900-01-01 10:27:00,Yes,GM,NR,,,,RS,,,,,RS,,,,,RS,,,,,GM,MN,,,,green,627
7ec87ce8-86c5-41bf-aea5-0f2df973ec1f,2025-03-11,1900-01-01 10:29:00,Yes,GM,NR,,,,RS,,,,,RS,,,,,RS,,,,,GM,MN,,,,green,629
19e14022-e1c3-44cd-b5ed-811669e97fb1,2025-03-11,1900-01-01 10:45:00,NO,RS,,,,,RS,,,,,RS,,,,,RS,,,,,M,,,,,,645
fd36e9c5-d41e-48e2-99c5-ce93c79ec4fd,2025-03-11,1900-01-01 10:47:00,NO,M,,,,,GR,TK,,NR,,RS,,,"TK, NY",,GG,NR,,NY,,M,,,,,,647
31344d02-c769-4ea0-bce8-168c71ca6629,2025-03-11,1900-01-01 10:49:00,NO,RS,,"TK, LN",,,RS,,"TK, LN",,,RS,,,,,RS,,"NR, LN",,,M,,,,,,649
7388c659-8cf5-495f-bbec-2ede5525d5fc,2025-03-11,1900-01-01 10:51:00,NO,M,,,,,RS,,TK,,,M,,LN,,,RS,,NR,,,RS,,NY,,,,651
a9e5fcc5-0b49-4635-a235-7571c514d9ef,2025-03-11,1900-01-01 10:53:00,NO,RS,,LN,,,RS,,LN,,,RS,,LN,,,RS,,,,,RS,,NY,,,red,653
442fd50d-f879-4092-ae12-c6c8f7fc5291,2025-03-11,1900-01-01 10:55:00,Yes,RS,,LN,,,RS,,LN,,,RS,,LN,,,RS,,,,,RS,,NY,,,green,655
08d2d3e3-f48a-4d16-b56e-389596145a05,2025-03-11,1900-01-01 10:57:00,NO,RS,,LN,,,RS,,LN,,,RS,,,,,RS,,,,,RS,,,,,red,657
ab79daf3-d9ae-4553-b5f7-ab71ce9c66d7,2025-03-11,1900-01-01 10:59:00,Yes,RS,,LN,,,RS,,LN,,,RS,,,,,RS,,,,,RS,,,,,green,659
5cc416bf-dc70-4f8c-8ee8-6d885d3b7da1,2025-03-11,1900-01-01 11:01:00,Yes,RS,,LN,,,RS,,LN,,,RS,,,,,RS,,,,,RS,,,,,green,661
f833174c-e9d4-45f7-aafa-bbddf461f242,2025-03-11,1900-01-01 11:03:00,NO,GG,NR,LN,,,RS,,LN,MN,,RS,,,,,RS,,,,,GR,MN,,NR,,,663
1916ecf9-63c5-439e-bfbc-83d506aad88d,2025-03-11,1900-01-01 11:05:00,NO,GG,NR,LN,,,RS,,LN,MN,,RS,,TK,,,RS,,NY,,,GR,MN,,NR,,,665
4c7a66a3-e0f4-45da-b047-051536c0bd26,2025-03-11,1900-01-01 11:07:00,NO,GG,NR,LN,,,RS,,LN,MN,,RS,,,,,RS,,,,,GR,MN,,NR,,red,667
4d937940-a656-4fcd-b6f5-73e0d2b89800,2025-03-11,1900-01-01 11:09:00,Yes,GG,NR,LN,,,RS,,LN,MN,,RS,,,,,RS,,,,,GR,MN,,NR,,green,669
edeb64f9-d2ce-437b-9910-d4239d0c9d06,2025-03-11,1900-01-01 11:11:00,Yes,GG,NR,LN,,,RS,,LN,MN,,RS,,,,,RS,,,,,GR,MN,,NR,,green,671
07b9d2f6-f5f7-46a8-9204-10eedaa80d5a,2025-03-11,1900-01-01 11:13:00,Yes,GG,NR,LN,,,RS,,LN,MN,,RS,,,,,RS,,,,,GR,MN,,NR,,green,673
06d8cbf9-5494-4b31-a747-1ec98b7371dd,2025-03-11,1900-01-01 11:15:00,Yes,GG,NR,LN,,,RS,,LN,MN,,RS,,,,,RS,,,,,GR,MN,,NR,,green,675
8646aa68-137a-4f3a-97fa-73287cd61bcb,2025-03-11,1900-01-01 11:17:00,NO,GG,NR,LN,,,RS,,LN,MN,,M,,,,,RS,,,,,GR,MN,,NR,,,677
e5e7b978-ec85-474a-9040-f16c8a2c1c00,2025-03-11,1900-01-01 11:19:00,NO,GG,NR,LN,,,RS,,LN,MN,,E,,,,,RS,,,,,GR,MN,,NR,,red,679
a705358c-8ef5-4bc0-9323-f23655f68f22,2025-03-11,1900-01-01 11:21:00,Yes,GG,NR,LN,,,RS,,LN,MN,,E,,,,,RS,,,,,GR,MN,,NR,,green,681
c781795a-36e1-4b33-a29b-aca95eb5f046,2025-03-11,1900-01-01 11:23:00,NO,GG,NR,LN,,,RS,,LN,MN,,RS,,,,,RS,,,,,GR,MN,,NR,,red,683
90904ed1-2ee3-4c78-b3e2-b41e03d13acf,2025-03-11,1900-01-01 11:25:00,Yes,GG,NR,LN,,,RS,,LN,MN,,RS,,,,,RS,,,,,GR,MN,,NR,,green,685
b56f81f4-98ce-4359-b6f4-a352c8ef836b,2025-03-11,1900-01-01 11:27:00,Yes,GG,NR,LN,,,RS,,LN,MN,,RS,,,,,RS,,,,,GR,MN,,NR,,green,687
5a4108fe-1bbb-4951-a6c1-581a953930c7,2025-03-11,1900-01-01 11:29:00,NO,GG,NR,LN,,,RS,,LN,MN,,RS,,TK,,,RS,,NY,,,GR,MN,,NR,,,689
e662d666-398f-461b-a719-111ab4cfb87e,2025-03-11,1900-01-01 11:31:00,NO,GG,NR,LN,,,RS,,LN,MN,,RS,,,TK,,RS,,,NY,,GR,MN,,NR,,red,691
f417ea84-106b-4568-a55b-78de9bad1689,2025-03-11,1900-01-01 11:33:00,Yes,GG,NR,LN,,,RS,,LN,MN,,RS,,,TK,,RS,,,NY,,GR,MN,,NR,,green,693
2361c112-8f8f-4de5-94f9-906069017f7f,2025-03-11,1900-01-01 11:35:00,NO,GM,NR,LN,,,RS,,"MN, LN",,,RS,,,TK,,RS,,,NY,,GM,MN,NR,,,red,695
d9acc000-0fea-43b9-ab17-618f3e8240e7,2025-03-11,1900-01-01 11:37:00,Yes,GM,NR,LN,,,RS,,"MN, LN",,,RS,,,TK,,RS,,,NY,,GM,MN,NR,,,green,697
ada23233-395e-4842-b62b-c25c6f58ffa2,2025-03-11,1900-01-01 11:39:00,Yes,GM,NR,LN,,,RS,,"MN, LN",,,RS,,,TK,,RS,,,NY,,GM,MN,NR,,,green,699
40dfa59e-19d4-4ecf-adef-aa24107671a0,2025-03-11,1900-01-01 11:41:00,Yes,GM,NR,LN,,,RS,,"MN, LN",,,RS,,,TK,,RS,,,NY,,GM,MN,NR,,,green,701
a982f3f1-17ff-43ec-9c9b-944543c77da9,2025-03-11,1900-01-01 11:43:00,NO,GM,NR,LN,,,RS,,"MN, LN",,,RS,,TK,,,RS,,NY,,,GM,MN,NR,,,,703
bcbc19e2-8d6e-454b-a9fc-f8a313965c39,2025-03-11,1900-01-01 11:45:00,NO,GM,NR,LN,,,RS,,"MN, LN",,,SD,,TK,,,SD,,NY,,,GM,MN,NR,,,,705
