ec5_uuid;date;1_TIme;2_NC;4_MN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_LN_Behavior;29_Contact;30_AR;31_3M;Unnamed: 28;highlight;msm;corrected_msm
01373716-7937-4fbf-9889-58dea9650342;2025-04-09;1900-01-01 09:34:00;NO;E;;;LN, NR, NY;;E;;NR;LN, MT;;E;;NY;LN, MT;;E;;;;;RS;;;NY, MT, NR;;;574;574.0
172d4152-bd24-4c43-a696-0d1e58d2dfea;2025-04-09;1900-01-01 09:36:00;NO;E;;NR;NY, LN;;E;;;NR, LN, MT;;RS;;MT;LN, NY;;M;;;;;RS;;;NY, MT, NR;;;576;576.0
8d5c2886-c755-4fad-9486-36e600d4eee5;2025-04-09;1900-01-01 09:38:00;NO;RS;;;NY, TK, NR, LN;;E;;;NR, TK, MT, LN;;E;;TK, LN;MT, NY;;RS;LN;NR;MT, NY;;RS;TK;NR;NY, MT;;;578;578.0
aff56f0b-4636-474e-b6f8-c50d4194751f;2025-04-09;1900-01-01 09:40:00;NO;RS;;;;;RS;;;TK, NR;;M;;;TK, NY;;RS;;;NY, NR;;RS;;;;;;580;580.0
0e843010-a596-48a3-81c6-3a2289cb2dbb;2025-04-09;1900-01-01 09:42:00;NO;RS;;;NY;;E;;;MT;;M;;;TK;;M;;;NR;;RS;;;;;;582;582.0
2c8709c7-46d1-4fb3-a890-0ae8ed378678;2025-04-09;1900-01-01 09:43:00;NO;RS;;;NY;;E;;;MT;;M;;;;;RS;;;;;RS;;;;;;583;584.0
83e9189b-9454-4dd9-8ad5-4bfe405a430e;2025-04-09;1900-01-01 09:45:00;NO;RS;;;NY, TK;;E;;;MT;;E;;;LN;;E;;;MT;;RS;;;NR;;;585;586.0
9df702b6-7c01-4f67-93dd-9c3df9465af7;2025-04-09;1900-01-01 09:48:00;NO;RS;;NY;;;E;;MT;TK;;E;;;LN;;E;;;NY;;RS;;;NR;;red;588;588.0
b94bd94e-af73-4d7a-9cce-3310773a7512;2025-04-09;1900-01-01 09:49:00;Yes;RS;;NY;;;E;;MT;TK;;E;;;LN;;E;;;NY;;RS;;;NR;;green;589;590.0
8297f43a-0ffc-43ea-b5e6-8b4d8049a4e7;2025-04-09;1900-01-01 09:52:00;NO;RS;;NY;;;E;;MT;;;M;;TK;;;M;;NR;;;RS;;;;;;592;592.0
c4c846cc-297e-457f-b2e0-b18f193b7f08;2025-04-09;1900-01-01 09:54:00;NO;RS;;NY;;;E;;MT;;;M;;;;;RS;;;;;RS;;;;;;594;594.0
28def944-0f13-401e-a4e6-e66d18b03085;2025-04-09;1900-01-01 09:55:00;NO;RS;;NY;;;RS;;MT;;;PL;TK;;;;PL;NR;;;;RS;;;;;;595;596.0
8d06ce41-165f-4a1d-b946-840f28c480c2;2025-04-09;1900-01-01 09:57:00;NO;M;;NY;;;M;;MT;;;M;;;TK, LN;;M;;;LN, NR;;RS;;;TK, NR;;;597;598.0
