ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_TN_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;32_SR_Behavior;33_Contact;34_AR;35_3M;36_Occurence;37_Notes;38_MS_Behavior;39_Contact;40_AR;41_3M;42_Occurence;43_Notes;44_LN_Behavior;45_Contact;46_AR;47_3M;48_Occurence;49_Notes;50_NR_Behavior;51_Contact;52_AR;53_3M;54_Occurence;55_Notes;msm;corrected_msm
883a792e-795c-49da-acf3-e5cec96a12fb;2025-04-21;1900-01-01 10:46:00;NO;;;;;;;;;;;;;;;;;;;AG;SR;;;;TN attacked SR multiple times and got chased away by SB;;;;;;;;;;;;;;;;;;;;;;;;;646;645.0
67457d92-ba94-45b1-9937-edb7760636e5;2025-04-21;1900-01-01 10:47:00;Yes;;;;;;;;;;;;;;;;;;;AG;SR;;;;TN attacked SR multiple times and got chased away by SB;;;;;;;;;;;;;;;;;;;;;;;;;647;647.0
47c34299-5539-4871-9ea9-de5aa4eb3e20;2025-04-21;1900-01-01 10:50:00;Yes;;;;;;;;;;;;;;;;;;;AG;SR;;;;TN attacked SR multiple times and got chased away by SB;;;;;;;;;;;;;;;;;;;;;;;;;650;649.0
fbb4625f-326e-498d-a0d4-abbe82ba36a0;2025-04-21;1900-01-01 10:51:00;NO;;;;;;;DS;;;;;Calling;DS;;;;;Calling and grooming SR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;651;651.0
fbb4625f-326e-498d-a0d4-abbe82ba36a0;2025-04-21;1900-01-01 10:51:00;NO;;;;;;;;;;;;;DS;;;;;Calling and grooming SR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;651;
eb74e5f8-c4c5-47f0-a393-f1f36659ec96;2025-04-21;1900-01-01 10:54:00;NO;;;;;;;DS;;;;;Calling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;654;653.0
eb74e5f8-c4c5-47f0-a393-f1f36659ec96;2025-04-21;1900-01-01 10:54:00;NO;;;;;;;;;;;;;;;;;;;DS;;;;;Displaying and calling;;;;;;;;;;;;;;;;;;;;;;;;;654;655.0
