ec5_uuid;date;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_LN_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_NR_Behavior;29_Contact;30_AR;31_3M;32_Notes;34_MN_Behavior;35_Contact;36_AR;37_3M;38_Notes;40_NY_Behavior;41_Contact;42_AR;43_3M;44_Notes;msm;corrected_msm
47650b7a-1bd6-4121-a718-28cc46d567a0;2025-04-22;1900-01-01 09:43:00;;;;;;;;;;;;DS;;;;Pan hoot towards cage c;;;;;;;;;;;;;;;;;;;;;583;582.0
9bbaa949-29a8-4976-9454-51d568aa569b;2025-04-22;1900-01-01 11:18:00;;;;;;;DS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;678;677.0
680a543f-5e61-4d08-bf2e-f4a7134bda73;2025-04-22;1900-01-01 11:20:00;;;;;;;DS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;680;679.0
d6a23649-62b4-4809-bfcc-5f5516cd5ddc;2025-04-22;1900-01-01 11:21:00;;;;;;;;;;;;DS;;;;Displayed;;;;;;;;;;;;;;;;;;;;;681;681.0
48f3b3f1-15d0-4b50-b6e9-e18dd9de4fe8;2025-04-22;1900-01-01 11:24:00;;;;;;;PL;;NH;;;PL;;ST;;;;;;;;;;;;;;;;;;;;;;;684;683.0
427e1132-5a8d-4e21-8340-ef0e2138ed8d;2025-04-22;1900-01-01 11:26:00;Yes;;;;;;PL;;NH;;;PL;;ST;;;;;;;;;;;;;;;;;;;;;;;686;685.0
2f92f495-8d14-450e-8e16-d7a8cdda0fc0;2025-04-22;1900-01-01 11:28:00;Yes;;;;;;PL;;NH;;;PL;;ST;;;;;;;;;;;;;;;;;;;;;;;688;687.0
823e0128-be98-43ef-a7de-48e44bd08c3c;2025-04-22;1900-01-01 11:30:00;Yes;;;;;;PL;;NH;;;PL;;ST;;;;;;;;;;;;;;;;;;;;;;;690;689.0
