ec5_uuid,date,1_TIme,2_NC,4_MZ_Behavior,5_Contact,6_AR,7_3M,8_Occurence,9_Notes,11_SB_Behavior,12_Contact,13_AR,14_3M,15_Occurence,16_Notes,18_GG_Behavior,19_Contact,20_AR,21_3M,22_Occurence,23_Notes,25_MS_Behavior,26_Contact,27_AR,28_3M,29_Occurence,30_Notes,highlight,msm
1658b058-e889-4bdb-b22f-016e8b67e48a,2025-03-23,1900-01-01 09:37:00,NO,M,,,GG,,,M,,,MS,,,E,,,"MZ, MS",,,E,,,"GG, SB",,,,577
f5262488-2c06-452b-b18c-606ca025ea6b,2025-03-23,1900-01-01 09:39:00,NO,M,,,,,,E,,"GG, MS",,,,E,,"MS, SB",,,,E,,"SB, GG",,,,red,579
080448ff-7653-44b3-9788-e96a310bd093,2025-03-23,1900-01-01 09:41:00,Yes,M,,,,,,E,,"GG, MS",,,,E,,"MS, SB",,,,E,,"SB, GG",,,,green,581
4047ba9f-f30b-4651-b153-bf37d41887e4,2025-03-23,1900-01-01 09:43:00,NO,E,,,,,,E,,"MS, GG",,,,E,,"MS, SB",,,,E,,"SB, GG",,,,red,583
42c38470-940f-4956-a2e5-1891b7b86217,2025-03-23,1900-01-01 09:45:00,Yes,E,,,,,,E,,"MS, GG",,,,E,,"MS, SB",,,,E,,"SB, GG",,,,green,585
b88c7e84-f0c6-4a80-8fcd-1890d4283814,2025-03-23,1900-01-01 09:47:00,NO,RS,,,,,,E,,"MS, GG",,,,E,,"MS, SB",,,,E,,"SB, GG",,,,red,587
a5454f97-446a-408c-8919-25f6f0f4b6ce,2025-03-23,1900-01-01 09:49:00,Yes,RS,,,,,,E,,"MS, GG",,,,E,,"MS, SB",,,,E,,"SB, GG",,,,green,589
563f1c42-f46d-4835-883a-53cf187a63dd,2025-03-23,1900-01-01 09:51:00,Yes,RS,,,,,,E,,"MS, GG",,,,E,,"MS, SB",,,,E,,"SB, GG",,,,green,591
ad039edc-1539-4543-9d4f-9b0cd900399e,2025-03-23,1900-01-01 09:53:00,NO,SD,,,,,,E,,MS,,,,M,,,,,,E,,SB,,,,,593
a9dc02df-86c5-4e85-97cd-22025c23fbc7,2025-03-23,1900-01-01 09:55:00,NO,RS,,,,,,E,,"MS, GG",,,,E,,"SB, MS",,,,E,,"SB, GG",,,,red,595
bac3c024-7011-4ce6-ba45-d26307732912,2025-03-23,1900-01-01 09:57:00,Yes,RS,,,,,,E,,"MS, GG",,,,E,,"SB, MS",,,,E,,"SB, GG",,,,green,597
402e7c9c-aec6-446e-aee0-11b9b9729052,2025-03-23,1900-01-01 09:59:00,NO,SD,,,,,,M,,,,,,E,,MS,,,,E,,GG,,,,,599
cb2fca25-d5aa-48a6-ae03-de3faa583dc3,2025-03-23,1900-01-01 10:01:00,NO,SD,,,,,,E,,GG,MS,,,E,,,"SB, MS",,,E,,GG,SB,,,red,601
300e21c8-0426-40c8-b3ec-bfb560e95beb,2025-03-23,1900-01-01 10:03:00,Yes,SD,,,,,,E,,GG,MS,,,E,,,"SB, MS",,,E,,GG,SB,,,green,603
52a3ef5d-9cd3-4fbc-999f-5df53de8ac61,2025-03-23,1900-01-01 10:05:00,Yes,SD,,,,,,E,,GG,MS,,,E,,,"SB, MS",,,E,,GG,SB,,,green,605
7aa379d0-b033-48ab-86e4-b1caf94654d3,2025-03-23,1900-01-01 10:07:00,Yes,SD,,,,,,E,,GG,MS,,,E,,,"SB, MS",,,E,,GG,SB,,,green,607
82a93046-f8eb-478f-a8e4-cb724201594f,2025-03-23,1900-01-01 10:09:00,Yes,SD,,,,,,E,,GG,MS,,,E,,,"SB, MS",,,E,,GG,SB,,,green,609
2c527392-520e-4895-8f42-3e742320664b,2025-03-23,1900-01-01 10:11:00,Yes,SD,,,,,,E,,GG,MS,,,E,,,"SB, MS",,,E,,GG,SB,,,green,611
