ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_TN_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;32_SR_Behavior;33_Contact;34_AR;35_3M;36_Occurence;37_Notes;highlight;msm;corrected_msm
c5b01296-f01e-4d25-a948-4859bfe00914;2025-03-11;1900-01-01 09:31:00;NO;E;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;571;570.0
95bd6f72-e308-44c0-8632-dbdbf6908795;2025-03-11;1900-01-01 09:33:00;NO;E;;TN;;;;E;;;MZ;;;;;;;;;;;;MZ;;;;;;;;;;573;572.0
72615090-001b-498f-ac5a-8c9106e74fcb;2025-03-11;1900-01-01 09:35:00;NO;M;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;red;575;574.0
211266c2-ce39-452e-b4e3-ae1660052c49;2025-03-11;1900-01-01 09:38:00;Yes;M;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;green;578;578.0
b4d5dc59-cfb1-40b4-93d3-e20fe38cd9ab;2025-03-11;1900-01-01 09:44:00;NO;E;;;;;;E;;;;;;;;;;;;E;;;;;;;;;;;;;584;584.0
5f60f63a-b682-41eb-be25-c07ddb5c42a0;2025-03-11;1900-01-01 09:48:00;NO;M;;;;;;E;;;;;;;;;;;;E;;;;;;;;;;;;;588;588.0
9f066fb3-b1a0-40c9-bca5-b2abb3ed4303;2025-03-11;1900-01-01 09:50:00;NO;RS;;;SB;;;E;;;MZ;;;;;;;;;;;;;;;;;;;;;red;590;590.0
2f779b46-8a12-4f83-b46a-2de143d084ce;2025-03-11;1900-01-01 09:52:00;Yes;RS;;;SB;;;E;;;MZ;;;;;;;;;;;;;;;;;;;;;green;592;592.0
152eb63d-68da-45ef-bbc2-f97896d41356;2025-03-11;1900-01-01 09:53:00;NO;RS;;;;;;RS;;;;;;;;;;;;;;;;;;;;;;;;;593;594.0
b42e0e00-3620-45fa-af50-ab4bb0785bff;2025-03-11;1900-01-01 09:56:00;NO;RS;;;;;;RS;;;;;;;;;;;;RS;;;;;;;;;;;;;596;596.0
6f3dc7b2-9907-4a60-af6d-b2ff87e9f4a8;2025-03-11;1900-01-01 09:57:00;NO;RS;;;;;;RS;;;;;;;;;;;;M;;;;;;;;;;;;;597;598.0
7b6ec5bc-905e-4fdd-a5b4-b40e2f286149;2025-03-11;1900-01-01 09:59:00;NO;RS;;;;;;RS;;;;;;;;;;;;E;;;;;;;;;;;;red;599;600.0
4e467402-b3a0-4480-869c-dd847a4ab3b8;2025-03-11;1900-01-01 10:01:00;Yes;RS;;;;;;RS;;;;;;;;;;;;E;;;;;;;;;;;;green;601;602.0
c1c95b6a-12de-4ef1-835c-c3cef8310f01;2025-03-11;1900-01-01 10:03:00;NO;RS;;;;;;RS;;;;;;;;;;;;RS;;;;;;;;;;;;red;603;604.0
b5a877a8-deff-48e3-942b-fb812f71605f;2025-03-11;1900-01-01 10:05:00;Yes;RS;;;;;;RS;;;;;;;;;;;;RS;;;;;;;;;;;;green;605;606.0
a851eac8-f91b-4506-9b47-79501f755be3;2025-03-11;1900-01-01 10:07:00;Yes;RS;;;;;;RS;;;;;;;;;;;;RS;;;;;;;;;;;;green;607;608.0
f496ed93-55e7-418f-b4de-bec160b705e5;2025-03-11;1900-01-01 10:09:00;Yes;RS;;;;;;RS;;;;;;;;;;;;RS;;;;;;;;;;;;green;609;610.0
fad69f52-e618-42a7-b90b-e4ccbfc155f1;2025-03-11;1900-01-01 10:11:00;NO;M;;;TN;;;RS;;;;;;;;;;;;M;;;MZ;;;;;;;;;;611;612.0
3233dd12-2ab1-48e6-856f-84a5b71673da;2025-03-11;1900-01-01 10:13:00;NO;PL;;TN;SB;;;PL;;TN;MZ;;;;;;;;;PL;;MZ, SB;;;;;;;;;;;613;614.0
cb21a711-3483-4877-a927-48edd536e241;2025-03-11;1900-01-01 10:16:00;NO;M;;;;;;RS;;;;;;;;;;;;RS;;;;;;;;;;;;;616;616.0
feecc383-f1fd-4152-b9aa-93c6e0361b16;2025-03-11;1900-01-01 10:18:00;NO;RS;;SB;;;;RS;;MZ;;;;;;;;;;RS;;;;;;;;;;;;;618;618.0
320484ff-c1d9-4c62-b8bb-a3d7dd0e595f;2025-03-11;1900-01-01 10:20:00;NO;M;;;TN;;;RS;;;;;;;;;;;;RS;;;MZ;;;;;;;;;;620;620.0
1cd41ed9-90ff-424e-a4e3-9e1926460f62;2025-03-11;1900-01-01 10:22:00;NO;RS;;;;;;RS;;;;;;;;;;;;RS;;;;;;;;;;;;;622;622.0
60593875-01ed-4969-939e-c662833dd0ac;2025-03-11;1900-01-01 10:23:00;NO;GG;TN;;SB;;;RS;;;TN, MZ;;;;;;;;;GR;MZ;;SB;;;;;;;;;red;623;624.0
4e322321-c382-4d1e-9bf6-9ab3397de932;2025-03-11;1900-01-01 10:25:00;Yes;GG;TN;;SB;;;RS;;;TN, MZ;;;;;;;;;GR;MZ;;SB;;;;;;;;;green;625;626.0
11c50ee0-c250-4443-b49e-71b5332f334f;2025-03-11;1900-01-01 10:28:00;NO;GG;SB;;TN;;;GR;MZ;;TN;;;;;;;;;RS;;;MZ, SB;;;;;;;;;red;628;628.0
d069b56b-f925-40c4-90bd-457a6f8537bb;2025-03-11;1900-01-01 10:29:00;Yes;GG;SB;;TN;;;GR;MZ;;TN;;;;;;;;;RS;;;MZ, SB;;;;;;;;;green;629;630.0
2bc283b4-0227-48ef-afe9-6c7233554c9b;2025-03-11;1900-01-01 10:31:00;NO;AG;;;SB, TN;;;AG;;TN;MZ;;;;;;;;;AG;;SB;MZ;;;;;;;;;;631;
aa864ac8-071a-410c-b032-8729ed9d9a57;2025-03-11;1900-01-01 10:34:00;NO;AG;;;SB, TN;;;AG;;;MZ, TN;;;;;;;;;AG;;;MZ, SB;;;;;;;;;red;634;
0b68fb3c-6ac1-429c-9fe9-2ef77190314c;2025-03-11;1900-01-01 10:35:00;Yes;AG;;;SB, TN;;;AG;;;MZ, TN;;;;;;;;;AG;;;MZ, SB;;;;;;;;;green;635;
