ec5_uuid;created_at;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight
44ce43a8-fc0e-4e7c-b2bd-36ff5ee554c8;2025-03-14T01:04:55.000Z;10:04;NO;RS;;;;;RS;;;;;M;;;;;RS;;;;;RS;;;;;
c98294c3-5a9e-4329-be14-3a0ebb3b47ff;2025-03-14T01:07:15.000Z;10:06;NO;RS;TK;;;;RS;;;;;DS;;;;Pant hoot by himself to no one;RS;ST;;;;RS;;;;;
6637ff12-ff95-4616-ab18-61af38c79b16;2025-03-14T01:09:25.000Z;10:08;NO;RS;;;TN;;RS;;;;;RS;;;TK;;M;;;SR, TN;;E;;;ST, TK;;
d5d4e59d-a6a7-49d1-9608-cd83f2aaf17c;2025-03-14T01:11:06.000Z;10:10;NO;RS;;;SR, TK, NY;;RS;;;ST, TK, SR, TN;;RS;;;TN, NY, ST, TK;;RS;;;ST, NY, SR;;RS;;;SR, NY;;
8aa9fa0c-a078-4d3f-b6f8-df8b80fb6621;2025-03-14T01:12:48.000Z;10:12;NO;RS;;NY;;;RS;;ST;;;RS;;;TN, TK;;RS;;;SR;;RS;;;SR;;
6c95e98d-4edd-42a9-8204-46c5c5e7b2c2;2025-03-14T01:15:02.000Z;10:14;NO;SD;;NY;;;RS;;ST;;;RS;;;TN, TK;;RS;;;SR;;E;;;SR;;
0ac4aa00-7ee2-4c32-9ead-15f2a0f7d7a9;2025-03-14T01:17:00.000Z;10:16;NO;RS;;;NY;;RS;;;ST;;RS;;;TN, TK;;RS;;;SR;;RS;;;SR;;
aa0399b5-2bb7-4274-ae80-ce58c9a8982d;2025-03-14T01:18:43.000Z;10:18;NO;M;;;;;M;;;SR;;M;;;NY;;RS;;;;;M;;;;;
928060f4-f8d8-4b2a-8322-da501545c599;2025-03-14T01:20:45.000Z;10:20;NO;M;;;;;RS;;;SR;;RS;;;NY;;RS;;;;;E;;;;;
a5fe4062-5f89-44e9-b99c-8366c76e6202;2025-03-14T01:22:52.000Z;10:22;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;red
0abd71a9-d0e5-4d1c-b6a6-3773874b9540;2025-03-14T01:24:22.000Z;10:24;Yes;RS;;;;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;green
7a1ecefc-e294-44d2-bf56-3d23bff371a6;2025-03-14T01:26:41.000Z;10:26;NO;E;;;TN;;RS;;;SR;;RS;;;NY;;RS;;;;;RS;;;ST;;red
b31eb160-dcf0-4d3c-bef0-177c7cf61c4d;2025-03-14T01:28:22.000Z;10:28;Yes;E;;;TN;;RS;;;SR;;RS;;;NY;;RS;;;;;RS;;;ST;;green
be93d708-97cb-4990-a931-c659c8aed506;2025-03-14T01:30:23.000Z;10:30;Yes;E;;;TN;;RS;;;SR;;RS;;;NY;;RS;;;;;RS;;;ST;;green
fd52ff6b-7a51-4911-a919-eb816fb5b41f;2025-03-14T01:47:23.000Z;10:46;NO;RS;;;;;RS;;;;;RS;;;TN, TK;;RS;;;TN, SR;;RS;;;SR, TK;;
d782fe2c-7055-46b6-82e9-352eed2b1b0f;2025-03-14T01:48:42.000Z;10:48;NO;RS;;NY;;;RS;;ST;;;RS;;TN;;;RS;;;;;RS;;SR;;;
1de4908c-4908-4f6f-8d6c-f6fea6703a1e;2025-03-14T01:50:47.000Z;10:50;NO;RS;;;;;RS;;;;;RS;;TN;;;RS;;;;;RS;;SR;;;
a040875d-23a2-435f-9831-5aa21b0da979;2025-03-14T01:52:42.000Z;10:52;NO;RS;;;;;RS;;;TK;;RS;;TN;;;RS;;;NY;;RS;;SR;;;red
fc26ab95-e89f-494c-a407-9296702c8ccc;2025-03-14T01:54:21.000Z;10:54;Yes;RS;;;;;RS;;;TK;;RS;;TN;;;RS;;;NY;;RS;;SR;;;green
7ae64dd9-e573-4c1d-b543-ceab61224d68;2025-03-14T01:56:43.000Z;10:56;NO;RS;;;;;RS;;;;;RS;;TN, TK;;;RS;;TN, SR;;;RS;;SR, TK;;;red
98481693-27f4-454f-8c8e-c4333911a183;2025-03-14T01:58:26.000Z;10:58;Yes;RS;;;;;RS;;;;;RS;;TN, TK;;;RS;;TN, SR;;;RS;;SR, TK;;;green
27bf9b55-1b7d-4743-88b2-ba172b857cc4;2025-03-14T02:00:20.000Z;11:00;Yes;RS;;;;;RS;;;;;RS;;TN, TK;;;RS;;TN, SR;;;RS;;SR, TK;;;green
e9296d6d-a090-42b2-8722-d5e83b82905b;2025-03-14T02:02:50.000Z;11:02;NO;RS;;;;;RS;;;;;RS;;TK, TN;;;RS;;TN, SR;;;RL;;TK, SR;;;red
d33a6efe-2073-4091-adf1-8e2d29abd8d3;2025-03-14T02:04:20.000Z;11:04;Yes;RS;;;;;RS;;;;;RS;;TK, TN;;;RS;;TN, SR;;;RL;;TK, SR;;;green
1a23a382-bd49-45c1-9adb-e5293ae76d40;2025-03-14T02:06:20.000Z;11:06;Yes;RS;;;;;RS;;;;;RS;;TK, TN;;;RS;;TN, SR;;;RL;;TK, SR;;;green
1555b00c-74df-4ffd-a350-2e41deb7ef2a;2025-03-14T02:08:20.000Z;11:08;Yes;RS;;;;;RS;;;;;RS;;TK, TN;;;RS;;TN, SR;;;RL;;TK, SR;;;green
e61fcf92-74dc-4d6f-b13f-2209e9047fa1;2025-03-14T02:10:20.000Z;11:10;Yes;RS;;;;;RS;;;;;RS;;TK, TN;;;RS;;TN, SR;;;RL;;TK, SR;;;green
ddd4ea5b-1878-4074-bc45-5ebb79f69acd;2025-03-14T02:12:17.000Z;11:12;Yes;RS;;;;;RS;;;;;RS;;TK, TN;;;RS;;TN, SR;;;RL;;TK, SR;;;green
41d53f15-caa0-4049-b90c-6b0ddeaeba71;2025-03-14T02:14:19.000Z;11:14;Yes;RS;;;;;RS;;;;;RS;;TK, TN;;;RS;;TN, SR;;;RL;;TK, SR;;;green
1ade8301-bab0-4207-a8ad-26a63076f078;2025-03-14T02:16:18.000Z;11:16;Yes;RS;;;;;RS;;;;;RS;;TK, TN;;;RS;;TN, SR;;;RL;;TK, SR;;;green
b37a8c63-3c8d-46bb-b7dc-e44f74fdfca1;2025-03-14T02:18:18.000Z;11:18;Yes;RS;;;;;RS;;;;;RS;;TK, TN;;;RS;;TN, SR;;;RL;;TK, SR;;;green
4f939a5f-de5e-4029-a3f4-93fb0297934e;2025-03-14T02:20:49.000Z;11:20;NO;RS;;;;;RS;;;;;RS;;TK, TN;;;RS;;TN, SR;;;RS;;TK, SR;;;
dfc8a042-7aa4-445a-a1a0-b6c2ad91d679;2025-03-14T02:22:54.000Z;11:22;NO;RS;;;;;RS;;;;;RS;;TN;TK;;RS;;TN, SR;;;RS;;SR;TK;;red
ce56c7ab-67f1-4397-8548-286ec6c4ada9;2025-03-14T02:24:21.000Z;11:24;Yes;RS;;;;;RS;;;;;RS;;TN;TK;;RS;;TN, SR;;;RS;;SR;TK;;green
d0333846-3c1c-43eb-b3d6-958bb50c0151;2025-03-14T02:26:20.000Z;11:26;Yes;RS;;;;;RS;;;;;RS;;TN;TK;;RS;;TN, SR;;;RS;;SR;TK;;green
ebca6b06-c681-481f-b151-d38fae450aa6;2025-03-14T02:28:21.000Z;11:28;Yes;RS;;;;;RS;;;;;RS;;TN;TK;;RS;;TN, SR;;;RS;;SR;TK;;green
3c8b6694-82b6-43e2-8a8b-16603b0d5f4b;2025-03-14T02:30:19.000Z;11:30;Yes;RS;;;;;RS;;;;;RS;;TN;TK;;RS;;TN, SR;;;RS;;SR;TK;;green
0506dc4c-680e-4780-a53c-3e9cf9998bb2;2025-03-14T02:32:20.000Z;11:32;Yes;RS;;;;;RS;;;;;RS;;TN;TK;;RS;;TN, SR;;;RS;;SR;TK;;green
f125e26e-0168-482a-82a1-fa0a3e8d5ead;2025-03-14T02:34:22.000Z;11:34;Yes;RS;;;;;RS;;;;;RS;;TN;TK;;RS;;TN, SR;;;RS;;SR;TK;;green
0c657885-5723-43be-8626-266a5c0e6e86;2025-03-14T02:36:20.000Z;11:36;Yes;RS;;;;;RS;;;;;RS;;TN;TK;;RS;;TN, SR;;;RS;;SR;TK;;green
76c22c60-6d3a-4cc3-89d9-e4abf1bea499;2025-03-14T02:38:48.000Z;11:38;NO;RS;;TN;;;RS;;;;;RS;;;TK;;RS;;;SR;;RS;;ST;;;red
b5468649-db6f-474b-be50-3f839d0e5097;2025-03-14T02:40:24.000Z;11:40;Yes;RS;;TN;;;RS;;;;;RS;;;TK;;RS;;;SR;;RS;;ST;;;green
26ce4bb5-03ef-4001-83bf-56c87b0618d9;2025-03-14T02:42:24.000Z;11:42;Yes;RS;;TN;;;RS;;;;;RS;;;TK;;RS;;;SR;;RS;;ST;;;green
be58f7dd-2e15-4e3c-9318-c294cde465d1;2025-03-14T02:44:22.000Z;11:44;Yes;RS;;TN;;;RS;;;;;RS;;;TK;;RS;;;SR;;RS;;ST;;;green
b97cd5d0-c223-46c0-9256-605c8f0ad645;2025-03-14T02:46:19.000Z;11:46;Yes;RS;;TN;;;RS;;;;;RS;;;TK;;RS;;;SR;;RS;;ST;;;green
55b4a9b2-29da-4018-b19e-4c6932f492af;2025-03-14T04:20:26.000Z;13:20;NO;E;;;;;E;;;;;E;;;;;E;;;;;E;;;;;
93a4d7e5-f5f8-4135-b8b4-7b81c1f6d6cf;2025-03-14T04:22:30.000Z;13:21;NO;E;;;TK;;E;;;;;E;;;;;E;;;ST;;E;;;;;
f37384ea-41a6-4296-ba18-2afb28163258;2025-03-14T04:24:24.000Z;13:23;NO;E;;;TK;;E;;;;;E;;;;;E;;;TN, ST;;E;;;TK;;red
3646a275-4726-46a4-b2d8-91133ba5cc17;2025-03-14T04:26:00.000Z;13:25;Yes;E;;;TK;;E;;;;;E;;;;;E;;;TN, ST;;E;;;TK;;green
